postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2205, NSW",85,138,0,101,4,0,4,26,29,385
"2206, NSW",28,36,0,38,3,0,0,12,14,140
"2207, NSW",434,430,0,327,13,0,8,85,88,1382
"2208, NSW",37,18,0,53,0,3,0,13,12,144
"2209, NSW",120,96,0,138,4,0,3,30,21,414
"2210, NSW",176,64,3,247,0,16,0,50,46,607
"2211, NSW",52,51,0,150,3,0,0,24,30,317
"2212, NSW",94,98,0,84,0,0,0,19,22,312
"2213, NSW",175,92,0,133,0,0,0,22,36,461
"2214, NSW",0,0,0,0,0,0,0,0,0,3
"2216, NSW",127,134,3,138,11,0,0,27,40,481
"2217, NSW",310,181,0,181,8,5,0,46,66,794
"2218, NSW",20,42,0,51,3,0,0,10,15,143
"2219, NSW",349,175,0,167,9,0,0,55,79,842
"2220, NSW",94,78,0,107,7,0,0,32,32,355
"2221, NSW",104,67,0,85,3,0,0,19,16,304
"2222, NSW",138,83,0,93,0,0,0,20,17,350
"2223, NSW",174,90,0,97,4,0,0,33,42,442
"2224, NSW",56,36,0,35,0,0,0,14,8,151
"2225, NSW",57,69,0,11,0,0,0,4,0,137
"2226, NSW",122,108,0,94,4,0,0,22,18,368
"2227, NSW",65,25,0,35,0,0,0,7,18,155
"2228, NSW",93,73,4,136,0,4,6,40,36,383
"2229, NSW",343,76,0,113,0,0,0,53,40,629
"2230, NSW",64,31,0,31,5,0,0,17,19,166
"2231, NSW",3,0,0,4,0,0,0,0,3,16
"2232, NSW",196,86,0,113,5,3,7,20,35,466
"2233, NSW",119,51,0,54,3,0,3,14,16,261
"2234, NSW",23,24,0,12,0,0,0,0,9,64
"2250, NSW",681,216,7,511,13,268,75,197,207,2178
"2251, NSW",400,68,9,211,0,181,68,98,135,1173
"2256, NSW",474,129,0,415,8,5,0,85,95,1216
"2257, NSW",733,175,0,455,8,9,8,118,259,1765
"2258, NSW",41,58,0,66,0,0,0,10,12,188
"2259, NSW",140,81,4,343,0,32,11,92,101,802
"2260, NSW",132,22,3,56,0,39,13,24,46,341
"2261, NSW",698,168,4,697,10,118,54,235,327,2321
"2262, NSW",32,26,0,66,3,0,0,24,12,161
"2263, NSW",468,87,0,331,6,14,3,166,85,1164
"2264, NSW",147,5,3,62,0,55,40,21,46,381
"2265, NSW",112,4,0,74,0,48,14,36,27,310
"2267, NSW",7,3,0,8,0,0,0,0,0,16
"2278, NSW",0,0,0,0,0,0,0,0,0,3
"2280, NSW",320,91,0,298,4,44,12,64,92,915
"2281, NSW",127,37,0,158,4,0,0,36,40,403
"2282, NSW",334,64,0,217,3,6,3,35,71,736
"2283, NSW",140,51,0,197,0,3,0,32,37,467
"2284, NSW",82,24,0,99,0,0,0,15,18,238
"2285, NSW",203,60,0,274,0,38,9,51,110,758
"2286, NSW",8,0,0,0,0,5,4,3,0,14
"2287, NSW",250,129,0,560,9,31,14,74,74,1138
"2289, NSW",67,26,0,138,4,0,0,8,38,280
"2290, NSW",509,116,0,446,10,22,17,87,88,1293
"2291, NSW",60,53,0,139,0,0,0,19,50,316
"2292, NSW",11,9,0,43,0,0,0,7,8,70
"2293, NSW",4,12,0,30,0,0,0,9,5,60
"2294, NSW",6,15,0,36,3,0,0,4,15,69
"2295, NSW",9,3,0,33,0,0,0,3,12,62
"2296, NSW",9,13,0,28,0,0,0,5,4,66
"2297, NSW",6,3,0,3,0,0,0,7,4,22
"2298, NSW",28,43,0,105,3,0,0,10,27,218
"2299, NSW",77,40,0,276,0,0,3,28,53,474
"2300, NSW",63,50,0,94,0,0,0,4,23,246
"2302, NSW",0,0,0,0,0,0,0,0,0,0
"2303, NSW",58,34,0,117,3,0,3,17,41,279
"2304, NSW",91,70,0,418,3,0,0,50,66,708
"2305, NSW",113,39,0,169,6,3,0,25,35,385
"2306, NSW",0,3,0,72,0,0,0,6,10,89
"2307, NSW",43,17,0,93,0,8,4,17,19,198
"2308, NSW",0,0,0,0,0,0,0,0,0,0
"2311, NSW",0,0,0,0,0,0,0,0,0,0
"2312, NSW",0,0,0,0,0,0,0,0,0,4
"2314, NSW",0,0,0,0,0,0,0,0,0,0
"2315, NSW",191,69,0,238,0,35,23,155,206,921
"2316, NSW",18,20,0,39,0,0,0,3,17,96
"2317, NSW",267,50,0,132,3,19,19,45,76,602
"2318, NSW",70,8,0,30,0,0,0,10,17,127
"2319, NSW",31,12,0,59,0,0,0,7,17,136
"2320, NSW",170,68,0,480,0,34,11,86,91,938
"2321, NSW",63,28,5,116,0,42,9,17,26,315
"2322, NSW",44,42,0,157,4,0,0,6,27,280
"2323, NSW",157,89,0,522,0,4,0,84,103,961
"2324, NSW",151,82,0,437,3,4,0,106,169,954
"2325, NSW",133,38,0,519,4,16,10,116,99,937
"2326, NSW",55,4,0,55,4,0,0,16,20,158
"2327, NSW",38,11,0,160,0,3,0,30,26,258
"2328, NSW",27,0,0,18,0,9,3,4,11,63
"2329, NSW",0,0,0,4,0,0,0,3,3,9
"2330, NSW",56,60,0,240,0,5,0,38,52,461
"2331, NSW",0,0,0,0,0,0,0,0,0,0
"2333, NSW",31,18,0,323,0,3,0,48,123,544
"2334, NSW",0,0,0,12,0,0,0,0,5,16
"2335, NSW",15,3,0,56,0,0,0,9,5,87
"2336, NSW",0,0,0,3,0,0,0,0,0,10
"2337, NSW",8,5,0,64,3,0,0,16,20,114
"2338, NSW",0,0,0,0,0,0,0,0,0,0
"2339, NSW",0,0,0,0,0,0,0,0,0,0
"2340, NSW",194,65,0,1065,6,8,4,219,259,1829
"2341, NSW",0,0,0,4,0,0,0,0,0,4
"2342, NSW",0,0,0,0,0,0,0,0,0,0
"2343, NSW",3,0,0,10,0,0,0,3,7,23
"2344, NSW",0,0,0,0,0,0,0,0,0,0
"2345, NSW",0,0,0,0,0,0,0,0,0,0
"2346, NSW",0,0,0,3,0,0,0,0,0,4
"2347, NSW",0,0,0,8,0,0,0,0,0,9
"2350, NSW",87,42,0,606,3,4,0,68,197,1008
"2351, NSW",0,0,0,0,0,0,0,0,0,0
"2352, NSW",0,0,0,23,0,0,0,0,7,28
"2353, NSW",5,0,0,7,0,4,0,7,8,31
"2354, NSW",0,0,0,0,0,0,0,0,0,7
"2355, NSW",0,0,0,0,0,0,0,0,0,0
"2356, NSW",0,0,0,0,0,0,0,0,0,0
"2357, NSW",4,5,0,18,0,0,3,5,12,55
"2358, NSW",4,0,0,6,0,0,0,4,0,11
"2359, NSW",0,0,0,0,0,0,0,0,0,0
"2360, NSW",19,7,0,100,0,0,0,20,14,165
"2361, NSW",0,0,0,3,0,0,0,0,0,7
"2365, NSW",3,4,0,18,0,0,0,0,8,31
"2369, NSW",0,0,0,0,0,0,0,0,0,0
"2370, NSW",5,5,0,31,0,0,0,0,18,49
"2371, NSW",0,0,0,0,0,0,0,0,0,0
"2372, NSW",4,5,0,45,0,0,0,3,19,78
"2379, NSW",0,0,0,0,0,0,0,0,0,0
"2380, NSW",31,3,0,77,0,7,5,10,19,154
"2381, NSW",0,0,0,0,0,0,0,0,0,3
"2382, NSW",0,0,0,0,0,0,0,0,0,0
"2386, NSW",0,0,0,0,0,0,0,0,0,0
"2387, NSW",0,0,0,0,0,0,0,0,0,0
"2388, NSW",0,0,0,48,0,0,0,15,17,80
"2390, NSW",4,5,0,72,4,3,4,22,23,139
"2395, NSW",0,0,0,0,0,0,0,0,0,0
"2396, NSW",0,0,0,0,0,0,0,0,3,3
"2397, NSW",0,0,0,0,0,0,0,0,0,0
"2398, NSW",0,0,0,0,0,0,0,0,0,0
"2399, NSW",26,23,0,13,3,0,0,8,16,90
"2400, NSW",41,34,0,59,8,0,5,32,36,208
"2401, NSW",0,0,0,0,0,0,0,0,0,0
"2402, NSW",0,0,0,8,0,0,0,0,0,7
"2403, NSW",0,0,0,0,0,0,0,0,0,0
"2404, NSW",0,0,0,12,0,0,0,0,4,18
"2405, NSW",0,0,0,0,0,0,0,0,0,0
"2408, NSW",0,0,0,0,0,0,0,0,0,0
"2409, NSW",0,0,0,0,0,0,0,0,0,0
"2410, NSW",0,0,0,0,0,0,0,0,0,0
"2411, NSW",0,0,0,0,0,0,0,0,0,0
"2415, NSW",0,0,0,0,0,0,0,0,0,0
"2420, NSW",3,0,0,9,0,4,4,0,9,26
"2421, NSW",0,0,0,0,0,0,0,0,0,0
"2422, NSW",6,0,0,16,0,0,0,4,4,27
"2423, NSW",0,0,0,5,0,0,0,3,0,14
"2424, NSW",0,0,0,0,0,0,0,0,0,0
"2425, NSW",0,0,0,0,0,0,0,0,3,6
"2426, NSW",0,0,0,0,0,0,0,0,0,4
"2427, NSW",28,4,0,38,0,0,0,9,23,110
"2428, NSW",819,151,0,436,11,34,11,140,246,1842
"2429, NSW",31,5,0,55,0,0,0,12,11,107
"2430, NSW",374,64,0,528,0,73,24,114,171,1349
"2431, NSW",69,10,0,80,0,0,9,12,51,228
"2439, NSW",4,0,0,0,0,0,0,0,0,10
"2440, NSW",34,13,0,131,0,0,0,36,30,246
"2441, NSW",0,0,0,10,0,0,0,0,0,15
"2443, NSW",237,23,8,124,0,65,19,46,65,585
"2444, NSW",794,288,9,928,8,100,21,244,261,2660
"2445, NSW",21,5,0,21,0,0,0,5,14,66
"2446, NSW",38,19,0,171,0,0,0,20,33,288
"2447, NSW",6,4,0,28,0,0,0,3,6,50
"2448, NSW",32,17,0,117,0,0,0,24,22,222
"2449, NSW",6,0,0,16,0,0,0,0,6,25
"2450, NSW",268,145,0,567,10,4,5,149,127,1266
"2452, NSW",203,93,0,331,3,40,11,72,64,817
"2453, NSW",8,0,0,6,0,0,0,0,0,11
"2454, NSW",25,8,0,40,0,0,0,5,0,90
"2455, NSW",31,11,0,48,0,0,0,9,11,109
"2456, NSW",92,16,0,96,3,3,0,24,18,256
"2460, NSW",145,14,0,202,3,4,0,28,37,437
"2462, NSW",6,0,0,16,0,0,0,5,4,27
"2463, NSW",19,3,0,37,0,5,0,12,8,84
"2464, NSW",62,19,0,109,0,4,0,29,43,263
"2465, NSW",0,0,0,0,0,0,0,0,0,5
"2466, NSW",12,0,0,23,0,0,0,5,13,54
"2469, NSW",0,0,0,4,0,0,0,0,0,9
"2470, NSW",19,0,0,42,0,0,0,9,13,81
"2471, NSW",0,3,0,5,0,0,0,0,6,11
"2472, NSW",4,0,0,0,0,0,0,4,0,6
"2473, NSW",83,36,0,124,3,5,0,25,52,328
"2474, NSW",0,0,0,7,0,0,0,8,6,16
"2475, NSW",0,0,0,0,0,0,0,0,0,0
"2476, NSW",0,0,0,4,0,0,0,0,0,5
"2477, NSW",173,72,0,201,6,6,0,30,39,521
"2478, NSW",536,254,0,744,13,45,14,193,203,2004
"2479, NSW",11,3,0,6,0,5,0,3,3,35
"2480, NSW",239,110,0,655,4,15,10,142,102,1295
"2481, NSW",49,71,0,177,4,0,0,53,65,418
"2482, NSW",7,4,0,24,0,0,0,9,11,50
"2483, NSW",17,13,0,59,0,0,0,8,22,124
"2484, NSW",20,13,0,135,6,0,0,19,19,217
"2485, NSW",334,172,0,318,5,21,7,110,96,1064
"2486, NSW",1182,318,0,733,15,59,16,198,199,2725
"2487, NSW",95,68,0,135,7,5,3,32,34,375
"2488, NSW",44,65,0,88,0,0,0,21,20,232
"2489, NSW",64,54,0,92,3,0,0,22,34,263
"2490, NSW",0,0,0,0,0,0,0,0,0,0
"2500, NSW",141,68,0,257,6,0,0,43,65,582
"2502, NSW",17,12,0,91,0,0,0,11,22,154
"2505, NSW",3,8,0,47,0,0,0,4,10,76
"2506, NSW",11,0,0,21,0,12,0,10,8,64
"2508, NSW",13,7,0,16,0,0,0,4,5,44
"2515, NSW",33,17,0,47,3,6,0,7,20,129
"2516, NSW",14,11,0,54,0,0,0,4,13,102
"2517, NSW",71,55,0,124,4,0,0,16,28,308
"2518, NSW",220,112,0,541,9,21,4,75,115,1106
"2519, NSW",148,49,0,269,3,6,0,36,51,560
"2522, NSW",0,0,0,0,0,0,0,0,0,0
"2525, NSW",34,31,0,88,0,0,0,15,21,186
"2526, NSW",54,26,0,98,0,51,9,16,15,267
"2527, NSW",188,137,0,296,4,10,3,63,52,750
"2528, NSW",172,42,18,226,3,17,13,61,37,590
"2529, NSW",214,107,0,353,6,11,3,52,56,802
"2530, NSW",237,116,0,320,3,21,6,58,91,859
"2533, NSW",86,39,0,60,0,0,0,9,41,238
"2534, NSW",20,13,0,15,0,0,0,9,16,65
"2535, NSW",106,25,0,82,0,6,3,16,55,294
"2536, NSW",150,23,0,124,0,12,10,57,136,514
"2537, NSW",79,12,0,64,4,42,7,29,85,321
"2538, NSW",13,0,0,13,0,9,5,8,5,47
"2539, NSW",81,9,0,128,0,0,0,33,46,303
"2541, NSW",202,70,0,670,7,12,9,124,149,1244
"2545, NSW",0,0,0,0,0,0,0,0,0,0
"2546, NSW",103,22,0,89,0,0,0,19,80,324
"2548, NSW",120,31,0,129,3,18,8,28,76,422
"2549, NSW",123,17,0,48,0,4,0,22,30,242
"2550, NSW",44,13,0,109,0,3,13,22,28,232
"2551, NSW",15,6,0,54,0,0,0,10,11,96
"2555, NSW",0,0,0,0,0,0,0,0,0,0
"2556, NSW",5,0,0,4,0,0,0,0,0,9
"2557, NSW",0,6,0,3,0,0,0,0,0,9
"2558, NSW",37,57,0,73,0,0,0,12,10,191
"2559, NSW",3,0,0,107,0,3,0,41,14,172
"2560, NSW",292,285,3,637,6,53,15,161,103,1568
"2563, NSW",0,0,0,0,0,0,0,0,0,0
"2564, NSW",138,209,0,264,3,0,6,47,38,711
"2565, NSW",158,223,0,366,9,3,0,67,54,893
"2566, NSW",66,119,0,263,5,3,0,42,33,535
"2567, NSW",61,100,0,144,0,4,4,33,40,393
"2568, NSW",63,0,0,4,0,24,10,8,8,109
"2569, NSW",0,0,0,0,0,0,0,0,0,6
"2570, NSW",148,30,0,188,0,57,31,83,52,590
"2571, NSW",20,15,0,46,0,0,0,10,11,97
"2572, NSW",52,17,0,30,0,32,3,17,17,173
"2573, NSW",20,14,0,32,0,0,0,10,12,82
"2574, NSW",78,6,0,13,0,33,3,15,3,153
"2575, NSW",33,5,0,73,0,14,0,19,21,173
"2576, NSW",157,26,0,124,3,6,0,29,66,423
"2577, NSW",82,22,0,159,0,0,0,25,33,330
"2578, NSW",8,7,0,7,0,0,0,0,3,18
"2579, NSW",0,0,0,0,0,0,0,0,0,5
"2580, NSW",167,73,0,435,6,20,15,68,143,927
"2581, NSW",0,0,0,9,0,0,0,0,0,11
"2582, NSW",47,23,0,101,0,16,6,26,26,249
"2583, NSW",24,5,0,22,0,0,0,10,0,63
"2584, NSW",0,0,0,0,0,0,0,0,0,0
"2585, NSW",0,0,0,0,0,0,0,0,0,0
"2586, NSW",0,0,0,4,0,0,0,4,4,10
"2587, NSW",4,4,0,10,0,0,0,8,12,47
"2588, NSW",0,0,0,0,0,0,0,0,0,0
"2590, NSW",31,0,0,58,0,13,8,9,16,129
"2594, NSW",32,12,0,147,0,0,0,22,29,239
"2619, NSW",54,120,0,157,0,0,0,13,40,393
"2621, NSW",3,0,0,6,0,0,0,0,0,14
"2622, NSW",0,0,0,16,0,0,0,7,0,29
"2623, NSW",0,0,0,0,0,0,0,0,0,0
"2625, NSW",0,0,0,0,0,0,0,0,0,0
"2626, NSW",0,0,0,0,0,0,0,0,0,0
"2627, NSW",13,0,0,41,0,0,7,3,35,106
"2628, NSW",4,5,0,16,0,0,0,0,9,31
"2629, NSW",0,0,0,0,0,0,0,0,0,0
"2630, NSW",17,7,0,66,8,0,0,25,23,138
"2631, NSW",0,0,0,0,0,0,0,0,0,0
"2632, NSW",0,0,0,8,0,0,0,0,8,12
"2633, NSW",0,0,0,0,0,0,0,0,0,3
"2640, NSW",240,171,0,1303,15,7,0,214,353,2309
"2641, NSW",173,104,0,824,3,5,0,118,165,1398
"2642, NSW",3,5,0,10,0,0,0,0,5,20
"2643, NSW",12,0,0,20,0,0,0,10,7,43
"2644, NSW",4,0,0,3,0,0,0,0,7,17
"2645, NSW",0,0,0,0,0,0,0,0,0,0
"2646, NSW",39,15,0,53,0,4,0,11,20,142
"2647, NSW",18,0,0,11,0,6,0,4,13,60
"2648, NSW",3,0,0,6,0,0,0,0,3,13
"2649, NSW",0,0,0,0,0,0,0,0,0,0
"2650, NSW",179,51,0,404,5,33,31,85,143,945
"2651, NSW",0,0,0,0,0,0,0,0,0,0
"2652, NSW",0,0,0,0,0,0,0,0,0,3
"2653, NSW",4,0,0,14,0,0,0,0,0,15
"2655, NSW",0,0,0,7,0,0,0,0,0,0
"2656, NSW",0,0,0,0,0,0,0,0,0,0
"2658, NSW",0,0,0,5,0,0,0,4,5,21
"2659, NSW",0,0,0,0,0,0,0,0,0,4
"2660, NSW",0,3,0,6,0,0,0,0,3,11
"2661, NSW",0,0,0,0,0,0,0,0,0,0
"2663, NSW",7,3,0,27,0,0,0,3,8,44
"2665, NSW",0,0,0,4,0,0,0,0,0,9
"2666, NSW",9,3,0,17,0,0,0,6,12,51
"2668, NSW",0,0,0,0,0,0,0,0,0,0
"2669, NSW",0,0,0,0,0,0,0,0,0,0
"2671, NSW",4,0,0,5,0,0,0,3,0,14
"2672, NSW",0,0,0,0,0,0,0,3,0,7
"2675, NSW",0,0,0,0,0,0,0,0,0,0
"2678, NSW",0,0,0,0,0,0,0,0,0,0
"2680, NSW",93,34,0,222,0,14,3,56,59,483
"2681, NSW",4,0,0,4,0,0,0,0,0,11
"2700, NSW",9,4,0,20,0,0,0,26,9,68
"2701, NSW",0,0,0,0,0,0,0,0,0,5
"2702, NSW",0,0,0,0,0,0,0,0,0,0
"2703, NSW",0,0,0,8,0,0,0,7,0,18
"2705, NSW",40,16,0,104,0,0,0,12,43,214
"2706, NSW",0,0,0,3,0,0,0,0,0,3
"2707, NSW",0,0,0,0,0,0,0,0,0,0
