postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2080,8,6,9,17,21,13,15,24,34,33,31,27,72,46,36,32,20,21,18,6,0
2081,9,12,10,13,54,44,62,63,111,84,75,88,200,172,116,135,67,77,66,41,5
2082,14,6,20,14,55,39,90,74,94,121,86,99,204,170,131,91,70,52,57,31,6
2083,5,3,11,12,27,20,30,35,39,41,32,32,54,35,20,30,19,23,9,7,0
2084,10,3,9,8,25,18,27,39,50,46,42,41,98,79,64,75,47,42,58,61,19
2085,42,16,32,57,156,113,199,182,221,181,168,143,330,250,238,252,164,201,211,153,7
2086,39,20,32,41,117,93,137,152,210,188,163,168,423,361,269,271,216,249,243,183,23
2087,45,21,48,49,137,110,175,128,181,172,159,171,343,250,243,286,203,224,247,195,16
2088,57,35,40,33,73,54,90,124,162,162,154,127,331,226,173,588,333,356,476,826,138
2089,24,8,4,13,11,23,13,23,35,36,30,36,92,49,41,119,50,53,64,131,11
2090,22,13,21,11,41,31,31,50,59,63,54,53,140,86,68,184,90,105,126,216,27
2092,24,5,13,14,49,36,56,60,69,75,59,73,152,120,98,185,145,157,182,221,27
2093,49,24,53,50,132,118,144,165,228,184,206,192,391,324,262,448,311,355,364,492,35
2094,7,5,13,7,33,14,28,50,37,38,46,41,80,67,62,113,56,83,94,114,6
2095,11,4,5,12,40,24,31,56,69,53,38,49,111,72,68,141,86,88,116,171,23
2096,26,11,13,26,62,42,69,76,117,99,88,100,194,165,132,218,138,150,186,213,26
2097,31,14,28,47,98,67,107,119,177,161,154,140,375,309,236,217,182,191,198,170,41
2099,67,35,92,134,292,185,269,307,371,378,317,331,718,606,438,427,293,286,331,261,34
2100,52,22,55,60,227,137,203,213,307,290,238,245,513,460,376,419,256,264,313,240,22
2101,38,38,46,66,173,111,180,173,262,219,190,188,406,324,266,268,177,208,175,162,19
2102,12,4,16,19,56,46,57,83,116,115,88,87,212,170,115,133,93,68,70,60,8
2103,32,12,31,32,91,67,108,121,150,118,143,106,269,186,182,175,127,118,125,108,14
2104,9,4,20,28,100,70,75,56,77,51,26,45,93,58,51,73,52,50,57,50,6
