postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2330,74,46,108,169,351,250,371,392,474,447,361,393,839,517,315,298,168,157,127,58,8
2333,65,52,132,158,345,228,356,330,365,327,276,264,556,306,201,155,65,83,42,38,7
2334,14,3,16,24,71,31,87,64,76,73,58,63,121,73,25,30,15,11,8,6,0
2335,16,10,20,44,106,69,117,94,166,133,120,121,272,182,100,82,48,52,22,23,5
2336,3,6,21,18,51,32,71,61,58,54,58,58,96,57,35,29,8,21,11,3,0
2337,23,31,44,75,190,104,223,176,210,223,138,163,282,179,117,71,44,44,20,26,4
2338,7,3,23,29,69,42,51,42,43,30,30,28,51,12,17,9,5,3,0,3,0
2339,8,5,7,11,15,6,24,17,23,20,12,15,22,16,5,3,0,3,0,0,0
2340,168,93,337,489,1286,888,1431,1321,1570,1303,1003,1023,1745,970,567,388,200,171,110,110,21
2341,7,4,18,37,83,39,85,33,53,50,31,23,31,11,4,6,0,4,0,4,0
2342,8,0,7,3,15,0,17,11,22,4,4,11,13,10,0,5,0,0,4,0,0
2343,22,16,39,76,143,103,168,143,186,146,103,91,153,78,47,21,7,10,12,18,5
2344,4,3,5,4,9,9,23,14,14,31,14,18,20,15,10,15,3,0,0,3,0
2345,5,3,0,12,18,9,19,21,25,20,15,14,23,14,4,13,3,0,3,0,0
2346,13,6,30,56,142,82,124,101,110,100,55,55,68,29,15,16,6,4,0,10,0
2347,13,9,26,47,98,62,111,54,61,54,29,21,37,17,6,15,0,0,0,4,0
2350,108,50,185,251,615,443,714,656,722,664,548,502,876,477,312,244,102,97,85,46,8
2352,8,4,15,26,76,51,85,73,83,98,64,58,97,57,33,14,3,5,0,4,0
2353,8,0,5,14,33,20,44,28,39,26,23,11,41,21,10,7,0,0,0,0,0
2354,24,18,40,53,110,71,130,101,113,108,64,86,90,45,27,27,5,12,0,13,4
2355,0,0,7,11,41,19,24,20,20,20,11,12,17,4,3,3,0,0,4,0,0
2356,0,0,4,4,7,4,7,4,11,4,4,0,0,0,0,0,0,0,0,0,0
2357,20,19,31,79,166,98,159,137,139,98,67,67,115,38,23,28,3,6,0,0,0
2358,15,13,43,54,153,82,149,132,121,114,75,85,117,45,29,19,3,12,7,3,0
2359,12,4,8,15,34,17,38,23,22,28,5,8,11,3,5,0,0,0,0,0,0
2360,61,31,126,188,457,273,558,446,455,425,270,249,385,202,88,86,33,35,17,17,7
2361,11,6,9,17,47,21,33,34,38,21,4,10,10,3,0,0,0,0,0,0,0
2365,24,13,32,47,100,85,147,101,123,105,77,80,107,46,23,17,4,12,6,3,4
2369,3,0,9,21,36,17,40,23,30,24,19,14,10,8,0,0,0,0,0,0,0
2370,39,22,90,130,349,166,320,239,257,225,133,120,154,91,44,26,16,11,9,9,0
2371,9,8,9,31,86,26,59,52,33,33,18,12,13,11,3,0,0,4,0,0,0
2372,41,28,53,98,257,123,231,162,182,138,72,92,99,42,13,14,15,11,8,4,0
2379,0,0,8,5,7,3,7,9,5,10,3,3,12,3,0,3,0,0,6,0,0
2380,38,21,74,125,283,164,282,242,275,255,196,214,377,221,132,136,63,57,30,15,4
2381,0,8,12,21,37,20,51,34,40,36,27,20,35,15,8,13,3,5,0,3,0
2382,7,4,14,11,47,23,41,29,37,39,37,30,48,15,6,11,0,9,0,6,0
2386,3,0,0,5,7,0,3,13,21,13,4,3,9,7,0,5,0,0,0,0,0
2387,0,0,3,5,6,5,3,4,8,7,7,5,3,5,0,0,0,0,0,0,0
2388,24,10,30,29,79,51,65,75,82,59,47,57,65,40,29,17,4,6,5,6,0
2390,32,14,53,80,203,103,190,203,242,218,179,185,316,185,121,80,42,29,35,11,0
2395,4,5,8,10,46,21,41,19,18,18,4,5,12,3,4,3,0,0,0,0,0
2396,3,4,5,18,53,22,46,22,31,32,11,4,23,8,6,5,3,0,0,0,0
2397,5,0,3,3,7,7,7,5,16,11,6,9,11,11,3,0,0,0,0,0,4
2398,0,0,0,3,7,7,4,12,0,7,3,7,4,5,5,0,0,0,0,4,0
2399,0,0,0,0,19,10,16,21,15,20,10,10,19,0,6,5,0,0,0,3,0
2400,47,27,75,81,180,118,239,200,243,248,175,189,334,177,119,90,30,33,23,35,4
2401,0,0,3,7,10,11,6,4,9,11,0,9,12,3,6,6,0,0,0,0,0
2402,7,8,25,29,83,28,84,51,65,46,38,31,55,17,8,7,5,6,5,6,0
2403,0,0,7,12,33,11,36,18,15,19,11,10,10,13,5,0,0,0,0,0,0
2404,17,11,22,43,99,38,96,65,71,54,27,28,42,16,8,11,0,0,0,4,0
2405,6,4,3,8,10,5,13,10,17,23,4,13,17,14,8,4,0,0,0,3,0
2408,4,0,0,0,3,0,11,8,15,14,11,7,16,0,6,7,0,0,0,3,0
2409,0,6,18,9,30,21,33,19,31,27,15,17,11,10,0,3,0,0,0,0,0
2410,11,0,9,0,18,8,10,11,8,6,5,9,8,0,0,3,0,0,0,0,0
2411,3,0,0,0,3,4,0,0,3,4,5,0,7,0,0,0,0,0,0,0,0
2415,0,0,0,8,24,8,6,8,7,13,7,9,17,7,0,0,0,3,0,0,0
2420,13,20,45,51,158,90,159,120,137,124,81,68,104,47,38,24,11,12,11,11,0
2421,11,0,13,5,33,23,44,33,52,44,44,46,75,48,40,21,15,6,6,6,0
2422,30,28,46,82,244,124,259,187,216,147,87,88,117,82,38,26,8,9,9,7,0
2423,20,20,22,36,149,64,162,99,110,79,46,57,60,31,12,9,6,6,0,3,0
2424,0,3,6,14,25,13,16,11,13,14,5,13,3,5,0,0,0,0,0,0,0
2425,3,7,10,23,58,21,55,50,57,53,50,33,61,32,19,17,3,4,0,3,3
2426,3,3,7,19,30,19,39,27,24,19,7,15,12,12,0,7,0,0,0,0,0
2427,25,9,29,48,170,78,205,121,136,103,58,49,55,31,9,15,12,0,10,3,0
2428,124,91,193,319,1032,547,1256,820,902,605,351,352,507,270,112,125,41,41,28,33,9
2429,35,34,109,142,419,223,419,341,370,300,202,159,238,93,52,42,18,16,5,8,0
2430,142,100,324,455,1233,789,1520,1125,1164,981,677,581,817,461,215,144,55,49,47,50,12
2431,24,14,40,69,229,156,296,211,216,137,93,76,116,65,30,20,5,9,6,8,3
2439,14,5,16,24,87,69,124,98,99,88,52,55,81,48,23,14,13,0,5,4,0
2440,77,65,216,306,796,478,858,685,704,553,409,337,494,228,120,81,32,26,26,17,3
2441,22,19,59,69,156,83,168,111,135,126,78,73,108,56,37,12,7,15,3,5,0
2443,48,44,71,124,419,240,496,334,329,231,151,109,168,100,52,27,19,16,9,5,4
2444,168,84,243,469,1321,845,1584,1267,1466,1283,843,824,1405,839,468,337,171,150,115,110,5
2445,27,18,38,47,154,111,247,220,222,181,113,116,219,135,86,44,15,21,18,12,0
2446,52,19,99,136,386,226,479,385,452,410,278,249,384,194,114,88,26,29,37,32,0
2447,31,22,63,105,251,150,309,255,245,235,130,135,182,96,40,24,7,10,12,13,0
2448,32,35,104,164,403,182,430,299,296,224,136,127,193,97,54,45,9,22,13,14,0
2449,13,3,40,56,105,57,121,72,88,55,37,26,35,13,4,7,0,0,4,0,0
2450,138,78,255,378,1035,676,1241,1072,1277,1129,812,764,1269,754,415,343,142,136,114,79,11
2452,46,33,92,203,460,313,596,489,501,488,300,279,422,248,123,86,43,23,13,7,0
2453,27,18,46,56,139,81,91,99,112,92,52,48,57,28,19,4,3,5,3,0,3
2454,32,16,85,104,259,175,273,212,287,222,142,163,228,121,45,46,20,20,20,9,3
2455,7,4,17,52,128,70,140,111,129,79,48,54,94,43,28,13,3,3,0,0,0
2456,58,20,97,143,410,276,507,432,459,425,307,273,452,256,138,92,35,39,30,23,10
2460,113,80,258,349,1077,662,1154,905,999,779,564,506,712,390,226,139,62,45,34,28,0
2462,20,15,30,49,84,56,126,87,90,59,45,28,51,27,11,11,6,0,0,3,0
2463,31,29,62,75,285,165,373,263,282,219,139,127,199,95,47,34,19,11,6,6,4
2464,20,27,43,83,287,171,327,248,226,183,128,125,168,88,38,56,9,20,13,19,0
2465,0,5,8,9,15,7,18,16,12,3,9,4,9,4,3,0,4,0,0,0,0
2466,10,12,16,47,115,52,106,77,67,40,13,20,33,3,3,6,0,7,0,4,0
2469,25,21,94,85,229,68,192,144,140,118,67,52,80,31,14,9,4,3,6,9,0
2470,45,30,108,188,487,306,593,469,556,427,290,268,406,197,75,75,21,12,7,9,3
2471,26,4,13,25,84,51,87,69,78,73,48,52,60,41,12,9,4,5,0,0,0
2472,8,3,20,13,41,31,65,52,62,49,38,38,49,24,9,8,7,7,0,0,0
2473,12,3,17,50,160,66,153,98,109,99,30,61,77,60,27,23,8,4,9,3,0
2474,39,24,106,142,290,148,271,208,245,186,103,104,122,64,39,27,11,14,4,9,0
2475,0,5,12,5,24,12,26,12,12,7,3,3,0,3,0,0,0,0,0,0,0
2476,6,7,15,19,35,27,40,36,24,26,7,16,21,8,6,0,0,5,0,0,0
2477,42,26,90,110,357,255,449,345,450,362,247,260,423,238,136,71,49,31,36,32,5
2478,89,59,171,339,816,571,983,778,977,811,576,570,921,503,321,239,112,114,76,84,6
2479,16,11,33,37,88,63,105,106,152,138,74,90,170,103,41,51,23,35,23,27,4
2480,138,113,412,567,1408,952,1450,1315,1540,1302,936,873,1327,687,380,291,117,122,91,54,10
2481,37,32,63,79,203,184,208,203,279,271,213,204,305,195,125,111,51,71,54,64,3
2482,24,17,64,77,215,138,200,182,215,178,95,97,153,74,40,35,16,16,8,3,0
2483,40,21,84,114,298,235,325,312,358,322,217,203,299,166,78,54,33,19,18,15,0
2484,69,61,160,212,495,394,638,559,600,533,384,363,530,269,130,102,49,32,31,27,4
2485,47,35,87,158,448,287,446,357,401,315,223,182,297,156,100,54,28,31,16,13,4
2486,133,86,186,376,1051,621,1167,890,1067,957,640,585,939,596,305,197,102,76,60,37,4
2487,46,20,57,75,237,183,290,239,329,271,234,162,371,269,151,133,81,68,59,53,3
2488,13,4,27,26,63,52,72,78,103,91,63,65,135,66,35,16,12,8,3,3,0
2489,25,18,33,55,155,114,201,177,194,185,166,154,251,139,75,48,22,13,8,4,0
2490,3,0,6,6,19,11,13,21,15,25,24,17,28,13,8,3,5,7,0,6,0
2500,141,60,179,242,483,294,518,507,606,523,441,430,827,579,398,310,168,137,143,84,8
2502,52,44,113,193,393,180,419,319,343,270,216,195,308,151,80,64,29,19,10,7,0
2505,8,11,35,74,135,74,157,121,130,107,93,95,143,86,49,36,21,16,11,3,0
2506,35,13,65,120,239,129,243,171,194,191,173,137,235,136,75,39,25,17,16,8,0
2508,23,12,19,31,83,47,115,97,137,132,128,144,332,270,198,154,96,78,66,57,7
2515,24,30,57,56,130,109,179,135,227,190,175,192,361,288,218,226,143,116,141,100,11
2516,14,13,30,36,82,48,108,75,100,107,81,90,191,168,117,109,53,70,66,40,3
2517,39,23,80,106,247,136,304,206,273,247,201,240,430,347,276,203,101,92,85,45,0
2518,65,56,157,335,682,330,540,441,528,405,329,342,642,427,264,168,86,86,69,44,12
2519,67,45,129,183,428,231,436,334,403,379,266,301,577,389,271,205,124,102,75,65,15
2525,29,26,42,71,192,146,239,205,239,247,204,209,400,295,220,164,102,84,66,43,10
2526,60,36,89,127,335,186,348,304,366,367,282,247,554,418,289,190,120,116,76,55,4
2527,77,39,109,150,389,259,556,443,551,514,484,472,856,557,309,201,118,74,55,27,9
2528,96,54,181,362,815,424,906,605,670,555,467,385,670,387,240,146,72,66,43,29,7
2529,85,51,108,210,477,291,637,505,665,608,511,524,1020,669,418,324,201,149,125,62,11
2530,107,67,170,281,761,499,975,705,932,823,734,697,1280,793,421,257,164,126,84,44,11
2533,48,16,65,102,289,213,349,315,428,348,303,320,588,383,280,218,132,112,90,68,6
2534,0,10,20,27,81,69,97,122,157,132,92,119,166,135,87,89,46,42,32,25,0
2535,25,22,44,77,194,132,239,180,212,197,149,129,240,153,85,86,36,29,31,22,3
2536,77,55,135,210,596,390,742,569,687,575,309,322,456,239,124,83,35,39,21,26,3
2537,30,56,129,168,442,266,534,458,442,380,231,216,323,168,80,72,32,31,22,21,0
2538,3,6,13,18,59,39,64,67,76,71,58,38,55,34,25,15,5,12,4,8,0
2539,90,71,185,295,789,484,904,646,753,584,369,277,446,227,117,76,35,38,19,28,8
2541,92,89,279,435,928,566,986,782,859,769,508,457,697,395,172,126,60,50,29,27,4
2545,6,4,16,19,39,27,38,44,36,43,20,19,27,10,9,3,0,0,0,5,0
2546,54,40,77,166,413,280,446,330,385,321,166,140,201,101,52,33,10,17,3,8,0
2548,29,23,58,83,304,165,323,252,296,257,167,156,219,106,66,54,18,18,12,12,4
2549,15,4,18,53,129,87,127,103,139,129,69,59,116,59,30,34,8,10,0,4,0
2550,66,75,150,224,612,329,580,527,596,489,282,291,494,233,135,85,36,37,23,18,4
2551,11,11,44,62,159,61,140,121,116,111,49,48,80,49,19,5,0,0,0,4,0
2555,0,0,3,3,3,4,6,5,4,9,4,4,4,4,7,3,0,0,0,0,0
2556,17,7,16,11,26,19,39,31,52,43,39,31,67,50,42,25,18,15,20,15,3
2557,39,8,25,17,56,44,114,110,144,164,159,165,369,296,185,141,79,63,46,30,5
2558,32,13,37,63,124,115,187,203,292,275,291,239,473,313,200,102,58,37,45,22,8
2559,0,8,42,47,82,63,71,54,56,52,35,21,27,28,12,0,4,0,6,0,0
2560,261,133,421,619,1333,971,1633,1561,1923,1766,1564,1445,2713,1666,1006,703,362,290,228,164,32
2563,0,0,0,0,3,4,7,6,7,10,6,6,12,4,3,4,0,0,0,0,0
2564,55,30,114,159,348,239,350,323,419,379,309,270,456,198,116,96,52,16,26,14,3
2565,69,25,104,122,293,217,371,397,513,501,432,387,694,452,283,205,139,100,97,60,16
2566,100,46,126,180,369,269,518,516,668,609,582,567,1017,642,375,246,126,97,85,54,8
2567,100,52,92,118,326,251,504,524,692,773,727,788,1666,1288,902,627,363,275,270,142,18
2568,0,0,3,9,20,24,29,17,31,13,16,10,35,23,20,13,4,14,10,15,0
2569,4,0,4,6,12,11,29,27,30,22,21,31,51,46,24,19,12,10,9,8,0
2570,111,64,120,185,543,302,583,519,811,752,757,749,1736,1291,869,645,360,303,305,181,31
2571,34,4,36,57,139,83,161,194,198,204,220,220,483,357,259,208,114,116,82,55,10
2572,8,6,14,26,97,47,108,70,109,87,72,80,188,120,63,39,26,21,19,8,4
2573,18,4,42,45,126,63,123,112,137,147,121,101,203,100,69,37,33,15,14,12,3
2574,19,9,13,39,107,56,144,115,131,126,113,109,226,139,89,71,45,30,24,3,0
2575,54,33,86,139,348,207,378,365,453,373,326,318,599,351,197,166,76,77,56,40,8
2576,64,39,67,141,320,231,395,373,414,380,258,267,464,248,197,206,113,136,108,96,7
2577,84,48,100,161,408,262,395,372,450,407,346,297,565,321,211,174,67,65,58,67,7
2578,17,10,24,37,84,78,94,101,102,97,55,67,77,35,21,38,17,11,9,5,0
2579,16,16,36,45,113,76,136,117,142,105,66,87,136,87,55,51,19,18,11,15,3
2580,114,90,218,373,883,497,819,797,858,777,601,577,1017,618,384,256,123,119,63,58,14
2581,17,0,15,12,49,31,42,46,63,48,44,46,89,45,39,34,13,14,10,12,3
2582,23,18,50,92,213,156,220,232,321,297,253,219,499,338,245,196,134,119,109,99,10
2583,31,16,37,77,173,99,174,144,149,131,103,86,127,76,41,24,13,13,4,9,4
2584,3,0,4,3,21,15,19,22,30,15,6,16,19,10,10,3,0,4,3,0,0
2585,0,0,0,7,18,4,8,4,9,3,4,0,8,4,0,0,0,0,0,0,0
2586,17,10,13,32,110,64,113,93,81,82,56,60,73,38,30,16,6,9,4,10,0
2587,12,9,25,46,132,56,143,93,101,86,62,52,76,38,15,11,7,9,5,11,0
2588,0,0,0,0,11,3,12,3,13,7,10,3,8,0,6,3,0,0,0,6,0
2590,32,25,75,109,322,167,343,243,251,207,130,120,188,90,48,44,18,21,8,11,0
2594,45,49,104,149,411,243,418,349,382,318,240,238,285,168,83,72,18,24,22,18,4
2619,13,7,15,27,46,34,54,83,121,120,140,146,370,282,263,287,151,183,172,163,25
2621,10,4,20,18,52,39,48,75,92,99,95,83,239,183,176,170,91,90,67,60,3
2622,23,18,29,57,140,79,125,96,118,87,66,72,125,68,41,41,24,15,12,17,0
2623,6,3,5,6,20,7,9,8,22,21,12,18,32,13,6,6,0,6,0,0,0
2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2626,0,0,0,6,4,0,11,10,11,10,13,10,18,15,5,13,0,5,3,0,0
2627,8,16,16,30,54,56,79,81,120,113,108,78,180,124,73,54,34,26,27,32,18
2628,7,4,17,20,58,49,62,52,61,58,34,42,84,37,27,9,4,5,5,9,0
2629,5,3,0,18,28,13,25,18,17,26,14,9,8,7,7,0,0,4,0,3,0
2630,31,23,72,119,277,158,332,248,281,245,173,178,288,151,96,70,23,25,31,17,0
2631,0,5,7,12,21,17,26,26,19,18,12,9,17,10,0,6,0,4,0,3,0
2632,8,11,24,31,57,35,55,65,65,58,35,47,70,40,13,15,4,3,0,0,0
2633,0,0,12,10,28,9,7,10,14,17,6,5,6,6,0,4,0,0,0,0,0
2640,136,87,301,415,950,682,1023,965,1145,1058,810,754,1401,856,545,392,156,154,118,100,7
2641,79,60,170,296,620,406,621,572,535,529,311,310,444,211,116,53,22,15,10,11,3
2642,12,8,31,36,96,78,117,132,142,119,111,97,173,117,57,35,14,21,11,17,0
2643,4,9,14,23,99,58,98,97,85,80,50,47,87,42,32,11,3,0,5,5,3
2644,10,8,16,40,97,43,87,65,73,83,54,50,66,37,18,19,6,9,4,10,0
2645,0,0,7,10,19,10,14,11,13,13,8,6,4,6,4,0,0,0,0,0,0
2646,36,17,62,79,244,134,273,219,211,223,141,130,195,110,63,35,13,16,6,15,0
2647,11,8,17,25,67,41,85,55,73,65,40,34,56,40,16,11,8,3,0,0,0
2648,9,9,28,34,71,47,97,72,72,88,19,33,59,30,11,8,0,7,0,5,4
2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,165,115,343,459,1113,826,1323,1339,1567,1495,1154,1207,2121,1311,829,538,233,246,170,164,20
2651,5,0,0,16,23,19,39,37,59,66,58,53,85,46,22,5,4,0,5,0,0
2652,16,17,38,52,97,66,127,116,127,152,86,97,161,90,42,40,10,17,5,16,6
2653,11,10,25,34,79,36,75,68,83,83,54,60,92,30,21,13,8,9,0,0,0
2655,9,5,9,16,48,12,33,33,38,41,22,28,40,22,7,11,0,7,5,0,0
2656,3,3,16,16,41,28,41,46,45,36,24,23,30,24,10,11,0,7,3,4,0
2658,6,0,26,30,60,37,66,38,45,26,25,16,40,17,7,7,6,8,3,0,0
2659,8,4,8,12,30,13,26,20,42,31,23,16,34,8,8,0,0,0,0,6,0
2660,4,7,12,13,58,32,43,58,56,55,25,32,47,22,13,8,0,0,0,6,0
2663,19,12,33,51,133,73,161,112,134,123,77,87,137,75,41,37,6,9,7,4,3
2665,16,3,26,30,81,31,78,60,75,60,19,44,71,30,12,15,0,14,0,7,0
2666,17,13,32,79,206,115,225,160,197,162,122,121,164,84,57,44,10,10,8,13,0
2668,3,0,7,11,11,7,20,13,22,8,0,9,8,0,3,3,0,3,0,0,0
2669,5,6,17,23,50,33,64,60,57,37,22,31,38,36,14,12,7,10,3,9,0
2671,21,7,33,51,131,74,125,99,152,105,80,81,121,56,43,39,7,7,14,12,0
2672,11,5,17,28,34,24,36,24,56,42,14,13,36,17,11,3,0,9,0,0,0
2675,0,4,10,22,39,22,40,32,50,34,39,33,49,26,11,11,6,14,0,8,0
2680,82,46,114,185,445,270,511,501,564,598,481,374,767,454,275,179,81,95,55,67,12
2681,6,6,4,14,39,21,45,39,48,51,45,41,63,33,18,17,3,3,0,5,0
2700,21,8,45,86,196,121,165,134,154,150,86,83,139,67,34,33,5,11,4,8,3
2701,7,4,15,14,67,25,55,42,74,60,43,53,72,45,33,20,7,6,3,4,4
2702,5,0,8,18,27,18,29,25,19,25,9,8,19,5,10,0,4,6,0,3,0
2703,3,3,8,11,22,8,26,12,21,16,3,14,20,12,6,4,0,0,0,0,0
2705,41,24,76,112,260,138,291,267,316,277,201,210,366,175,102,65,32,18,19,16,5
2706,3,5,5,17,24,24,25,45,40,31,30,26,39,29,3,0,0,5,0,0,0
2707,7,0,8,10,25,26,23,38,33,37,31,32,36,27,17,7,0,6,0,3,0
2710,69,33,94,149,326,177,329,279,338,295,215,180,317,154,84,70,30,31,21,20,0
2711,17,13,38,44,99,57,90,84,109,98,57,63,100,40,19,20,8,9,3,7,0
2712,6,7,25,21,53,39,56,37,46,29,26,24,43,27,10,5,0,0,5,3,0
2713,6,7,20,40,100,63,105,86,98,84,48,53,79,30,16,16,5,5,0,4,3
2714,16,11,35,44,123,49,106,81,116,77,40,45,82,26,19,15,3,8,7,7,0
2715,20,3,12,21,40,18,47,46,45,49,41,34,32,27,11,7,3,3,0,0,0
2716,4,0,10,11,27,20,43,23,42,41,24,19,32,14,7,4,5,0,0,3,0
2717,7,5,17,16,39,25,57,47,28,35,22,17,25,7,5,4,0,0,0,4,0
2720,24,18,76,126,244,151,257,192,250,216,168,150,286,153,78,60,24,22,12,10,3
2721,0,0,5,7,4,6,9,14,8,6,4,3,7,6,0,0,0,0,0,0,0
2722,20,8,33,41,106,71,90,90,106,90,62,68,100,47,24,13,7,3,4,12,0
2725,3,0,0,13,19,0,31,11,11,6,9,5,7,6,0,3,0,0,0,5,0
2726,0,0,0,0,6,0,7,9,11,6,5,9,10,5,6,0,0,0,0,0,0
2727,0,0,8,0,12,0,13,7,11,6,3,5,12,11,0,4,0,3,0,7,0
2729,11,3,11,20,56,29,48,52,50,45,44,36,65,31,20,10,4,9,8,9,0
2730,12,7,21,20,67,34,61,44,49,41,25,31,45,23,6,3,0,0,3,3,0
2731,19,16,47,50,171,104,222,161,219,170,124,116,217,132,79,34,21,14,13,7,5
2732,9,0,20,30,70,66,53,64,71,58,33,35,50,23,12,6,4,3,0,0,0
2733,0,0,5,12,16,12,19,17,18,13,15,8,17,6,3,4,0,0,0,0,0
2734,0,0,0,0,5,0,3,10,18,7,6,12,14,15,5,0,0,0,0,3,0
2735,0,3,5,5,14,10,21,14,11,10,15,5,11,3,0,3,0,0,0,0,0
2736,0,3,6,4,10,3,15,6,12,10,3,10,8,10,0,0,0,6,0,0,0
2737,0,0,0,6,16,14,20,13,25,18,19,14,25,16,3,3,0,4,5,0,0
2738,0,3,4,11,36,20,30,39,41,44,31,43,68,39,33,19,7,7,5,4,0
2739,8,5,9,17,24,19,38,35,44,42,24,17,39,19,20,13,6,4,8,3,0
2745,92,15,66,96,219,163,320,331,472,535,529,636,1223,973,703,520,311,252,227,173,36
2747,121,44,166,255,624,478,804,750,1021,1037,933,900,1889,1128,690,437,220,185,132,70,12
2748,3,0,3,11,17,16,27,31,28,31,18,32,52,41,28,27,21,19,16,20,9
2749,49,10,70,90,221,135,255,262,388,356,364,350,764,508,297,217,122,103,97,68,11
2750,161,65,229,376,895,553,944,832,1158,1064,881,901,1755,1152,763,506,271,219,188,114,14
2752,17,7,9,26,64,31,93,74,99,83,94,107,204,164,102,63,58,26,34,19,8
2753,52,29,83,138,307,212,331,321,436,395,355,331,570,394,266,194,115,110,66,70,9
2754,24,17,28,34,106,67,128,125,165,153,114,134,218,140,80,71,43,24,21,18,4
2756,97,60,160,228,443,356,565,575,819,759,734,704,1392,990,613,453,266,197,174,113,21
2757,0,0,5,0,12,9,18,17,30,14,19,12,24,31,8,18,7,8,5,3,0
2758,33,21,31,33,104,52,115,119,161,174,141,158,315,252,202,159,85,70,77,43,10
2759,74,27,81,83,250,177,370,378,571,582,574,581,1167,779,518,365,197,137,141,72,8
2760,141,49,183,249,623,361,775,755,884,870,732,674,1267,716,387,220,101,79,65,40,11
2761,77,18,79,103,221,228,402,429,579,718,625,665,1310,803,521,322,204,146,148,65,4
2762,23,4,11,18,36,28,52,66,117,108,83,101,229,175,124,72,35,31,24,14,0
2763,85,35,102,101,238,202,354,385,533,623,552,635,1328,918,694,480,260,170,189,76,8
2765,76,28,66,80,223,129,247,204,320,323,260,249,485,377,244,174,132,93,110,64,16
2766,59,22,44,73,171,118,269,242,311,331,271,326,605,392,245,149,80,59,55,26,3
2767,72,42,119,157,299,213,369,356,485,445,389,432,827,619,399,270,145,103,96,61,14
2768,62,23,50,75,194,170,227,257,367,397,382,444,1136,905,719,592,340,316,295,171,15
2769,27,4,7,24,35,32,68,91,122,137,156,180,490,425,331,315,182,166,124,79,8
2770,248,112,429,608,1119,809,1481,1318,1453,1345,1045,895,1550,882,481,308,173,119,100,71,10
2773,22,7,13,20,81,55,85,121,134,128,81,113,216,170,126,143,83,81,81,46,3
2774,22,25,53,72,185,130,233,246,310,296,282,277,531,434,296,215,134,124,115,57,14
2775,11,5,13,16,66,27,56,37,52,37,39,33,36,20,12,15,0,0,0,0,0
2776,5,3,16,21,60,43,79,86,121,96,94,103,165,136,82,63,34,35,21,10,0
2777,45,25,70,110,293,246,410,364,491,407,351,351,742,543,373,281,153,139,109,56,5
2778,10,7,8,18,41,33,52,58,73,59,59,57,111,69,53,32,18,10,12,9,0
2779,13,11,42,46,124,83,113,116,136,146,143,125,212,160,80,48,29,17,11,4,0
2780,80,40,131,184,494,331,431,417,442,413,269,283,435,258,121,99,49,48,38,33,4
2782,33,18,46,65,188,115,207,182,220,166,140,131,237,124,85,84,44,25,25,23,0
2783,10,3,16,27,79,56,56,73,84,92,56,53,118,68,31,29,11,11,4,3,0
2784,3,0,7,18,34,21,26,31,57,41,50,32,54,25,17,18,9,0,3,0,0
2785,32,17,36,62,163,158,189,171,190,156,104,110,158,84,45,48,18,23,10,12,0
2786,6,3,8,25,51,31,46,40,45,37,28,24,49,25,17,9,4,3,0,0,0
2787,22,18,37,42,136,58,122,92,133,117,114,101,148,76,41,30,22,11,8,6,0
2790,69,57,197,299,653,334,593,410,503,354,265,280,461,244,166,138,57,59,66,32,7
2791,0,0,7,3,13,6,12,4,15,7,5,0,9,6,9,3,3,0,0,0,0
2792,4,3,5,7,14,10,15,9,12,15,3,11,13,3,4,0,0,3,0,4,0
2793,3,3,12,22,42,23,45,31,41,27,21,16,18,9,9,8,0,0,3,0,0
2794,42,35,107,162,359,217,417,332,374,293,184,197,298,146,77,58,17,17,17,24,8
2795,141,92,310,359,1017,692,1060,1008,1185,1150,863,829,1443,939,646,404,181,161,98,93,15
2797,3,0,7,4,15,12,23,8,12,15,14,13,13,8,4,8,0,0,0,0,0
2798,12,3,5,21,22,20,46,30,54,48,42,38,89,60,35,21,13,15,14,9,0
2799,11,7,45,60,112,74,104,108,117,115,84,90,135,75,43,43,16,15,6,0,0
2800,167,124,315,504,1077,728,1175,1010,1318,1151,896,940,1641,1010,665,489,233,261,187,152,15
2803,7,0,0,3,11,5,13,11,5,7,8,5,6,8,0,0,0,0,0,0,0
2804,7,8,34,52,104,62,113,87,82,71,63,42,84,34,14,8,13,6,0,7,0
2805,0,4,9,9,28,4,16,14,18,20,4,5,15,3,0,6,0,0,0,0,0
