postcode,dwellings
2000,975
2006,7
2007,380
2008,1141
2009,311
2010,3745
2011,966
2015,1576
2016,2056
2017,968
2018,2491
2019,2789
2020,2172
2021,4437
2022,2139
2023,1555
2024,2625
2025,1809
2026,4342
2027,948
2028,672
2029,1568
2030,3487
2031,5075
2032,3511
2033,1795
2034,2539
2035,6810
2036,6349
2037,3761
2038,2753
2039,2457
2040,7051
2041,4747
2042,5030
2043,1710
2044,2539
2045,2210
2046,6650
2047,2320
2048,2027
2049,2717
2050,1034
2060,1672
2061,442
2062,1410
2063,1938
2064,1247
2065,4847
2066,6472
2067,4696
2068,4760
2069,3827
2070,3152
2071,3479
2072,1758
2073,4647
2074,6295
2075,5793
2076,6782
2077,7406
2079,2348
2080,555
2081,1632
2082,1758
2083,1032
2084,1198
2085,3808
2086,4199
2087,4016
2088,5894
2089,1755
2090,2422
2092,2195
2093,5415
2094,1133
2095,1881
2096,2701
2097,3352
2099,7469
2100,5854
2101,4442
2102,1692
2103,3015
2104,1331
2105,851
2106,2654
2107,5245
2108,1220
2109,447
2110,2709
2111,3736
2112,7272
2113,4515
2114,4767
2115,2628
2116,2288
2117,5995
2118,6727
2119,3596
2120,6491
2121,6709
2122,8584
2125,5030
2126,6047
2127,1043
2128,260
2130,1140
2131,3713
2132,3015
2133,3031
2134,2200
2135,5488
2136,1001
2137,5581
2138,2442
2140,1205
2141,5912
2142,4190
2143,2009
2144,5883
2145,17976
2146,5712
2147,12259
2148,18180
2150,2096
2151,4202
2152,2823
2153,16700
2154,11203
2155,10765
2156,3786
2157,1085
2158,2454
2159,1906
2160,7978
2161,7588
2162,4961
2163,3369
2164,6262
2165,9377
2166,11923
2167,2642
2168,11887
2170,24299
2171,6355
2172,641
2173,4159
2174,26
2175,589
2176,13338
2177,4426
2178,1180
2179,1466
2190,6638
2191,2000
2192,3092
2193,3921
2194,3687
2195,2389
2196,7780
2197,2355
2198,2627
2199,4661
2200,8251
2203,2793
2204,5921
2205,3395
2206,5596
2207,7564
2208,3793
2209,4179
2210,8567
2211,5107
2212,4978
2213,7103
2214,1323
2216,4598
2217,4984
2218,2491
2219,4022
2220,5158
2221,5098
2222,2733
2223,5533
2224,4480
2225,1733
2226,3695
2227,4179
2228,5035
2229,8342
2230,5968
2231,755
2232,9518
2233,9082
2234,9323
2250,22934
2251,13186
2256,6905
2257,12004
2258,1737
2259,19918
2260,8678
2261,18616
2262,7628
2263,9714
2264,5451
2265,1631
2267,1307
2278,896
2280,9078
2281,5527
2282,5255
2283,8815
2284,3678
2285,9813
2286,1293
2287,11619
2289,7051
2290,12778
2291,4569
2292,1084
2293,834
2294,826
2295,1704
2296,720
2297,696
2298,3462
2299,3889
2300,2260
2302,15
2303,3163
2304,5667
2305,4277
2306,1119
2307,1413
2311,439
2312,231
2315,6665
2316,1633
2317,1388
2318,5915
2319,2694
2320,8404
2321,3870
2322,6172
2323,8188
2324,8694
2325,9288
2326,2524
2327,2805
2328,933
2329,1159
2330,7251
2331,0
2333,4652
2334,1808
2335,1853
2336,871
2337,3124
2338,686
2339,239
2340,15713
2341,635
2342,228
2343,2347
2344,410
2345,266
2346,1426
2347,1069
2350,9088
2352,948
2353,403
2354,1670
2355,164
2356,147
2357,1787
2358,1644
2359,376
2360,5331
2361,463
2365,1409
2369,393
2370,3301
2371,625
2372,2262
2379,270
2380,4206
2381,69
2382,655
2386,67
2387,173
2388,1134
2390,3111
2395,404
2396,529
2397,245
2399,279
2400,3900
2401,124
2402,837
2403,209
2404,883
2405,308
2408,351
2409,401
2410,56
2411,123
2415,123
2420,2151
2421,386
2422,2343
2423,1383
2424,176
2425,931
2426,182
2427,1283
2428,10403
2429,4195
2430,12918
2431,2199
2439,930
2440,8933
2441,1505
2443,3645
2444,15112
2445,2129
2446,4496
2447,2692
2448,3305
2449,978
2450,15256
2452,3497
2453,1277
2454,2887
2455,1213
2456,4724
2460,10967
2462,816
2463,2322
2464,3077
2465,78
2466,794
2469,2237
2470,5467
2471,815
2472,903
2473,1077
2474,2358
2475,180
2476,455
2477,4007
2478,9035
2479,1631
2480,16344
2481,4141
2482,2462
2483,3855
2484,6866
2485,4302
2486,11720
2487,2853
2488,1338
2489,1716
2490,136
2500,8408
2502,4237
2505,1629
2506,2616
2508,2769
2515,3752
2516,2167
2517,4111
2518,6077
2519,5933
2525,3620
2526,5223
2527,6728
2528,8116
2529,7077
2530,10390
2533,5545
2534,2213
2535,3210
2536,9617
2537,5696
2538,721
2539,10409
2541,9012
2545,630
2546,4332
2548,2839
2549,1240
2550,6643
2551,1474
2555,256
2556,537
2557,1355
2558,3529
2559,1136
2560,23742
2563,85
2564,4720
2565,5470
2566,8117
2567,9898
2568,289
2569,579
2570,8117
2571,2612
2572,1533
2573,1633
2574,2011
2575,5622
2576,5190
2577,6384
2578,1013
2579,1572
2580,11000
2581,970
2582,4079
2583,2143
2584,149
2585,143
2586,1229
2587,1528
2588,74
2590,3160
2594,4473
2619,2719
2621,2072
2622,1724
2623,195
2624,179
2625,286
2626,79
2627,1292
2628,754
2629,481
2630,3957
2631,297
2632,1189
2633,148
2640,10599
2641,5620
2642,1893
2643,983
2644,1151
2645,271
2646,2897
2647,986
2648,1062
2650,18572
2651,555
2652,2166
2653,1094
2655,429
2656,709
2658,699
2659,406
2660,559
2663,1519
2665,1124
2666,2441
2668,186
2669,998
2671,1753
2672,686
2675,680
2680,7668
2681,584
2700,2189
2701,695
2702,429
2703,269
2705,3655
2706,430
2707,568
2710,4385
2711,1554
2712,567
2713,982
2714,1094
2715,595
2716,762
2717,635
2720,2985
2721,108
2722,1448
2725,110
2726,62
2727,159
2729,878
2730,733
2731,2039
2732,857
2733,411
2734,50
2735,149
2736,199
2737,327
2738,675
2739,334
2745,7891
2747,11183
2748,550
2749,5235
2750,14231
2752,1455
2753,5564
2754,2201
2755,41
2756,10728
2757,301
2758,2491
2759,8461
2760,8871
2761,7893
2762,1419
2763,9282
2765,4560
2766,4010
2767,5880
2768,6330
2770,17817
2773,2212
2774,4502
2775,1066
2776,1626
2777,6389
2778,946
2779,1855
2780,6396
2782,2779
2783,1048
2784,563
2785,2615
2786,734
2787,2240
2790,6145
2791,93
2792,88
2793,449
2794,4351
2795,14173
2797,204
2798,772
2799,1596
2800,14773
2803,187
2804,1235
2805,367
2806,286
2807,140
2808,63
2809,63
2810,1617
2820,3079
2821,1947
2823,539
2824,1092
2825,1206
2827,1811
2828,289
2829,1774
2830,14007
2831,346
2832,1274
2833,456
2834,1113
2835,1756
2836,297
2839,618
2840,1240
2842,155
2843,435
2844,927
2845,837
2846,275
2847,1036
2848,896
2849,416
2850,6267
2852,1760
2864,216
2865,377
2866,1191
2867,234
2868,261
2869,621
2870,4696
2871,3649
2873,301
