month,installations,cumulative
May 2017,14661.0,1705743.0
Jun 2017,14029.0,1719772.0
Jul 2017,14578.0,1734350.0
Aug 2017,15832.0,1750182.0
Sep 2017,14653.0,1764835.0
Oct 2017,15833.0,1780668.0
Nov 2017,18240.0,1798908.0
Dec 2017,17589.0,1816497.0
Jan 2018,14320.0,1830817.0
Feb 2018,16628.0,1847445.0
Mar 2018,17715.0,1865160.0
Apr 2018,15879.0,1881039.0
May 2018,18221.0,1899260.0
Jun 2018,16424.0,1915684.0
Jul 2018,17920.0,1933604.0
Aug 2018,19377.0,1952981.0
Sep 2018,19047.0,1972028.0
Oct 2018,22115.0,1994143.0
Nov 2018,24895.0,2019038.0
Dec 2018,22297.0,2041335.0
Jan 2019,18573.0,2059908.0
Feb 2019,22911.0,2082819.0
Mar 2019,23347.0,2106166.0
Apr 2019,20802.0,2126968.0
May 2019,23000.0,2149968.0
Jun 2019,19092.0,2169060.0
Jul 2019,22601.0,2191661.0
Aug 2019,22981.0,2214642.0
Sep 2019,23325.0,2237967.0
Oct 2019,27634.0,2265601.0
Nov 2019,29846.0,2295447.0
Dec 2019,29147.0,2324594.0
Jan 2020,23286.0,2347880.0
Feb 2020,27901.0,2375781.0
Mar 2020,30792.0,2406573.0
Apr 2020,25831.0,2432404.0
May 2020,26683.0,2459087.0
Jun 2020,28265.0,2487352.0
Jul 2020,29180.0,2516532.0
Aug 2020,13788.0,2530320.0
