postcode,solarExposure
0800,20.2
0810,20.1
0812,20.1
0820,20.1
0822,20.7
0828,20.1
0829,20.1
0830,20.1
0832,20.1
0834,20.1
0835,20.1
0836,20
0837,20
0838,20.2
0839,20.1
0840,20.2
0841,20.2
0845,20
0846,20.5
0847,20.6
0850,20.6
0852,21.1
0853,21
0854,20.6
0860,21.4
0862,20.6
0870,20.3
0872,20.3
0873,20.3
0874,20.3
0875,20.3
0880,19.4
0885,19.2
0886,20.7
2000,14.6
2007,14.6
2008,14.6
2009,14.6
2010,14.6
2011,14.6
2015,14.9
2016,14.6
2017,14.6
2018,14.9
2019,14.9
2020,14.9
2021,14.6
2022,14.6
2023,14.6
2024,14.6
2025,14.6
2026,14.6
2027,14.6
2028,14.6
2029,14.6
2030,14.6
2031,14.6
2032,14.9
2033,14.9
2034,14.9
2035,14.9
2036,14.9
2037,14.6
2038,14.6
2039,14.6
2040,14.6
2041,14.6
2042,14.6
2043,14.6
2044,14.9
2045,14.6
2046,14.6
2047,14.6
2048,14.6
2049,14.9
2050,14.6
2060,14.6
2061,14.6
2062,14.6
2063,14.6
2064,14.6
2065,14.6
2066,14.6
2067,14.6
2068,14.6
2069,14.6
2070,14.6
2071,14.6
2072,14.6
2073,14.6
2074,14.6
2075,14.6
2076,14.6
2077,14.6
2079,14.6
2080,14.6
2081,14.6
2082,14.6
2083,14.6
2084,14.6
2085,14.6
2086,14.6
2087,14.6
2088,14.6
2089,14.6
2090,14.6
2092,14.6
2093,14.6
2094,14.6
2095,14.6
2096,14.6
2097,14.6
2099,14.6
2100,14.6
2101,14.6
2102,14.6
2103,14.6
2104,14.6
2105,14.6
2106,14.6
2107,14.6
2108,14.6
2109,14.6
2110,14.6
2111,14.6
2112,14.6
2113,14.6
2114,14.6
2115,14.6
2116,14.6
2117,14.6
2118,14.6
2119,14.6
2120,14.6
2121,14.6
2122,14.6
2123,14.6
2125,14.6
2126,14.6
2127,14.6
2128,14.6
2130,14.9
2131,14.9
2132,14.6
2133,14.9
2134,14.6
2135,14.9
2136,14.9
2137,14.6
2138,14.6
2140,14.6
2141,14.6
2142,14.6
2143,14.9
2144,14.6
2145,14.4
2146,14.4
2147,14.4
2148,14.4
2150,14.6
2151,14.6
2152,14.6
2153,14.6
2154,14.6
2155,14.5
2156,14.5
2157,14.5
2158,14.5
2159,14.5
2160,14.6
2161,14.9
2162,14.9
2163,14.9
2164,14.4
2165,14.4
2166,14.4
2167,14.4
2168,14.4
2170,14.4
2171,14.4
2172,14.9
2173,14.9
2174,14.4
2175,14.4
2176,14.4
2177,14.4
2178,14.4
2179,14.4
2190,14.9
2191,14.9
2192,14.9
2193,14.9
2194,14.9
2195,14.9
2196,14.9
2197,14.9
2198,14.9
2199,14.9
2200,14.9
2203,14.9
2204,14.9
2205,14.9
2206,14.9
2207,14.9
2208,14.9
2209,14.9
2210,14.9
2211,14.9
2212,14.9
2213,14.9
2214,14.9
2216,14.9
2217,14.9
2218,14.9
2219,14.9
2220,14.9
2221,14.9
2222,14.9
2223,14.9
2224,14.9
2225,14.9
2226,14.9
2227,14.9
2228,14.9
2229,14.9
2230,14.9
2231,14.9
2232,14.9
2233,14.9
2234,14.9
2250,14.5
2251,14.6
2256,14.6
2257,14.6
2258,15.8
2259,15.8
2260,14.6
2261,15.8
2262,15.8
2263,15.8
2264,15.8
2265,15.8
2267,15.8
2278,15.8
2280,15.8
2281,15.8
2282,15.8
2283,15.8
2284,15.8
2285,15.8
2286,15.8
2287,15.8
2289,15.8
2290,15.8
2291,15.8
2292,15.8
2293,15.8
2294,15.8
2295,15.8
2296,15.8
2297,15.8
2298,15.8
2299,15.8
2300,15.8
2302,15.8
2303,15.8
2304,15.8
2305,15.8
2306,15.8
2307,15.8
2308,15.8
2311,15.2
2312,15.7
2315,15.7
2316,15.7
2317,15.7
2318,15.7
2319,15.7
2320,15.8
2321,15.7
2322,15.8
2323,15.8
2324,15.7
2325,15.8
2326,15.8
2327,15.8
2328,16.3
2329,16.3
2330,15.2
2333,16.3
2334,15.2
2335,15.2
2336,16.3
2337,16.3
2338,16.3
2339,16.3
2340,17.4
2341,17.4
2342,17.4
2343,17.6
2344,17.4
2345,17.5
2346,17.5
2347,17.1
2350,16.8
2352,17.5
2353,17.5
2354,17.5
2355,17.5
2356,17.6
2357,17.6
2358,17.5
2359,17.1
2360,17.1
2361,17.1
2365,16.8
2369,17.1
2370,16.8
2371,16.8
2372,16.8
2379,17.6
2380,17.6
2381,17.6
2382,17.6
2386,17.4
2387,17.4
2388,17.6
2390,17.4
2395,17.6
2396,17.6
2397,17.4
2398,17.4
2399,17.4
2400,17.4
2401,17.4
2402,17.1
2403,17.1
2404,17.1
2405,17.4
2406,17.4
2408,17.5
2409,17.5
2410,17.5
2411,17.4
2415,15.2
2420,15.2
2421,15.2
2422,15.2
2423,15.7
2424,15.2
2425,15.7
2426,15.2
2427,15.2
2428,15.7
2429,15.2
2430,15.2
2431,16.1
2439,15.2
2440,16.1
2441,16.1
2443,15.2
2444,16.1
2445,16.1
2446,16.1
2447,16.1
2448,16.1
2449,16.1
2450,16.1
2452,16.1
2453,16.1
2454,16.1
2455,16.1
2456,16.1
2460,16.1
2462,16.1
2463,16.1
2464,16.1
2465,16.1
2466,16.1
2469,16.1
2470,16.1
2471,16.1
2472,16.1
2473,16.1
2474,16.1
2475,16.8
2476,16.8
2477,16.1
2478,16.1
2479,16.1
2480,16.1
2481,16.1
2482,16.1
2483,16.1
2484,16.1
2485,16.3
2486,16.3
2487,16.1
2488,16.1
2489,16.1
2490,16.1
2500,14.9
2502,14
2505,14
2506,14
2508,14.9
2515,14.9
2516,14.9
2517,14.9
2518,14.9
2519,14.9
2525,14.9
2526,14.4
2527,14
2528,14
2529,14
2530,14
2533,14
2534,14
2535,14
2536,14
2537,15.9
2538,14
2539,14
2540,14
2541,14
2545,15.9
2546,15.3
2548,15.3
2549,15.3
2550,15.3
2551,15.3
2555,14.4
2556,14.4
2557,14.4
2558,14.4
2559,14.4
2560,14.4
2563,14.4
2564,14.4
2565,14.4
2566,14.4
2567,14.4
2568,14.4
2569,14.4
2570,14.4
2571,14.4
2572,14.4
2573,14.4
2574,14.4
2575,14.4
2576,14
2577,14
2578,14
2579,14
2580,14
2581,16.1
2582,16.1
2583,16.9
2584,16.1
2585,16.1
2586,16.9
2587,16.9
2588,16.6
2590,16.6
2594,16.9
2600,16.1
2601,16.1
2602,16.1
2603,16.1
2604,15.9
2605,16.1
