postcode,solarExposure
2606,16.1
2607,16.1
2609,15.9
2611,16.1
2612,16.1
2614,16.1
2615,16.1
2617,16.1
2618,16.1
2619,15.9
2620,15.9
2621,15.9
2622,15.9
2623,15.9
2625,13.5
2626,15.9
2627,15.3
2628,15.3
2629,14.7
2630,15.3
2631,15.3
2632,15.3
2633,13.5
2640,16.3
2641,16.3
2642,14.6
2643,16.3
2644,16.6
2645,16.3
2646,16.3
2647,16.3
2648,17.5
2649,14.7
2650,16.6
2651,16.6
2652,17.4
2653,14.7
2655,16.6
2656,16.6
2658,16.6
2659,16.3
2660,16.6
2663,16.6
2665,17.4
2666,16.6
2668,16.6
2669,17.4
2671,17.8
2672,17.8
2675,17.4
2680,17.4
2681,17.4
2700,17.4
2701,16.6
2702,16.6
2703,17.4
2705,17.4
2706,17.4
2707,17.4
2710,17
2711,17.4
2712,16.2
2713,17
2714,17
2715,17.5
2716,17
2717,17.5
2720,14.7
2721,16.9
2722,16.6
2725,16.6
2726,16.1
2727,16.1
2729,16.6
2730,14.7
2731,17
2732,17
2733,17
2734,17
2735,17
2736,17.5
2737,17.5
2738,17.5
2739,17.5
2745,14.4
2747,14.5
2748,14.4
2749,14.5
2750,14.4
2752,14.4
2753,14.5
2754,14.5
2756,14.5
2757,14.5
2758,14.5
2759,14.4
2760,14.4
2761,14.5
2762,14.5
2763,14.5
2765,14.5
2766,14.4
2767,14.4
2768,14.5
2769,14.5
2770,14.4
2773,14.4
2774,14.4
2775,14.5
2776,14.5
2777,14.5
2778,14.4
2779,14.4
2780,14.4
2782,14.4
2783,14.4
2784,14.4
2785,14.4
2786,14.5
2787,14.4
2790,14.5
2791,16.5
2792,16.9
2793,16.9
2794,16.9
2795,16.5
2797,16.9
2798,16.5
2799,16.5
2800,16.5
2803,16.9
2804,16.9
2805,16.9
2806,16.9
2807,16.9
2808,16.9
2809,16.9
2810,16.9
2817,17.2
2818,17.2
2820,17
2821,17.2
2822,17.2
2823,17.2
2824,17.2
2825,18.2
2826,17.8
2827,17.2
2828,17.2
2829,17.6
2830,17.2
2831,18.2
2832,17.4
2833,17.4
2834,17.4
2835,18.2
2836,18.2
2838,17.4
2839,18.2
2840,18.2
2842,17.2
2843,17.6
2844,17.2
2845,14.5
2846,14.5
2847,14.5
2848,16.5
2849,16.3
2850,17.2
2852,17.2
2864,16.5
2865,16.5
2866,16.5
2867,17
2868,17
2869,17
2870,16.5
2871,17.8
2873,17.8
2874,17.8
2875,17.8
2876,17.8
2877,17.8
2878,18.2
2879,17.5
2880,17.5
2898,16.1
2899,16.1
2900,16.1
2902,16.1
2903,16.1
2904,16.1
2905,16.1
2906,16.1
2911,16.1
2912,16.1
2913,16.1
2914,16.1
3000,14.1
3002,14.1
3003,14.1
3004,14.1
3006,14.1
3008,14.1
3011,14.1
3012,14.1
3013,14.1
3015,14.1
3016,14.1
3018,14.1
3019,14.1
3020,14.1
3021,14
3022,14.1
3023,14.1
3024,14.1
3025,14.1
3026,14.1
3027,14.1
3028,14.1
3029,14.1
3030,14.1
3031,14.1
3032,14.1
3033,14
3034,14.1
3036,14
3037,14
3038,14
3039,14.1
3040,14.1
3041,14
3042,14
3043,14
3044,14.1
3045,14
3046,14
3047,14
3048,14
3049,14
3051,14.1
3052,14.1
3053,14.1
3054,14.1
3055,14.1
3056,14.1
3057,14.1
3058,13.8
3059,14
3060,13.8
3061,13.8
3062,14
3063,14
3064,14
3065,14.1
3066,14.1
3067,14.1
3068,14.1
3070,14.1
3071,13.8
3072,13.8
3073,13.8
3074,13.8
3075,13.8
3076,13.8
3078,14.1
3079,13.8
3081,13.8
3082,13.8
3083,13.8
3084,13.8
3085,13.8
3087,13.8
3088,13.8
3089,13.8
3090,13.8
3091,13.8
3093,13.8
3094,13.8
3095,13.8
3096,13.8
3097,13.8
3099,13.8
3101,14.1
3102,14.1
3103,14.1
3104,13.8
3105,13.8
3106,13.8
3107,13.8
3108,13.8
3109,13.8
3111,13.4
3113,13.8
3114,13.4
3115,13.4
3116,13.4
3121,14.1
3122,14.1
3123,14.1
3124,14.1
3125,13.4
3126,14.1
3127,14.1
3128,13.4
3129,13.8
3130,13.4
3131,13.4
3132,13.4
3133,13.4
3134,13.4
3135,13.4
3136,13.4
3137,13.4
3138,13.4
3139,13.4
3140,13.4
3141,14.1
3142,14.1
3143,14.1
3144,14.1
3145,14.1
3146,14.1
3147,14.1
3148,13.4
3149,13.4
3150,13.4
3151,13.4
3152,13.4
3153,13.4
3154,13.4
3155,13.4
3156,13.4
3158,13.4
3159,13.4
3160,13.4
3161,14.1
3162,14.1
3163,14.1
3165,14.1
3166,13.4
3167,14.1
3168,13.4
3169,14.1
3170,13.4
3171,14.1
3172,14.1
3173,14.1
3174,14.1
3175,14.1
3177,13.4
3178,13.4
3179,13.4
3180,13.4
3181,14.1
3182,14.1
3183,14.1
3184,14.1
3185,14.1
3186,14.1
3187,14.1
3188,14.1
3189,14.1
3190,14.1
3191,14.1
3192,14.1
3193,14.1
3194,14.1
3195,14.1
3196,14.1
3197,14.1
3198,14.1
3199,14
3200,14
3201,14
3202,14.1
3204,14.1
3205,14.1
3206,14.1
3207,14.1
3211,14.1
3212,14.1
3213,14.1
3214,14.1
3215,14.1
3216,14.1
3217,14.1
3218,14.1
3219,14.1
3220,14.1
3221,14.1
3222,14.1
3223,14.1
3224,14.1
3225,14.1
3226,14.1
3227,14.1
3228,14.1
3230,14.1
3231,14.1
3232,14.1
3233,14
3234,14.1
3235,14.1
3236,14.1
3237,14.1
3238,14
3239,14.1
3240,14.1
3241,14.1
3242,14.1
3243,14.1
3249,14.1
3250,14.1
3251,14.1
3254,14.1
3260,14.4
3264,14.4
3265,14.4
3266,14.4
3267,14.4
3268,14.4
3269,14.4
3270,14.4
3271,14.4
3272,14.4
3273,14.4
3274,14.4
3275,14.4
3276,14.4
3277,14.4
3278,14.4
3279,14.4
3280,14.4
3281,14.4
3282,14.4
3283,14.4
3284,14.4
3285,14.4
3286,14.4
3287,14.4
3289,14.4
3292,14.4
3293,14.4
3294,14.4
3300,14.4
3301,14.4
3302,14.4
3303,14.4
3304,14.4
3305,14.4
3309,14.4
3310,14.4
3311,14.4
3312,14.4
3314,14.4
3315,14.4
3317,15.4
3318,15.4
3319,15.4
3321,14.1
3322,14.1
3323,14.1
3324,14.4
3325,14.4
3328,14.1
3329,14.1
3330,14.1
3331,14.1
3332,14.1
3333,14.1
3334,14.1
3335,14
3337,14
3338,14.1
3340,14.1
3341,14
3342,14.1
3345,14.1
3350,14.1
3351,14.4
3352,14.1
3355,14.1
3356,14.1
3357,14.1
3360,14.1
3361,14.4
3363,14
3364,14
3370,14
3371,14
3373,14.4
3374,14.4
3375,14.4
3377,14.4
3378,14.4
3379,14.4
3380,14.4
3381,14.4
3384,14.4
3385,14.4
3387,14.4
3388,14.4
3390,15.4
3391,15.4
3392,15.4
3393,15.4
3395,15.4
3396,17.5
3400,15.4
3401,15.4
3407,14.4
3409,15.4
3412,15.4
3413,15.4
3414,15.4
3415,15.4
3418,15.4
3419,15.4
3420,15.6
3423,15.4
3424,15.4
3427,14
3428,14
3429,14
3430,14
3431,14
3432,14
3433,14
3434,14
3435,14
3437,14
3438,14
3440,14
3441,14
3442,14
3444,14
3446,14
3447,14
3448,14
3450,14
3451,14
3453,14
3458,14
3460,14
3461,14
3462,14
3463,14
3464,14
3465,14
3467,14
3468,14
3469,14.4
3472,14
3475,16.6
3477,14.4
3478,14.4
3480,14.4
3482,15.4
3483,17
3485,17.5
3487,17.5
3488,17.5
3489,17.5
3490,17.5
3491,17.5
3494,17.5
3496,17.5
3498,17.5
3500,17.5
3501,17.5
3505,17.5
3506,17
3507,17.5
3509,17.5
3512,17
3515,16.6
3516,16.6
3517,16.6
3518,16.6
3520,16.6
3521,14
3522,14
3523,16.6
3525,16.6
3527,17
3529,17
3530,17
3531,17.5
3533,17.5
3537,16.6
3540,17
3542,17
3544,17
3546,17.5
3549,17.5
3550,16.6
3551,16.6
3555,16.6
3556,16.6
3557,16.6
3558,16.6
3559,16.6
3561,16.6
3562,16.6
3563,16.6
3564,16.6
3565,16.6
3566,17
3567,17
3568,17
3570,16.6
3571,16.6
3572,16.6
3573,16.6
3575,16.6
3576,16.6
3579,17
3580,17
3581,17
3583,17
3584,17
3585,17
3586,17
3588,17
3589,17
3590,17
3591,17
3594,17
3595,17
3596,17.5
3597,17.5
3599,17.5
3607,16.5
3608,16.5
3610,16.5
3612,16.5
3614,16.5
3616,16.5
3617,16.5
3618,16.6
3620,16.6
3621,16.6
3622,16.6
3623,16.6
3624,16.6
3629,16.5
3630,16.2
3631,16.5
3633,16.2
3634,16.2
3635,16.6
3636,16.2
3637,16.6
3638,16.6
3639,16.6
3640,16.2
3641,16.2
3644,16.2
3646,16.2
3647,16.2
3649,16.2
3658,13.6
3659,13.6
3660,15.1
3662,16.5
3663,16.5
3664,16.5
3665,16.5
3666,16.5
3669,16.2
3670,16.2
3672,16.2
3673,16.2
3675,16.2
3677,16.3
3678,16.3
3682,16.3
3683,16.3
3685,16.3
3687,16.3
3688,16.3
3690,16.3
3691,15.1
3694,16.3
3695,15.1
3697,15.1
3698,15.1
3699,15.1
3700,15.1
3701,15.1
3704,15.1
3705,14.6
3707,14.6
3708,14.6
3709,14.6
3711,13.6
3712,15.1
3713,15.1
3714,15.1
3715,15.1
3717,13.6
3718,15.1
3719,15.1
3720,15.1
3722,15.1
3723,15.1
3725,16.2
3726,16.2
3727,16.2
3728,16.2
3730,16.2
3732,16.2
3733,15.1
3735,16.3
3737,15.1
3738,16.3
3739,15.1
3740,15.1
3741,15.1
3744,15.1
3746,16.3
3747,16.3
3749,16.3
3750,13.8
3751,13.8
3752,13.8
3753,14
3754,13.8
3755,13.8
3756,14
3757,13.6
3758,14
3759,13.8
3760,13.6
3761,13.6
3762,14
3763,13.6
3764,14
3765,13.4
3766,13.4
3767,13.4
3770,13.6
3775,13.6
3777,13.6
3778,13.6
3779,13.6
3781,13.4
3782,13.4
3783,13.4
3786,13.4
3787,13.4
3788,13.4
3789,13.4
3791,13.4
3792,13.4
3793,13.4
3795,13.4
3796,13.4
3797,13.6
3799,13.6
3802,13.4
3803,14
3804,13.4
3805,14
3806,14
3807,14
3808,13.4
3809,14
3810,14
3812,14
3813,14
3814,14
3815,14
3816,14
3818,13.8
3820,13.8
3821,13.8
3822,13.8
3823,13.8
3824,13.8
3825,13.8
3831,13.8
3832,13.8
3833,13.8
3835,13.8
3840,13.8
3842,13.8
3844,13.8
3847,14.6
3850,14.6
3851,14.6
3852,14.6
3854,13.8
3856,13.8
3857,13.8
3858,14.6
3859,14.6
3860,14.6
3862,14.6
3864,14.6
3865,14.6
3869,13.8
3870,13.8
3871,13.8
3873,13.8
3874,14.6
3875,14.6
3878,14.6
3880,14.6
3882,14.6
3885,13.5
3886,14.6
3887,14.6
3888,13.5
3889,13.5
3890,13.5
3891,13.5
3892,15.3
3893,14.6
3895,15.1
3896,15.1
3898,15.1
3900,15.1
3902,14.6
3903,14.6
3904,14.6
3909,14.6
3910,14
3911,14
3912,14
3913,14
3915,14
3916,14
3918,14
3919,14
3921,14
3922,14
3923,14
3925,14
3926,14
3927,14
3928,14
3929,14
3930,14
3931,14
3933,14
3934,14
3936,14
3937,14
3938,14
3939,14
3940,14.1
3941,14.1
3942,14.1
3943,14.1
3944,14.1
3945,14
3946,14
3950,13.8
3951,13.8
3953,13.8
3954,13.8
3956,13.8
3957,13.8
3958,13.8
3959,13.8
3960,13.8
3962,13.8
3964,13.8
3965,13.8
3966,13.8
3967,13.8
3971,13.8
3975,14
3976,14
3977,14
3978,14
3979,14
3980,14
3981,14
3984,14
3987,14
3988,13.8
3990,14
3991,14
3992,14
3995,14
3996,14
4000,16.3
4005,16.3
4006,16.3
4007,16.7
4008,16.9
4009,16.7
4010,16.3
4011,16.7
4012,16.7
4013,16.7
4014,16.9
4017,16.9
4018,16.9
4019,16.9
4020,16.9
4021,16.9
4022,16.9
4025,16.9
4030,16.3
4031,16.3
4032,16.3
4034,16.9
4035,16.3
4036,16.9
4037,16.3
4051,16.3
4053,16.3
4054,16.3
4055,16.3
4059,16.3
4060,16.3
4061,16.3
4064,16.3
4065,16.3
4066,16.3
4067,16.3
4068,16.3
4069,16.3
4070,16.3
4073,16.3
4074,16.3
4075,16.3
4076,16.3
4077,16.3
4078,16.3
4101,16.3
4102,16.3
4103,16.3
4104,16.3
4105,16.3
4106,16.3
4107,16.3
4108,16.3
4109,16.3
4110,16.3
4111,16.3
4112,16.3
4113,16.3
4114,16.3
4115,16.3
4116,16.3
4117,16.3
4118,16.3
4119,16.3
4120,16.3
4121,16.3
4122,16.3
4123,16.3
4124,16.3
4125,16.3
4127,16.3
4128,16.3
4129,16.3
4130,16.3
4131,16.3
4132,16.3
4133,16.3
4151,16.3
4152,16.3
4153,16.7
4154,16.7
4155,16.7
4156,16.7
4157,16.7
4158,16.7
4159,16.7
4160,16.7
4161,16.7
4163,16.7
4164,16.7
4165,16.7
4169,16.3
4170,16.3
4171,16.3
4172,16.7
4173,16.7
4174,16.7
4178,16.9
4179,16.7
4183,16.9
4184,16.7
4205,16.3
4207,16.3
4208,16.3
4209,16.3
4210,16.3
4211,16.3
4212,16.3
4213,16.3
4214,16.3
4215,16.3
4216,16.3
4217,16.3
4218,16.3
4220,16.3
4221,16.3
4223,16.3
4224,16.3
4225,16.3
4226,16.3
4227,16.3
4228,16.3
4230,16.3
4270,16.3
4271,16.3
4272,16.3
4275,16.3
4280,16.3
4285,16.3
4287,16.3
4300,16.3
4301,16.3
4303,16.3
4304,16.3
4305,16.3
4306,16.4
4307,16.3
4309,16.8
4310,16.3
4311,16.4
4312,16.4
4313,16.4
4340,16.4
4341,16.4
4342,16.4
4343,16.4
4344,16.4
4345,16.4
4346,16.4
4347,16.4
4350,16.4
4352,16.8
4353,16.4
4354,16.4
4355,16.4
4356,16.4
4357,17.5
4358,16.8
4359,16.4
4360,16.8
4361,16.8
4362,16.8
4363,16.4
4364,16.8
4365,16.8
4370,16.8
4371,16.8
4372,16.8
4373,16.8
4374,16.8
4375,16.8
4376,16.8
4377,16.8
4378,16.8
4380,16.8
4381,16.8
4382,16.8
4383,16.8
4384,17.5
4385,17.5
4387,17.5
4388,17.5
4390,17.5
4400,16.4
4401,16.4
4402,16.4
4403,16.4
4404,16.4
4405,16.4
4406,17.5
4407,17.5
4408,16.4
4410,17
4411,17
4412,17
4413,17
4415,17
4416,17.5
4417,17.5
4418,17.5
4419,17.5
4420,17.5
4421,17.5
4422,17.5
4423,17.5
4424,17.5
4425,17.5
4426,17.5
4427,17.5
4428,17.5
4454,17.5
4455,17.5
4461,17.5
4462,17.5
4465,17.5
4467,17.5
4468,17.5
4470,17.5
4472,17.5
4474,17.5
4475,18.2
4477,17.5
4478,17.5
4479,17.5
4480,18.2
4481,20.8
4482,20
4486,17.4
4487,17.4
4488,17.4
4489,17.4
4490,18.2
4491,18.2
4492,18.2
4493,18.2
4494,17.5
4496,17.4
4497,17.4
4498,17.5
4500,16.3
4501,16.9
4502,16.9
4503,16.9
4504,16.9
4505,16.9
4506,16.9
4507,15.9
4508,16.9
4509,16.9
4510,16.9
4511,16.9
4512,15.9
4514,15.9
4515,15.9
4516,15.9
4517,15.9
4518,15.9
4519,15.9
4520,16.3
4521,16.3
4550,15.9
4551,15.9
4552,15.9
4553,15.9
4554,15.9
4555,15.9
4556,15.9
4557,15.9
4558,15.9
4559,15.9
4560,15.9
4561,15.9
4562,15.9
4563,15.9
4564,15.9
4565,15.9
4566,15.9
4567,15.9
4568,15.9
4569,15.9
4570,15.9
4571,15.9
4572,15.9
4573,15.9
4574,15.9
4575,15.9
4580,15.9
4581,17
4600,17
4601,17
4605,17
4606,17
4608,17
4610,17
4611,17
4612,17
4613,17
4614,16.4
4615,15.9
4620,17
4621,17
4625,17
4626,17
4627,17
4630,17.4
4650,17
4655,17
4659,17
4660,17
4662,17
4670,17
4671,17
4673,17
4674,17
4676,17.4
4677,17.4
4678,17.4
4680,17.4
4694,17.4
4695,17.4
4697,17.4
4699,17.4
4700,17.4
4701,17.4
4702,17.5
4703,17.4
4704,17.4
4705,16.9
4706,16.9
4707,16.9
4709,16.9
4710,17.4
4711,17.4
4712,17.4
4713,17.5
4714,17.4
4715,17.4
4716,17.4
4717,17.5
4718,17.5
4719,17.5
4720,17.5
4721,16.9
4722,17.5
4723,16.9
4724,17.5
4725,18
4726,18
4727,18
4728,18
4730,20.8
4731,17.5
4732,18
4733,20.8
4735,20.8
4736,20.8
4737,16.9
4738,16.9
4739,16.9
4740,16.9
4741,16.9
4742,16.9
4743,16.9
4744,16.9
4745,16.9
4746,16.9
4750,17.6
4751,16.9
4753,16.9
4754,16.9
4756,16.9
4757,16.9
4798,16.9
4799,16.9
4800,16.9
4802,17.6
4803,17.6
4804,18
4805,18
4806,18.6
4807,18
4808,18.6
4809,18.6
4810,18.5
4811,18.5
4812,18.5
4814,18.5
4815,18.5
4816,18.5
4817,18.5
4818,18.5
4819,18.5
4820,18
4821,18.5
4822,20.8
4823,20.8
4824,20.8
4825,20.5
4828,20.9
4829,20.5
4830,20.9
4849,17.7
4850,17.7
4852,17.7
4854,17.7
4855,17.7
4856,17.4
4858,17.4
4859,17.4
4860,17.1
4861,17.1
4865,18.2
4868,18
4869,18
4870,18
4871,19.8
4872,19.8
4873,18
4874,19.3
4875,19.3
4876,19.3
4877,18
4878,18
4879,18
4880,19.1
4881,18
4882,19.1
4883,18.2
4884,18.2
4885,18.2
4886,18.2
4887,19.8
4888,18.2
4890,20.8
4891,20.8
4892,19.3
4895,18
5000,15
5006,15
5007,15
5008,15
5009,15
5010,15
5011,15
5012,15
5013,15.7
5014,15
5015,15
5016,15.7
5017,15.7
5018,15.7
5019,15.9
5020,15.9
5021,15.9
5022,15.9
5023,15.9
5024,15.9
5025,15
5031,15
5032,15.9
5033,15
5034,15
5035,15
5037,15.9
5038,15.9
5039,14.9
5040,15.9
5041,14.9
5042,14.9
5043,15.9
5044,15.9
5045,15.9
5046,15.9
5047,15.9
5048,15.9
5049,15.9
5050,14.9
5051,14.9
5052,14.9
5061,14.9
5062,14.9
5063,14.9
5064,14.9
5065,15.2
5066,14.9
5067,15.2
5068,15.2
5069,15.2
5070,15.2
5072,15.2
5073,15.2
5074,15.2
5075,15.2
5076,15.4
5081,15.2
5082,15
5083,15.2
5084,15
5085,15.2
5086,15.2
5087,15.2
5088,15.7
5089,15.2
5090,15.7
5091,15.7
5092,15.7
5093,15.7
5094,15.7
5095,15.7
5096,15.7
5097,15.7
5098,15.7
5106,15.7
5107,15.7
5108,15.7
5109,15.7
5110,15.7
5111,15.7
5112,15.7
5113,15.7
5114,15.7
5115,16.1
5116,16.1
5117,16.1
5118,16.1
5120,15.7
5121,15.7
5125,15.7
5126,15.7
5127,15.7
5131,15.7
5132,15.4
5133,15.7
5134,15.4
5136,15.4
5137,15.4
5138,15.4
5139,15.4
5140,14.9
5141,14.9
5142,15.4
5144,15.4
5150,14.9
5151,15.4
5152,14.9
5153,15.4
5154,15.4
5155,15.4
5156,14.9
5157,14.9
5158,15.9
5159,14.9
5160,15.9
5161,15.9
5162,14.9
5163,14.9
5164,15.9
5165,15.9
5166,15.9
5167,15.9
5168,15.9
5169,15.9
5170,15.9
5171,14.9
5172,14.9
5173,15.9
5174,15.9
5201,14.9
5202,15.7
5203,15.7
5204,15.7
5210,15.7
5211,15.7
5212,15.7
5213,15.7
5214,15.7
5220,15.3
5221,15.3
5222,15.3
5223,15.3
5231,15.4
5232,15.4
5233,15.4
5234,15.4
5235,16
5236,15.4
5237,15.4
5238,16
5240,15.4
5241,15.4
5242,15.4
5243,15.4
5244,15.4
5245,15.4
5250,15.4
5251,15.4
5252,15.4
5253,15.7
5254,15.4
5255,15.7
5256,15.7
5259,15.7
5260,15.7
5261,15.7
5262,15.4
5263,15.2
5264,15.7
5265,15.7
5266,15.6
5267,15.6
5268,15.6
5269,15.6
5270,15.6
5271,15.4
5272,15.1
5273,15.1
5275,15.6
5276,15.1
5277,15.2
5278,14.4
5279,14.7
5280,14.7
5290,14.4
5291,14.4
5301,15.7
5302,15.6
5303,17
5304,17
5306,15.7
5307,17
5308,16.9
5309,17
5310,17
5311,17
5320,16.9
5321,16.9
5322,16.9
5330,16.9
5331,16.9
5332,17
5333,17
5340,17
5341,17
5342,17
5343,17
5344,17
5345,17
5346,17
5350,16.1
5351,16
5352,16
5353,16
5354,16.9
5355,16
5356,16
5357,16.9
5360,16
5371,16.1
5372,16.1
5373,16
5374,16
5381,16
5400,16.1
5401,16.1
5410,16.1
5411,16.1
5412,16.1
5413,16
5414,16
5415,16
5416,16
5417,16.9
5418,16.9
5419,16.9
5420,16
5421,16.9
5422,18.2
5431,18.2
5432,18.2
5433,18.2
5434,18.2
5440,18.2
5451,16.1
5452,16.1
5453,16.1
5454,16
5455,16.1
5460,16.1
5461,16.1
5462,16.1
5464,16.1
5470,16.1
5471,16.1
5472,16.1
5473,16.1
5480,18.2
5481,18.2
5482,18.2
5483,18.2
5485,18.2
5490,16.1
5491,16
5493,18.2
5495,18.2
5501,16.1
5502,16.1
5510,16.1
5520,16.1
5521,16.1
5522,16.1
5523,16.1
5540,18.2
5550,16.1
5552,16.1
5554,16.1
