postcode,dwellings
"2000, NSW",376
"2006, NSW",0
"2007, NSW",293
"2008, NSW",1188
"2009, NSW",488
"2010, NSW",4012
"2011, NSW",1103
"2015, NSW",1848
"2016, NSW",2028
"2017, NSW",1176
"2018, NSW",2513
"2019, NSW",2317
"2020, NSW",2210
"2021, NSW",4467
"2022, NSW",2309
"2023, NSW",1687
"2024, NSW",2145
"2025, NSW",1699
"2026, NSW",3786
"2027, NSW",824
"2028, NSW",574
"2029, NSW",1291
"2030, NSW",3443
"2031, NSW",4893
"2032, NSW",3168
"2033, NSW",1315
"2034, NSW",2591
"2035, NSW",7671
"2036, NSW",6701
"2037, NSW",4152
"2038, NSW",2871
"2039, NSW",2489
"2040, NSW",7062
"2041, NSW",4840
"2042, NSW",5271
"2043, NSW",1721
"2044, NSW",2640
"2045, NSW",2146
"2046, NSW",6484
"2047, NSW",2203
"2048, NSW",2012
"2049, NSW",2529
"2050, NSW",1117
"2052, NSW",0
"2060, NSW",2178
"2061, NSW",291
"2062, NSW",1339
"2063, NSW",1897
"2064, NSW",1226
"2065, NSW",4720
"2066, NSW",6432
"2067, NSW",3938
"2068, NSW",5006
"2069, NSW",4114
"2070, NSW",3362
"2071, NSW",3257
"2072, NSW",1696
"2073, NSW",4867
"2074, NSW",6510
"2075, NSW",6067
"2076, NSW",7296
"2077, NSW",7624
"2079, NSW",2401
"2080, NSW",595
"2081, NSW",1812
"2082, NSW",1861
"2083, NSW",792
"2084, NSW",1121
"2085, NSW",4027
"2086, NSW",4321
"2087, NSW",4086
"2088, NSW",6018
"2089, NSW",1159
"2090, NSW",1862
"2092, NSW",2321
"2093, NSW",5753
"2094, NSW",1269
"2095, NSW",1698
"2096, NSW",2723
"2097, NSW",3820
"2099, NSW",7630
"2100, NSW",6039
"2101, NSW",4625
"2102, NSW",1995
"2103, NSW",2926
"2104, NSW",1448
"2105, NSW",919
"2106, NSW",2677
"2107, NSW",5121
"2108, NSW",1235
"2109, NSW",148
"2110, NSW",2840
"2111, NSW",3867
"2112, NSW",8029
"2113, NSW",5002
"2114, NSW",4947
"2115, NSW",3592
"2116, NSW",2282
"2117, NSW",6774
"2118, NSW",6680
"2119, NSW",3702
"2120, NSW",6682
"2121, NSW",7211
