postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2000, NSW",11,22,0,55,4,0,3,7,137,241
"2006, NSW",0,0,0,0,0,0,0,0,0,0
"2007, NSW",53,28,0,102,4,0,3,48,7,257
"2008, NSW",170,184,0,490,3,0,0,112,79,1042
"2009, NSW",52,79,0,158,7,0,0,40,25,366
"2010, NSW",582,720,5,1430,27,4,15,402,400,3583
"2011, NSW",85,130,0,564,8,4,0,121,118,1028
"2015, NSW",202,346,0,366,0,4,0,64,71,1049
"2016, NSW",337,385,0,536,20,4,9,133,140,1574
"2017, NSW",86,195,0,450,3,6,3,88,62,886
"2018, NSW",11,27,0,31,0,0,0,8,6,84
"2019, NSW",132,317,0,191,4,0,0,24,26,699
"2020, NSW",5,9,0,11,0,0,0,7,11,45
"2021, NSW",1108,987,0,1044,32,7,15,310,380,3889
"2022, NSW",293,346,0,237,3,4,0,76,76,1038
"2023, NSW",53,45,0,18,3,0,0,7,14,139
"2024, NSW",152,200,0,66,0,0,0,37,41,497
"2025, NSW",297,210,0,174,11,0,4,64,81,837
"2026, NSW",318,464,0,166,0,0,3,53,62,1071
"2027, NSW",164,90,0,76,5,0,0,37,41,410
"2028, NSW",81,58,0,47,0,0,0,18,26,229
"2029, NSW",58,88,0,42,3,0,0,14,13,217
"2030, NSW",135,145,0,72,8,15,9,27,19,430
"2031, NSW",389,466,0,260,11,3,5,61,82,1281
"2032, NSW",93,89,0,274,5,10,0,41,28,536
"2033, NSW",48,39,0,58,7,0,3,19,17,188
"2034, NSW",153,200,0,193,3,0,4,42,49,640
"2035, NSW",390,530,0,426,9,0,9,90,119,1574
"2036, NSW",340,510,0,662,18,0,4,140,83,1767
"2037, NSW",585,557,3,1303,23,9,3,273,234,2990
"2038, NSW",244,289,0,273,9,0,3,68,70,957
"2039, NSW",216,334,0,312,7,3,0,80,63,1013
"2040, NSW",321,582,0,640,4,4,6,105,118,1779
"2041, NSW",1136,980,0,697,16,7,7,196,238,3280
"2042, NSW",467,637,0,889,22,6,9,212,184,2417
"2043, NSW",143,372,0,341,6,0,0,90,53,1008
"2044, NSW",57,179,0,138,0,3,0,35,26,437
"2045, NSW",16,15,0,18,0,0,0,5,5,56
"2046, NSW",179,196,0,278,3,0,0,93,54,808
"2047, NSW",36,54,0,51,0,0,0,7,20,164
"2048, NSW",103,144,0,102,4,0,0,35,24,414
"2049, NSW",119,229,0,142,4,3,6,39,31,568
"2050, NSW",97,163,0,195,0,0,0,23,37,522
"2052, NSW",0,0,0,0,0,0,0,0,0,0
"2060, NSW",381,238,0,352,12,0,3,72,113,1168
"2061, NSW",70,32,0,36,3,0,0,10,19,163
"2062, NSW",74,101,0,121,0,0,0,15,28,348
"2063, NSW",55,22,0,33,0,0,0,5,9,119
"2064, NSW",66,99,0,124,3,0,0,11,20,319
"2065, NSW",389,301,0,331,4,0,0,76,83,1183
"2066, NSW",154,199,0,232,5,3,5,28,43,668
"2067, NSW",74,63,0,63,5,0,0,10,11,223
"2068, NSW",82,84,0,54,0,0,0,8,19,256
"2069, NSW",32,28,0,21,0,0,0,3,0,84
"2070, NSW",29,10,0,19,0,0,0,18,10,87
"2071, NSW",7,14,0,16,0,0,0,3,5,39
"2072, NSW",38,28,0,21,0,0,0,3,4,98
"2073, NSW",42,20,0,14,3,0,0,3,5,95
"2074, NSW",120,53,0,44,5,0,0,4,20,249
"2075, NSW",369,97,0,52,3,0,0,32,33,587
"2076, NSW",220,134,0,152,0,0,9,23,43,591
"2077, NSW",231,225,0,205,0,0,0,72,47,783
"2079, NSW",22,29,0,13,0,0,0,4,3,76
