postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
"2000, NSW",0,0,0,0,3,9,0,3,3,8,3,0,4,3,0,6,7,3,12,4,8,3,14,5,142,241
"2006, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007, NSW",0,0,0,9,22,14,5,9,6,16,9,13,9,22,11,14,9,11,11,5,0,0,17,13,36,257
"2008, NSW",0,23,15,20,24,30,19,33,30,45,41,44,50,74,64,59,68,42,23,40,33,4,94,24,143,1042
"2009, NSW",0,3,3,10,8,11,10,9,12,13,8,13,14,32,22,14,23,9,14,12,22,0,30,13,48,366
"2010, NSW",7,44,24,36,66,82,50,68,93,128,142,110,125,259,152,151,279,119,113,195,239,34,324,44,695,3583
"2011, NSW",3,12,10,31,41,69,21,57,44,37,53,38,46,81,37,23,47,21,19,24,39,0,63,21,209,1028
"2015, NSW",3,9,0,11,16,21,20,29,19,31,31,29,23,76,66,70,98,40,50,77,100,5,87,14,114,1049
"2016, NSW",3,14,8,15,26,44,38,42,34,56,64,45,47,133,75,84,127,57,73,84,85,17,166,23,222,1574
"2017, NSW",4,18,8,23,34,46,28,32,34,25,45,40,37,65,43,31,31,31,28,28,30,6,61,21,131,886
"2018, NSW",0,0,0,0,0,0,3,6,5,3,3,0,3,7,7,3,5,3,0,4,4,0,7,0,12,84
"2019, NSW",0,13,0,12,4,24,19,20,14,35,42,28,35,85,57,49,48,32,37,32,12,0,64,12,41,699
"2020, NSW",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,45
"2021, NSW",4,27,20,31,36,64,58,72,83,112,104,83,101,278,143,144,400,166,198,274,429,63,346,58,602,3889
"2022, NSW",3,7,3,10,8,24,19,19,28,41,47,30,38,58,49,42,87,58,48,64,106,11,85,9,129,1038
"2023, NSW",0,3,0,0,0,0,4,0,3,3,3,5,8,10,4,11,6,10,7,16,15,0,17,0,15,139
"2024, NSW",0,9,0,7,5,7,6,5,5,19,17,17,14,31,28,16,44,22,39,44,44,4,41,12,64,497
"2025, NSW",0,8,3,6,10,14,8,21,23,24,28,22,18,54,25,26,92,37,32,56,102,15,72,18,126,837
"2026, NSW",0,4,0,9,13,13,6,22,19,39,32,32,15,68,62,42,92,63,74,102,121,12,122,13,96,1071
"2027, NSW",0,4,0,0,4,7,6,7,7,10,9,8,12,31,17,17,38,10,7,35,45,8,33,9,72,410
"2028, NSW",0,6,0,4,3,3,4,3,0,5,5,4,0,16,3,3,24,9,11,12,27,9,25,8,46,229
"2029, NSW",0,4,0,0,0,0,5,0,6,4,11,8,9,13,13,8,13,11,17,19,14,0,24,7,23,217
"2030, NSW",5,7,7,5,6,10,6,14,3,24,11,9,22,29,18,19,36,22,24,22,46,3,35,8,41,430
"2031, NSW",5,13,0,9,7,20,14,28,30,38,49,46,41,88,78,64,122,71,76,102,99,11,127,19,122,1281
"2032, NSW",0,23,3,14,42,33,26,31,21,26,23,22,22,40,28,11,14,10,9,17,13,0,42,18,54,536
"2033, NSW",0,10,4,4,0,3,0,3,3,9,14,5,8,20,10,16,5,8,6,11,4,0,17,0,26,188
"2034, NSW",0,0,0,5,6,12,5,13,4,21,19,19,17,57,46,37,34,31,41,40,63,6,73,8,72,640
"2035, NSW",3,14,9,23,31,63,41,57,61,72,64,65,63,138,104,78,101,51,57,60,65,7,148,29,163,1574
"2036, NSW",5,19,6,41,59,80,46,90,65,81,68,77,85,177,105,111,90,43,50,37,45,0,149,39,188,1767
"2037, NSW",4,52,24,77,110,136,72,111,125,122,90,90,93,206,138,120,184,101,108,125,152,19,233,57,427,2990
"2038, NSW",0,15,9,7,13,22,16,22,26,34,32,31,27,73,55,36,82,41,62,65,87,9,72,5,124,957
"2039, NSW",0,8,3,3,16,23,10,24,25,35,32,25,27,71,63,36,112,48,40,65,111,7,84,18,129,1013
"2040, NSW",0,18,12,24,28,48,25,43,39,61,72,69,70,179,113,95,158,69,106,99,132,6,112,21,195,1779
"2041, NSW",9,21,9,28,43,63,55,56,93,117,97,90,100,216,144,126,336,154,176,237,357,35,279,38,390,3280
"2042, NSW",13,16,0,29,39,62,45,62,60,83,82,86,73,225,145,134,159,96,123,135,132,11,236,28,333,2417
"2043, NSW",3,3,8,9,12,15,16,22,28,16,33,36,50,78,76,61,90,47,50,51,61,10,115,11,122,1008
"2044, NSW",0,4,3,0,3,8,4,9,8,17,11,17,13,35,40,34,43,20,25,30,20,0,40,7,42,437
"2045, NSW",0,6,0,0,0,4,0,3,0,4,0,3,0,0,3,0,5,0,0,4,0,0,3,3,10,56
"2046, NSW",0,10,7,15,18,33,14,38,26,36,33,21,31,74,55,37,57,28,32,18,36,4,47,14,130,808
"2047, NSW",0,0,0,0,0,0,3,0,3,12,5,3,4,18,11,13,14,3,13,9,9,0,20,4,28,164
"2048, NSW",3,3,0,4,5,14,7,9,15,12,12,10,15,39,29,22,39,15,16,33,26,4,33,12,47,414
"2049, NSW",0,4,0,3,9,3,10,13,14,26,23,13,18,44,39,33,48,30,27,39,45,4,49,3,62,568
"2050, NSW",0,4,0,7,3,10,7,13,10,16,22,24,23,47,38,17,39,21,26,36,40,0,56,6,56,522
"2052, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2060, NSW",0,15,4,11,15,20,22,24,25,47,41,42,42,92,50,45,127,60,49,64,105,10,86,18,167,1168
"2061, NSW",0,4,0,0,0,3,0,0,0,3,6,7,3,11,6,3,20,8,7,15,10,0,27,0,27,163
