postcode,installations
6030,"6,482"
6031,"2,943"
6032,37
6033,89
6034,621
6035,"1,897"
6036,"2,256"
6037,738
6038,"1,852"
6041,450
6042,26
6043,62
6044,311
6050,"1,286"
6051,768
6052,"1,078"
6053,"1,777"
6054,"2,690"
6055,"4,906"
6056,"6,026"
6057,"2,772"
6058,"2,340"
6059,"2,684"
6060,"1,596"
6061,"2,928"
6062,"3,985"
6063,"2,269"
6064,"3,971"
6065,"11,744"
6066,"2,901"
6067,1
6068,17
6069,"7,651"
6070,590
6071,553
6072,163
6073,549
6074,198
6076,"3,645"
6077,289
6078,136
6079,3
6081,786
6082,540
6083,751
6084,"1,704"
6090,339
6100,"1,060"
6101,"1,511"
6102,881
6103,717
6104,"1,570"
6105,"1,570"
6106,194
6107,"5,753"
6108,"3,802"
6109,"2,054"
6110,"6,705"
6111,"3,638"
6112,"10,597"
6121,656
6122,"3,759"
6123,420
6124,246
6125,611
6126,50
6147,"2,136"
6148,"2,726"
6149,"3,100"
6150,"1,868"
6151,"1,272"
6152,"2,538"
6153,"2,270"
6154,"1,447"
6155,"9,223"
6156,"1,960"
6157,"1,452"
6158,745
6159,216
6160,727
6161,4
6162,"1,420"
6163,"7,242"
6164,"9,952"
6165,38
6166,"1,504"
6167,"4,185"
6168,"4,072"
6169,"6,516"
6170,"2,509"
6171,"6,631"
6172,"2,593"
6173,"2,113"
6174,756
6175,699
6176,312
6180,"1,217"
6181,125
6207,245
6208,"2,948"
6209,398
6210,"14,629"
6211,"1,728"
6213,130
6214,127
6215,747
6218,112
6219,3
6220,756
6221,38
6223,27
6224,185
6225,"1,408"
6226,178
6227,149
6228,25
6229,34
6230,"5,577"
6231,17
6232,"1,883"
6233,"3,243"
6236,395
6237,500
6239,862
6240,46
6243,4
6244,192
6251,73
6252,18
6253,148
6254,70
6255,608
6256,26
6258,671
6260,165
6262,109
6271,657
6275,268
6280,"4,697"
6281,"1,271"
6282,385
6284,301
6285,"1,097"
6286,118
6288,78
6290,272
6302,722
6304,379
6306,166
6308,245
6309,61
6311,96
6312,536
6313,40
6315,311
6316,63
6317,405
6318,51
6320,43
6321,39
6322,29
6323,132
6324,381
6326,60
6327,32
6328,38
6330,"3,257"
6331,2
6332,6
6333,812
6335,92
6336,43
6337,35
6338,85
6341,20
6343,18
6346,42
6348,104
6350,54
6351,4
6352,21
6353,99
6355,42
6356,16
6357,9
6358,3
6359,50
6361,10
6363,17
6365,88
6367,38
6368,8
6369,104
6370,54
6372,26
6373,8
6375,185
6383,165
6384,4
6385,3
6386,8
6390,268
6391,113
6392,66
6393,19
6394,26
6395,200
6396,24
6397,14
6398,81
6401,"1,088"
6403,37
6405,41
6407,152
6409,44
6410,136
6411,12
6412,4
6413,6
6414,5
6415,412
6418,150
6419,8
6420,5
6421,15
6422,3
6423,51
6424,3
6425,17
6426,101
6427,2
6428,12
6429,110
6430,"1,485"
6431,11
6432,547
6433,6
6434,12
6436,10
6437,187
6438,46
6440,19
6442,109
6443,46
6445,3
6446,4
6447,4
6448,9
6450,737
6460,122
6461,78
6462,9
6465,1
6466,7
6467,4
6468,16
6472,22
6473,7
6475,59
6476,3
6477,28
6479,85
6480,2
6484,7
6485,82
6487,4
6488,31
6489,9
6490,27
6501,242
6502,282
6503,510
6504,29
6505,18
6506,14
6507,104
6509,12
6510,270
6511,128
6512,10
6513,22
6514,175
6515,40
6516,463
6517,73
6518,39
6519,92
6521,70
6522,81
6525,699
6528,77
6530,"4,360"
6531,8
6532,957
6535,282
6536,253
6537,88
6556,361
6558,131
6560,203
6562,280
6564,76
6566,795
6567,96
6568,26
6569,50
6571,8
6572,6
6574,5
6575,13
6603,153
6605,1
6606,15
6608,14
6609,126
6612,28
6613,5
6614,1
6616,12
6620,42
6623,87
6625,5
6627,6
6628,8
6630,76
6631,5
6632,10
6635,15
6638,48
6639,20
6640,20
6642,66
6643,1
6646,12
6701,343
6705,19
6707,175
6710,292
6713,47
6714,546
6716,3
6718,22
6720,13
6721,89
6722,161
6725,439
6726,159
6728,151
6740,29
6743,248
6751,15
6753,69
6754,3
6758,14
6760,35
6765,24
6770,30
6798,62
6799,13
6872,1
6901,2
6902,1
6903,3
6904,2
6906,3
6907,2
6909,4
6910,2
6911,3
6912,4
6913,1
6914,4
6915,3
6916,3
6917,1
6918,3
6920,2
6921,8
6922,9
6923,6
6924,5
6926,8
6929,2
6931,3
6933,5
6934,3
6935,2
6941,1
6943,2
6944,4
6946,5
6947,1
6951,2
6952,4
6953,6
6954,4
6955,15
6956,1
6957,3
6959,5
6963,4
6964,6
6966,4
6968,7
6979,3
6981,3
6982,3
6984,3
6985,5
6988,3
6989,2
6990,4
6991,6
6992,7
7000,731
7001,4
7002,3
7004,471
7005,672
7006,10
7007,233
7008,682
7009,634
7010,777
7011,853
7012,84
7015,674
7016,114
7017,605
7018,"1,367"
7019,295
7020,284
7021,186
7022,88
7023,37
7024,60
7025,205
7026,91
7027,29
7030,"1,137"
7050,926
7051,24
7052,585
7053,277
7054,877
7055,45
7109,861
7112,387
7113,131
7116,252
7117,102
7119,3
7120,142
7140,714
7150,424
7155,147
7162,84
7163,59
7170,525
7171,214
7172,305
7173,723
7174,19
7175,15
7176,10
7177,33
7178,43
7179,58
7180,23
7182,36
7183,1
7184,102
7185,14
7186,14
7187,15
7190,468
7209,37
7210,78
7211,5
7212,187
7213,31
7214,57
7215,492
7216,482
7248,797
7249,699
7250,"3,282"
7252,350
7253,448
7254,59
7255,194
7256,268
7257,1
7258,109
7259,54
7260,304
7261,31
7262,184
7263,52
7264,63
7265,19
7267,95
7268,122
7270,625
7275,385
7276,58
7277,676
7290,166
7291,63
7292,49
7300,291
7301,396
7302,105
7303,277
7304,635
7305,113
7306,401
7307,889
7310,"1,672"
7315,"1,119"
7316,495
7320,763
7321,392
7322,273
7325,665
7330,402
7331,29
7466,4
7467,71
7468,30
7469,35
7470,39
7802,1
8576,2
9729,1
