postcode,installations
2603,506
2604,485
2605,868
2606,588
2607,"1,041"
2609,129
2611,"2,814"
2612,459
2614,"1,621"
2615,"3,596"
2616,9
2617,"2,157"
2618,194
2619,731
2620,"3,653"
2621,900
2622,686
2623,62
2624,4
2625,4
2626,64
2627,498
2628,252
2629,77
2630,"1,025"
2631,65
2632,215
2633,32
2640,"4,541"
2641,"1,566"
2642,841
2643,548
2644,372
2645,81
2646,"1,214"
2647,463
2648,351
2649,5
2650,"5,241"
2651,158
2652,605
2653,374
2655,219
2656,198
2658,244
2659,149
2660,285
2663,520
2665,237
2666,706
2668,62
2669,209
2671,602
2672,263
2675,206
2680,"2,557"
2681,212
2700,682
2701,326
2702,124
2703,102
2705,"1,183"
2706,160
2707,150
2710,"1,449"
2711,456
2712,251
2713,461
2714,593
2715,184
2716,220
2717,117
2720,989
2721,24
2722,431
2725,42
2726,40
2727,49
2729,292
2730,207
2731,"1,040"
2732,342
2733,91
2734,47
2735,76
2736,58
2737,68
2738,237
2739,175
2745,"2,830"
2747,"4,022"
2748,202
2749,"1,417"
2750,"3,332"
2751,8
2752,510
2753,"1,352"
2754,586
2756,"2,855"
2757,73
2758,868
2759,"2,375"
2760,"2,178"
2761,"3,149"
2762,"1,329"
2763,"2,538"
2765,"2,956"
2766,"1,168"
2767,"2,551"
2768,"2,879"
2769,"1,724"
2770,"3,419"
2773,628
2774,"1,285"
2775,193
2776,489
2777,"1,886"
2778,329
2779,503
2780,"1,274"
2782,697
2783,286
2784,165
2785,563
2786,160
2787,490
2790,"1,403"
2791,48
2792,47
2793,167
2794,"1,366"
2795,"4,179"
2797,56
2798,275
2799,356
2800,"4,394"
2803,60
2804,465
2805,54
2806,109
2807,70
2808,33
2809,37
2810,448
2817,30
2818,99
2820,759
2821,982
2822,28
2823,276
2824,488
2825,384
2826,37
2827,729
2828,151
2829,565
2830,"7,978"
2831,510
2832,423
2833,133
2834,489
2835,781
2836,144
2838,10
2839,188
2840,609
2842,136
2843,192
2844,260
2845,186
2846,61
2847,315
2848,166
2849,277
2850,"2,262"
2852,451
2864,126
2865,202
2866,376
2867,107
2868,99
2869,252
2870,"1,760"
2871,"1,113"
2873,144
2874,91
2875,148
2876,55
2877,651
2878,44
2879,196
2880,"4,546"
2898,41
2899,545
2900,116
2901,1
2902,"1,422"
2903,782
2904,"1,260"
2905,"2,342"
2906,"1,333"
2911,312
2912,272
2913,"2,413"
2914,"1,976"
3000,54
3002,62
3003,84
3004,16
3006,23
3008,87
3011,747
3012,"1,150"
3013,802
3015,929
3016,859
3018,"1,052"
3019,414
3020,"2,709"
3021,"3,222"
3022,185
3023,"5,302"
3024,"2,962"
3025,567
3026,286
3027,740
3028,"2,080"
3029,"11,984"
3030,"9,445"
3031,584
3032,"1,213"
3033,835
3034,588
3036,415
3037,"3,816"
3038,"2,016"
3039,573
3040,"1,066"
3041,603
3042,843
3043,"1,198"
3044,"1,204"
3045,5
3046,"1,479"
3047,999
3048,"1,096"
3049,605
3051,179
3052,96
3053,118
3054,282
3055,576
3056,989
3057,409
3058,"2,075"
3059,"1,451"
3060,591
3061,523
3062,34
3063,63
3064,"8,167"
3065,228
3066,171
3067,177
3068,796
3070,"1,534"
3071,929
3072,"1,739"
3073,"2,598"
3074,"1,318"
3075,"1,303"
3076,"2,538"
3078,786
3079,777
3081,626
3082,"1,946"
3083,"2,043"
3084,"1,449"
3085,775
3087,515
3088,"1,606"
3089,888
3090,177
3091,186
3093,241
3094,502
3095,"1,816"
3096,158
3097,163
3099,450
3101,937
3102,306
3103,652
3104,895
3105,572
3106,"1,134"
3107,716
3108,"1,039"
3109,"1,423"
3111,877
3113,705
3114,291
3115,330
3116,874
3121,732
3122,527
3123,395
3124,894
3125,731
3126,285
3127,870
3128,788
3129,802
3130,"1,858"
3131,"1,407"
3132,876
3133,"1,706"
3134,"1,962"
3135,"1,236"
3136,"2,943"
3137,"1,142"
3138,"1,696"
3139,"1,455"
3140,"1,337"
3141,252
3142,240
3143,221
3144,366
3145,903
3146,"1,011"
3147,835
3148,426
3149,"2,173"
3150,"4,292"
3151,609
3152,"2,598"
3153,"1,641"
3154,324
3155,"1,590"
3156,"3,187"
3158,413
3159,181
3160,586
3161,369
3162,629
3163,"1,105"
3164,20
3165,"1,311"
3166,"1,082"
3167,577
3168,612
3169,"1,117"
3170,"1,368"
3171,"1,345"
3172,"1,588"
3173,"2,744"
3174,"2,103"
3175,"3,148"
3176,1
3177,648
3178,"3,234"
3179,503
3180,689
3181,319
3182,319
3183,356
3184,364
3185,409
3186,923
3187,851
3188,832
3189,465
3190,431
3191,484
3192,"1,166"
3193,"1,033"
3194,566
3195,"2,476"
3196,"1,644"
3197,971
3198,"1,355"
3199,"3,817"
3200,334
3201,"1,997"
3202,175
3204,"1,367"
3205,215
3206,305
3207,341
3211,204
3212,"1,773"
3213,367
3214,"1,736"
3215,"1,504"
3216,"4,684"
3217,758
3218,825
3219,"1,694"
3220,"1,048"
3221,454
3222,"1,934"
3223,"1,232"
3224,"1,496"
3225,757
3226,"1,912"
3227,698
3228,"2,112"
3230,533
3231,314
3232,117
3233,315
3234,32
3235,64
3236,45
3237,29
3238,45
3239,59
3240,268
3241,339
3242,114
3243,42
3249,377
3250,946
3251,53
3254,50
3260,400
3264,216
3265,302
3266,291
3267,19
3268,281
3269,75
3270,25
3271,36
3272,192
3273,11
3274,37
3275,37
3276,46
3277,144
3278,34
3279,28
3280,"1,983"
3281,205
3282,196
3283,139
3284,330
3285,134
3286,50
3287,38
3289,93
3292,42
3293,45
3294,99
3300,766
3301,119
3302,39
3303,30
3304,331
3305,"1,340"
3309,12
3310,30
3311,185
3312,97
3314,64
3315,175
3317,13
3318,158
3319,37
3321,225
3322,11
3323,4
3324,80
3325,72
3328,267
3329,27
3330,24
3331,861
3332,154
3333,104
3334,57
3335,758
3336,647
3337,"3,649"
3338,"2,807"
3340,"2,297"
3341,230
3342,492
3345,200
3350,"4,018"
3351,"1,110"
3352,"2,040"
3353,10
3354,1
3355,811
3356,"1,220"
3357,415
3358,62
3360,94
3361,77
3363,458
3364,306
3370,296
3371,205
3373,336
3374,70
3375,18
3377,956
3378,12
3379,91
3380,603
3381,185
3384,75
3385,90
3387,59
3388,85
3390,143
3391,25
3392,89
3393,353
3395,82
3396,112
3400,"1,426"
3401,623
3402,22
3407,51
3409,181
3412,51
3413,21
3414,285
3415,2
3418,400
3419,136
3420,35
3423,75
3424,103
3427,461
3428,79
3429,"3,338"
3430,30
3431,523
3432,29
3433,35
3434,634
3435,425
3437,"1,182"
3438,248
3440,204
3441,116
3442,"1,082"
3444,"1,292"
3446,186
3447,106
3448,196
3450,"1,244"
3451,902
3453,362
3458,354
3460,377
3461,770
3462,259
3463,540
3464,176
3465,"1,411"
3467,253
3468,63
3469,48
3472,322
3475,74
3477,137
3478,371
3480,211
3482,35
3483,142
3485,48
3487,16
3488,17
3489,6
3490,151
3491,21
3494,58
3496,767
3498,613
3500,"3,000"
3501,318
3502,29
3505,635
3506,2
3507,26
3509,39
3512,57
3515,275
3516,111
3517,292
3518,243
3520,39
3521,107
3522,66
3523,756
3525,233
3527,117
3529,15
3530,19
3531,22
3533,120
3537,155
3540,61
3542,25
3544,49
3546,70
3549,301
3550,"3,735"
3551,"4,356"
3552,22
3554,2
3555,"1,956"
3556,"1,474"
3557,117
3558,161
3559,56
3561,768
3562,55
3563,124
3564,"2,390"
3565,13
3566,98
3567,116
3568,484
3570,151
3571,65
3572,15
3573,49
3575,117
3576,7
3579,878
3580,176
3581,36
3583,29
3584,158
3585,"1,337"
3586,111
3588,73
3589,50
3590,48
3591,24
3594,111
3595,122
3596,9
