postcode,income
2308,$0
3045,$0
3647,$0
3694,$0
5111,$0
5713,$0
6067,$0
6090,$0
6106,$0
6427,$0
2420,"$1,001"
3904,"$1,001"
3312,"$1,003"
3723,"$1,003"
4465,"$1,003"
4670,"$1,003"
4804,"$1,003"
5341,"$1,003"
6770,"$1,003"
3418,"$1,004"
5480,"$1,004"
7113,"$1,004"
3732,"$1,005"
4625,"$1,005"
6209,"$1,005"
5332,"$1,007"
6535,"$1,007"
3464,"$1,008"
3902,"$1,008"
2548,"$1,009"
2669,"$1,009"
2874,"$1,009"
3304,"$1,009"
3677,"$1,009"
4574,"$1,009"
6255,"$1,010"
7331,"$1,010"
2583,"$1,011"
2817,"$1,011"
3377,"$1,011"
3727,"$1,011"
3728,"$1,011"
3896,"$1,011"
2899,"$1,012"
3264,"$1,012"
5259,"$1,012"
3251,"$1,013"
4183,"$1,013"
4872,"$1,013"
5523,"$1,013"
6333,"$1,013"
3644,"$1,014"
5163,"$1,014"
6646,"$1,014"
2452,"$1,016"
2505,"$1,016"
2877,"$1,016"
3717,"$1,016"
5043,"$1,016"
5461,"$1,016"
6308,"$1,016"
846,"$1,017"
3048,"$1,017"
2550,"$1,018"
2656,"$1,018"
2703,"$1,018"
3074,"$1,018"
7301,"$1,018"
2829,"$1,019"
4885,"$1,019"
6460,"$1,020"
6606,"$1,020"
3407,"$1,021"
7275,"$1,021"
3629,"$1,022"
4552,"$1,022"
5094,"$1,022"
2792,"$1,023"
2847,"$1,023"
3500,"$1,023"
2540,"$1,024"
2643,"$1,024"
3660,"$1,024"
4370,"$1,024"
7011,"$1,024"
7175,"$1,024"
2472,"$1,025"
3596,"$1,025"
3898,"$1,025"
2672,"$1,026"
3618,"$1,026"
3875,"$1,026"
6302,"$1,026"
2646,"$1,027"
2665,"$1,027"
3419,"$1,027"
2365,"$1,028"
2647,"$1,028"
5108,"$1,028"
5331,"$1,028"
2775,"$1,029"
3959,"$1,029"
4855,"$1,029"
3487,"$1,031"
3583,"$1,031"
3832,"$1,031"
