postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"6609, WA",76,74,0,89,15,0,5,14,49,324
"6612, WA",38,9,0,9,3,0,0,10,20,91
"6613, WA",9,0,0,0,3,0,0,5,13,31
"6614, WA",4,0,0,0,0,0,0,0,8,17
"6616, WA",12,7,0,0,3,0,0,0,10,33
"6620, WA",46,24,0,26,12,0,0,11,32,152
"6623, WA",95,43,0,69,16,0,4,25,82,340
"6625, WA",10,0,0,3,9,0,0,4,5,28
"6627, WA",12,0,0,3,11,0,0,0,8,25
"6628, WA",3,0,0,0,0,0,0,3,0,18
"6630, WA",65,24,0,68,24,0,3,36,73,301
"6631, WA",10,3,0,0,0,0,0,0,0,16
"6632, WA",12,0,0,0,3,0,0,4,3,25
"6635, WA",10,8,0,34,10,0,0,14,14,83
"6638, WA",45,24,0,41,15,0,0,56,105,294
"6639, WA",26,4,0,3,12,0,0,7,25,67
"6640, WA",22,5,0,26,6,0,0,19,22,97
"6642, WA",39,15,0,94,22,0,0,46,83,304
"6646, WA",12,5,0,48,36,0,0,21,48,166
"6701, WA",430,379,0,577,56,6,3,281,260,1990
"6705, WA",6,3,0,30,13,0,0,13,15,89
"6707, WA",186,276,4,377,18,0,4,120,248,1225
"6710, WA",28,25,0,120,50,0,4,36,88,349
"6711, WA",0,0,0,0,0,0,0,0,0,0
"6712, WA",0,0,0,0,0,0,0,0,0,0
"6713, WA",58,111,0,130,12,0,3,27,51,390
"6714, WA",215,680,5,2866,352,0,39,516,1077,5756
"6716, WA",0,0,0,146,0,0,0,13,31,192
"6718, WA",18,16,0,93,5,0,0,21,56,207
"6720, WA",24,39,0,493,22,0,3,32,118,731
"6721, WA",85,96,0,642,108,0,20,121,322,1396
"6722, WA",144,291,8,1756,89,3,15,434,1092,3831
"6725, WA",339,669,5,1351,115,10,31,400,323,3236
"6726, WA",218,463,6,702,23,3,12,204,176,1804
"6728, WA",130,150,0,943,75,0,11,161,348,1816
"6731, WA",0,0,0,0,0,0,0,0,0,0
"6733, WA",0,0,0,0,0,0,0,0,0,0
"6740, WA",39,30,0,186,30,0,0,57,68,418
"6743, WA",155,275,0,807,75,0,5,169,338,1829
"6751, WA",57,22,0,755,66,3,7,80,271,1262
"6753, WA",62,35,19,1004,104,0,17,180,692,2108
"6754, WA",13,4,0,339,20,0,0,19,214,603
"6758, WA",6,0,0,20,6,0,0,8,5,46
"6760, WA",20,3,0,63,19,0,0,30,42,177
"6762, WA",0,0,0,46,5,0,3,10,15,81
"6765, WA",4,4,0,267,20,0,0,35,70,401
"6770, WA",32,6,0,356,54,0,9,167,182,808
"7000, TAS",1381,1221,0,801,37,8,13,203,333,3999
"7001, TAS",0,0,0,0,0,0,0,0,0,0
"7004, TAS",774,657,0,378,13,10,3,105,194,2135
"7005, TAS",1681,1008,0,595,35,5,16,176,371,3881
"7007, TAS",420,385,0,141,0,0,5,48,81,1082
"7008, TAS",1449,1504,0,684,26,9,13,206,265,4147
"7009, TAS",1373,1511,7,1229,23,12,20,297,367,4836
"7010, TAS",1820,1910,9,1476,31,13,17,403,358,6033
"7011, TAS",1506,1959,6,1059,25,9,11,274,289,5142
"7012, TAS",113,139,0,24,3,0,8,21,30,331
"7015, TAS",1547,1405,0,650,30,52,13,175,303,4178
"7016, TAS",210,350,3,242,3,4,0,78,53,947
"7017, TAS",630,1012,6,180,7,3,11,88,119,2055
"7018, TAS",3201,2780,12,1626,44,19,13,345,621,8675
"7019, TAS",450,807,8,820,9,8,5,144,121,2366
"7020, TAS",331,435,0,50,8,0,3,38,66,921
"7021, TAS",334,407,0,101,6,19,0,43,70,975
"7022, TAS",146,143,0,53,3,0,0,22,94,454
"7023, TAS",62,53,0,23,0,0,0,10,116,271
"7024, TAS",72,97,0,20,0,0,0,14,52,250
"7025, TAS",278,249,0,70,10,0,6,26,50,684
"7026, TAS",113,155,0,52,6,0,0,29,34,385
"7027, TAS",55,49,0,11,0,0,4,8,37,163
"7030, TAS",1533,2288,9,1587,61,8,21,470,1169,7155
"7050, TAS",1521,1602,0,1037,21,40,10,224,371,4823
"7052, TAS",992,933,0,457,13,3,14,106,230,2742
"7053, TAS",573,466,0,145,7,7,4,58,106,1373
"7054, TAS",1098,1375,0,378,17,12,10,139,229,3258
"7055, TAS",44,75,0,32,0,0,0,0,9,166
"7109, TAS",1265,1330,0,463,45,8,17,220,502,3850
"7112, TAS",536,376,0,195,19,0,6,97,364,1593
"7113, TAS",154,157,0,42,9,0,0,22,69,449
"7116, TAS",399,296,0,127,17,0,9,79,161,1087
"7117, TAS",174,106,0,59,6,0,0,24,131,494
"7119, TAS",5,9,0,0,0,0,0,0,6,16
"7120, TAS",349,191,0,120,31,7,3,59,141,901
"7139, TAS",0,0,0,0,0,0,0,0,0,0
"7140, TAS",1493,1498,4,831,62,15,13,314,661,4889
"7150, TAS",502,415,4,96,20,6,8,74,722,1845
"7155, TAS",142,113,0,44,7,0,0,23,55,382
"7162, TAS",122,76,0,27,4,0,3,10,33,274
"7163, TAS",72,57,0,9,0,0,0,8,35,180
"7170, TAS",666,872,0,107,14,4,4,55,96,1819
"7171, TAS",376,553,0,261,12,5,10,62,94,1367
"7172, TAS",482,507,7,272,15,8,0,116,89,1494
"7173, TAS",825,1184,0,435,31,5,18,196,875,3563
"7174, TAS",29,28,0,4,0,0,0,7,6,72
"7175, TAS",31,17,0,15,0,0,4,6,29,100
"7176, TAS",26,29,0,0,0,0,0,3,0,66
"7177, TAS",80,45,0,25,6,0,4,14,54,228
"7178, TAS",59,35,0,13,0,0,0,13,156,278
"7179, TAS",98,45,0,26,0,0,0,20,200,385
"7180, TAS",31,14,0,5,0,0,0,11,42,108
"7182, TAS",63,20,0,14,3,0,0,8,140,243
"7183, TAS",8,8,0,0,0,0,0,0,14,39
"7184, TAS",140,98,0,48,6,0,5,39,357,688
"7185, TAS",27,7,0,14,0,0,0,5,14,66
"7186, TAS",51,12,0,7,0,0,0,10,125,203
"7187, TAS",32,9,0,6,0,0,0,9,30,92
"7190, TAS",662,307,0,225,38,6,8,120,1145,2502
"7209, TAS",92,36,0,30,8,0,0,12,45,223
"7210, TAS",183,97,0,88,30,0,0,25,60,481
"7211, TAS",40,25,0,21,4,0,0,5,20,106
"7212, TAS",291,228,0,128,8,0,6,83,78,826
"7213, TAS",55,21,0,19,11,0,0,17,35,157
"7214, TAS",130,55,0,33,6,0,3,25,56,313
"7215, TAS",704,355,0,216,41,3,11,110,1190,2622
"7216, TAS",681,299,0,311,23,0,9,117,842,2289
"7248, TAS",1403,1488,10,1702,34,35,16,426,393,5501
"7249, TAS",1368,1584,0,1044,27,67,21,285,420,4810
"7250, TAS",5761,5871,19,3276,78,27,36,900,1482,17445
"7252, TAS",495,393,0,93,15,3,3,93,350,1442
"7253, TAS",645,494,3,521,13,9,11,150,283,2123
"7254, TAS",89,69,0,15,3,0,0,19,78,275
"7255, TAS",162,74,0,97,26,0,0,23,180,564
"7256, TAS",260,144,0,148,29,0,3,37,142,776
"7257, TAS",7,0,0,21,0,0,0,8,4,41
"7258, TAS",154,109,0,18,7,0,3,26,29,345
"7259, TAS",78,66,0,12,3,0,3,18,16,199
"7260, TAS",536,352,0,223,32,10,7,86,110,1363
"7261, TAS",46,31,0,7,0,0,0,11,10,112
"7262, TAS",291,193,0,135,16,0,0,55,513,1200
"7263, TAS",105,54,0,36,18,0,3,16,35,274
"7264, TAS",144,61,0,34,21,0,5,27,358,656
"7265, TAS",43,21,0,19,12,0,0,9,31,136
"7267, TAS",106,145,0,15,5,0,0,22,7,301
"7268, TAS",170,151,0,44,9,0,0,24,26,426
"7270, TAS",771,514,0,263,17,3,6,119,618,2316
"7275, TAS",521,447,0,162,20,0,4,92,159,1418
"7276, TAS",82,94,0,26,0,0,0,24,26,256
"7277, TAS",872,804,0,202,13,0,8,99,173,2169
"7290, TAS",232,348,0,119,9,0,0,23,61,793
"7291, TAS",82,89,0,19,3,0,0,16,24,238
"7292, TAS",81,81,0,34,3,6,0,14,27,250
"7300, TAS",458,567,0,192,12,3,3,84,82,1404
"7301, TAS",637,493,0,308,24,4,5,131,131,1735
"7302, TAS",209,221,0,123,26,4,8,47,98,734
"7303, TAS",459,347,0,203,17,4,6,75,87,1201
