,0
646,2868
647,2869
648,2870
649,2871
650,2873
651,2874
652,2875
653,2876
654,2877
655,2878
656,2879
657,2880
658,2898
659,2899
660,2900
661,2902
662,2903
663,2904
664,2905
665,2906
666,2911
667,2912
668,2913
669,2914
670,3000
671,3002
672,3003
673,3004
674,3006
675,3008
676,3011
677,3012
678,3013
679,3015
680,3016
681,3018
682,3019
683,3020
684,3021
685,3022
686,3023
687,3024
688,3025
689,3026
690,3027
691,3028
692,3029
693,3030
694,3031
695,3032
696,3033
697,3034
698,3036
699,3037
700,3038
701,3039
702,3040
703,3041
704,3042
705,3043
706,3044
707,3045
708,3046
709,3047
710,3048
711,3049
712,3051
713,3052
714,3053
715,3054
716,3055
717,3056
718,3057
719,3058
720,3059
721,3060
722,3061
723,3062
724,3063
725,3064
726,3065
727,3066
728,3067
729,3068
730,3070
731,3071
732,3072
733,3073
734,3074
735,3075
736,3076
737,3078
738,3079
739,3081
740,3082
741,3083
742,3084
743,3085
744,3087
745,3088
746,3089
747,3090
748,3091
749,3093
750,3094
751,3095
752,3096
753,3097
754,3099
755,3101
756,3102
757,3103
758,3104
759,3105
760,3106
761,3107
762,3108
763,3109
764,3111
765,3113
766,3114
767,3115
768,3116
769,3121
770,3122
771,3123
772,3124
773,3125
774,3126
775,3127
776,3128
777,3129
778,3130
779,3131
780,3132
781,3133
782,3134
783,3135
784,3136
785,3137
786,3138
787,3139
788,3140
789,3141
790,3142
791,3143
792,3144
793,3145
794,3146
795,3147
796,3148
797,3149
798,3150
799,3151
800,3152
801,3153
802,3154
803,3155
804,3156
805,3158
806,3159
807,3160
808,3161
809,3162
810,3163
811,3165
812,3166
813,3167
814,3168
815,3169
816,3170
817,3171
818,3172
819,3173
820,3174
821,3175
822,3177
823,3178
824,3179
825,3180
826,3181
827,3182
828,3183
829,3184
830,3185
831,3186
832,3187
833,3188
834,3189
835,3190
836,3191
837,3192
838,3193
839,3194
840,3195
841,3196
842,3197
843,3198
844,3199
845,3200
846,3201
847,3202
848,3204
849,3205
850,3206
851,3207
852,3211
853,3212
854,3213
855,3214
856,3215
857,3216
858,3217
859,3218
860,3219
861,3220
862,3221
863,3222
864,3223
865,3224
866,3225
867,3226
868,3227
869,3228
870,3230
871,3231
872,3232
873,3233
874,3234
875,3235
876,3236
877,3237
878,3238
879,3239
880,3240
881,3241
882,3242
883,3243
884,3249
885,3250
886,3251
887,3254
888,3260
889,3264
890,3265
891,3266
892,3267
893,3268
894,3269
895,3270
896,3271
897,3272
898,3273
899,3274
900,3275
901,3276
902,3277
903,3278
904,3279
905,3280
906,3281
907,3282
908,3283
909,3284
910,3285
911,3286
912,3287
913,3289
914,3292
915,3293
916,3294
917,3300
918,3301
919,3302
920,3303
921,3304
922,3305
923,3309
924,3310
925,3311
926,3312
927,3314
928,3315
929,3317
930,3318
931,3319
932,3321
933,3322
934,3323
935,3324
936,3325
937,3328
938,3329
939,3330
940,3331
941,3332
942,3333
943,3334
944,3335
945,3337
946,3338
947,3340
948,3341
949,3342
950,3345
951,3350
952,3351
953,3352
954,3355
955,3356
956,3357
957,3360
958,3361
959,3363
960,3364
961,3370
962,3371
963,3373
964,3374
965,3375
966,3377
967,3378
968,3379
969,3380
970,3381
971,3384
972,3385
973,3387
974,3388
975,3390
976,3391
977,3392
978,3393
979,3395
980,3396
981,3400
982,3401
983,3407
984,3409
985,3412
986,3413
987,3414
988,3415
989,3418
990,3419
991,3420
992,3423
993,3424
994,3427
995,3428
996,3429
997,3430
998,3431
999,3432
1000,3433
1001,3434
1002,3435
1003,3437
1004,3438
1005,3440
1006,3441
1007,3442
1008,3444
1009,3446
1010,3447
1011,3448
