month,installations
Apr 2001,12.0
May 2001,12.0
Jun 2001,18.0
Jul 2001,7.0
Aug 2001,10.0
Sep 2001,17.0
Oct 2001,10.0
Nov 2001,19.0
Dec 2001,13.0
Jan 2002,16.0
Feb 2002,19.0
Mar 2002,14.0
Apr 2002,15.0
May 2002,19.0
Jun 2002,16.0
Jul 2002,16.0
Aug 2002,19.0
Sep 2002,27.0
Oct 2002,21.0
Nov 2002,36.0
Dec 2002,33.0
Jan 2003,44.0
Feb 2003,33.0
Mar 2003,44.0
Apr 2003,16.0
May 2003,15.0
Jun 2003,46.0
Jul 2003,63.0
Aug 2003,83.0
Sep 2003,69.0
Oct 2003,85.0
Nov 2003,92.0
Dec 2003,74.0
Jan 2004,44.0
Feb 2004,92.0
Mar 2004,68.0
Apr 2004,75.0
May 2004,84.0
Jun 2004,85.0
Jul 2004,89.0
Aug 2004,102.0
Sep 2004,85.0
Oct 2004,137.0
Nov 2004,120.0
Dec 2004,108.0
Jan 2005,99.0
Feb 2005,118.0
Mar 2005,110.0
Apr 2005,139.0
May 2005,137.0
Jun 2005,95.0
Jul 2005,106.0
Aug 2005,107.0
Sep 2005,97.0
Oct 2005,115.0
Nov 2005,142.0
Dec 2005,141.0
Jan 2006,59.0
Feb 2006,57.0
Mar 2006,91.0
Apr 2006,79.0
May 2006,97.0
Jun 2006,86.0
Jul 2006,79.0
Aug 2006,86.0
Sep 2006,89.0
Oct 2006,124.0
Nov 2006,138.0
Dec 2006,130.0
Jan 2007,106.0
Feb 2007,118.0
Mar 2007,154.0
Apr 2007,134.0
May 2007,122.0
Jun 2007,196.0
Jul 2007,282.0
Aug 2007,363.0
Sep 2007,419.0
Oct 2007,542.0
Nov 2007,522.0
Dec 2007,522.0
Jan 2008,528.0
Feb 2008,645.0
Mar 2008,684.0
Apr 2008,875.0
May 2008,1031.0
Jun 2008,928.0
Jul 2008,1147.0
Aug 2008,1177.0
Sep 2008,1329.0
Oct 2008,1821.0
Nov 2008,1769.0
Dec 2008,2130.0
Jan 2009,2170.0
Feb 2009,2990.0
Mar 2009,3573.0
Apr 2009,3429.0
May 2009,4082.0
Jun 2009,4345.0
Jul 2009,5169.0
Aug 2009,5724.0
Sep 2009,6268.0
Oct 2009,7818.0
Nov 2009,9279.0
Dec 2009,8069.0
Jan 2010,8398.0
Feb 2010,10295.0
Mar 2010,13228.0
Apr 2010,13413.0
May 2010,16686.0
Jun 2010,18160.0
Jul 2010,16808.0
Aug 2010,17390.0
Sep 2010,19022.0
Oct 2010,21170.0
Nov 2010,24984.0
Dec 2010,18654.0
Jan 2011,25466.0
Feb 2011,28850.0
Mar 2011,35528.0
Apr 2011,33179.0
May 2011,50289.0
Jun 2011,68867.0
Jul 2011,22220.0
Aug 2011,22127.0
Sep 2011,24875.0
Oct 2011,16669.0
Nov 2011,18079.0
Dec 2011,14596.0
Jan 2012,13017.0
Feb 2012,19561.0
Mar 2012,23632.0
Apr 2012,26554.0
May 2012,43477.0
Jun 2012,59213.0
Jul 2012,25777.0
Aug 2012,27990.0
Sep 2012,28421.0
Oct 2012,22608.0
Nov 2012,22504.0
Dec 2012,30566.0
Jan 2013,15004.0
Feb 2013,15491.0
Mar 2013,16143.0
Apr 2013,16742.0
May 2013,20145.0
Jun 2013,22208.0
Jul 2013,16754.0
Aug 2013,14945.0
Sep 2013,14889.0
Oct 2013,17332.0
Nov 2013,16984.0
Dec 2013,13770.0
Jan 2014,13782.0
Feb 2014,14118.0
Mar 2014,14265.0
Apr 2014,13500.0
May 2014,16187.0
Jun 2014,14429.0
Jul 2014,16276.0
Aug 2014,14813.0
Sep 2014,16678.0
Oct 2014,17322.0
Nov 2014,15238.0
Dec 2014,13531.0
Jan 2015,11463.0
Feb 2015,12876.0
Mar 2015,13165.0
Apr 2015,11071.0
May 2015,11626.0
Jun 2015,11785.0
Jul 2015,13102.0
Aug 2015,11619.0
Sep 2015,11777.0
Oct 2015,11477.0
Nov 2015,11235.0
Dec 2015,10294.0
Jan 2016,8206.0
Feb 2016,10957.0
Mar 2016,10640.0
Apr 2016,10288.0
May 2016,10690.0
Jun 2016,10064.0
Jul 2016,10132.0
Aug 2016,11461.0
Sep 2016,11310.0
Oct 2016,11059.0
Nov 2016,13435.0
Dec 2016,14435.0
Jan 2017,10129.0
Feb 2017,12988.0
Mar 2017,14229.0
Apr 2017,11647.0
May 2017,14661.0
Jun 2017,14029.0
Jul 2017,14578.0
Aug 2017,15832.0
Sep 2017,14653.0
Oct 2017,15833.0
Nov 2017,18240.0
Dec 2017,17589.0
Jan 2018,14320.0
Feb 2018,16628.0
Mar 2018,17715.0
Apr 2018,15879.0
May 2018,18221.0
Jun 2018,16424.0
Jul 2018,17920.0
Aug 2018,19377.0
Sep 2018,19047.0
Oct 2018,22115.0
Nov 2018,24895.0
Dec 2018,22297.0
Jan 2019,18573.0
Feb 2019,22911.0
Mar 2019,23347.0
Apr 2019,20802.0
May 2019,23000.0
Jun 2019,19092.0
Jul 2019,22601.0
Aug 2019,22981.0
Sep 2019,23325.0
Oct 2019,27634.0
Nov 2019,29846.0
Dec 2019,29147.0
Jan 2020,23286.0
Feb 2020,27901.0
Mar 2020,30792.0
Apr 2020,25831.0
May 2020,26683.0
Jun 2020,28265.0
Jul 2020,29180.0
Aug 2020,13788.0
