Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0814,3,13.060,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,13.060
0820,567,"6,123.634",14,112.670,19,133.790,20,139.025,16,155.210,37,327.560,26,199.670,19,180.540,15,105.260,19,129.255,18,181.740,19,134.055,20,287.420,21,157.695,26,196.230,13,181.635,22,207.010,27,250.725,25,293.780,30,301.945,7,43.775,980,"9,842.624"
0821,6,147.003,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,9.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,7,156.303
0822,503,"5,441.017",13,99.660,8,132.622,13,99.170,17,164.585,16,145.025,14,119.255,6,32.605,16,170.055,18,220.720,13,212.170,22,164.000,20,349.085,13,94.380,18,126.595,14,146.945,11,85.975,11,106.800,18,151.375,9,68.465,1,6.300,774,"8,136.804"
0828,111,"1,704.881",4,46.945,3,39.690,6,101.570,5,32.560,6,46.650,4,122.190,3,22.500,3,27.210,4,55.090,7,43.340,2,15.715,6,80.425,3,22.500,10,187.695,2,24.200,5,100.590,3,46.095,1,9.280,2,15.715,1,40.670,191,"2,785.511"
0829,19,452.435,0,0.000,1,9.145,0,0.000,0,0.000,1,36.340,1,99.710,1,9.135,0,0.000,1,98.560,0,0.000,1,6.600,1,6.300,0,0.000,2,47.790,0,0.000,1,9.135,0,0.000,1,32.690,0,0.000,0,0.000,30,807.840
0830,"1,121","6,165.049",23,154.935,38,248.355,48,350.485,40,332.675,49,318.735,36,227.510,36,252.200,35,303.650,24,165.205,34,260.985,39,241.025,36,328.720,26,186.165,29,181.055,38,249.510,34,214.100,35,294.120,22,147.315,24,160.050,7,48.345,"1,774","10,830.189"
0831,9,38.980,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,9,38.980
0832,"1,327","7,380.591",36,224.880,32,200.885,40,263.895,44,275.816,47,303.530,41,265.775,53,427.427,39,241.515,38,233.220,46,289.350,46,294.605,45,290.120,42,273.780,38,243.230,29,196.105,34,223.415,41,261.105,29,192.770,24,166.955,12,80.510,"2,083","12,329.479"
0834,130,823.027,1,6.480,7,55.315,3,19.870,4,31.585,7,61.715,3,21.950,2,15.880,5,40.335,3,21.280,4,31.045,4,29.500,4,28.930,0,0.000,1,9.300,4,35.460,4,26.775,10,87.160,7,51.385,4,31.085,1,8.580,208,"1,436.657"
0835,296,"1,648.973",5,37.760,4,34.390,7,53.495,4,36.535,8,53.485,6,44.885,6,44.345,8,54.870,10,67.735,10,75.920,5,40.500,13,163.155,9,66.565,12,149.580,6,42.125,6,44.880,7,56.280,10,76.060,7,53.900,6,39.150,445,"2,884.588"
0836,691,"4,128.091",26,216.130,22,176.325,20,166.215,17,139.240,24,183.905,19,149.800,27,226.110,18,135.950,19,229.790,24,182.775,19,161.340,20,152.615,21,150.375,20,158.375,18,140.380,16,134.880,18,145.565,18,150.310,17,128.830,8,62.855,"1,082","7,319.856"
0837,37,258.241,0,0.000,0,0.000,0,0.000,0,0.000,3,24.780,1,9.135,0,0.000,3,50.745,3,23.040,1,8.990,0,0.000,0,0.000,2,13.000,1,9.300,0,0.000,3,128.240,0,0.000,0,0.000,0,0.000,0,0.000,54,525.471
0838,65,412.487,1,6.490,5,43.235,0,0.000,5,38.330,0,0.000,8,60.785,3,22.125,0,0.000,0,0.000,2,15.745,1,6.645,2,18.245,4,34.170,1,6.600,0,0.000,4,31.585,4,36.400,2,18.340,2,15.700,0,0.000,109,766.882
0839,7,142.860,2,12.980,0,0.000,0,0.000,0,0.000,0,0.000,1,39.600,0,0.000,2,12.980,1,6.600,2,105.000,0,0.000,0,0.000,1,6.615,0,0.000,1,6.650,0,0.000,0,0.000,0,0.000,3,51.280,0,0.000,20,384.565
0840,65,349.615,1,6.490,2,15.635,0,0.000,2,11.215,0,0.000,2,12.970,3,24.890,5,38.305,5,36.405,2,15.635,4,28.850,3,19.380,0,0.000,2,13.215,1,9.295,1,6.600,2,13.860,2,15.855,3,25.155,0,0.000,105,643.370
0841,36,362.575,2,18.265,2,15.635,1,6.600,1,9.000,4,33.755,3,22.215,0,0.000,1,9.135,1,9.300,2,18.445,1,6.600,0,0.000,0,0.000,2,18.600,0,0.000,2,15.815,3,118.000,0,0.000,1,6.600,0,0.000,62,670.540
0845,57,482.506,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,3,14.800,0,0.000,0,0.000,0,0.000,1,6.490,2,13.000,1,10.400,1,10.890,1,6.600,0,0.000,0,0.000,0,0.000,67,551.286
0846,34,215.760,0,0.000,0,0.000,1,6.600,1,6.490,0,0.000,0,0.000,0,0.000,1,4.800,0,0.000,0,0.000,0,0.000,3,37.000,1,9.145,1,9.300,1,2.640,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,43,291.735
0847,11,169.855,0,0.000,0,0.000,0,0.000,1,6.490,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.320,0,0.000,1,6.490,2,47.600,0,0.000,0,0.000,0,0.000,2,13.500,18,245.255
0850,418,"3,528.924",2,41.105,6,73.680,8,59.315,3,27.910,8,197.010,12,141.610,6,38.500,18,113.695,10,133.765,9,70.085,8,153.090,15,107.590,10,130.850,16,115.610,16,169.565,10,106.230,8,65.970,10,78.900,4,62.800,1,11.470,598,"5,427.674"
0851,45,264.175,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,45,264.175
0852,88,992.840,0,0.000,3,23.450,1,9.240,0,0.000,4,50.810,3,69.250,7,66.480,1,6.490,2,19.180,1,9.280,2,27.660,3,15.660,4,126.770,2,14.890,1,6.300,1,9.100,6,87.020,3,23.760,0,0.000,1,15.000,133,"1,573.180"
0853,1,2.650,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,2.650
0854,9,102.915,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,36.480,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,10,139.395
0860,86,477.689,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,23,121.510,1,24.180,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,5,33.000,0,0.000,0,0.000,0,0.000,1,9.000,117,671.979
0861,18,106.495,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,15.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,21,121.595
0862,22,215.030,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,65.100,0,0.000,0,0.000,0,0.000,0,0.000,3,10.560,1,2.640,0,0.000,0,0.000,5,23.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,32,316.430
0870,"2,032","11,129.602",6,49.485,10,70.415,10,213.385,17,193.120,19,120.635,17,108.495,19,148.195,20,132.645,25,190.880,39,268.650,34,259.335,16,115.630,18,228.255,21,138.494,31,191.945,14,97.105,31,207.605,18,129.120,21,420.630,6,43.675,"2,424","14,457.301"
0871,55,394.180,0,0.000,0,0.000,1,6.600,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,57,407.380
0872,136,"1,445.312",0,0.000,2,22.800,2,11.805,0,0.000,2,19.920,1,10.140,1,6.000,4,156.715,1,9.000,0,0.000,1,7.245,0,0.000,2,17.980,1,78.210,4,117.300,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,157,"1,902.427"
0873,68,382.018,1,5.670,2,15.615,0,0.000,3,15.270,1,5.775,0,0.000,3,22.070,2,9.216,1,9.300,1,6.400,5,38.230,3,81.890,3,17.995,3,22.440,2,18.280,2,13.110,7,54.220,3,22.440,5,35.040,0,0.000,115,774.979
0874,6,65.740,0,0.000,1,5.400,0,0.000,0,0.000,0,0.000,2,7.950,0,0.000,1,9.300,0,0.000,1,6.600,1,6.650,2,13.230,0,0.000,1,6.600,1,6.490,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,17,134.560
0875,83,484.116,1,3.420,1,6.600,0,0.000,1,6.600,1,6.555,1,6.600,0,0.000,0,0.000,3,22.095,1,6.400,1,6.490,1,6.600,1,6.600,0,0.000,5,32.905,3,19.400,6,39.400,0,0.000,0,0.000,1,6.615,110,660.396
0880,22,228.491,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,22,228.491
0881,12,107.730,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,12,107.730
0885,6,220.570,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,13.200,0,0.000,0,0.000,3,109.740,0,0.000,0,0.000,2,155.430,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,12,498.940
0886,9,131.540,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,20.150,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,10,151.690
1340,1,1.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.140
1355,1,1.020,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.020
1435,1,1.540,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.540
1460,1,4.750,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.750
1470,2,5.810,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,5.810
1475,3,11.985,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,11.985
1480,2,4.880,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,4.880
1485,1,2.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,2.000
1490,1,1.510,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.510
1495,1,4.750,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.750
1560,1,5.025,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,5.025
1570,2,11.150,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,11.150
1595,2,4.140,0,0.000,0,0.000,0,0.000,0,0.000,1,7.560,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,11.700
1630,6,23.885,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,9.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,7,33.785
1640,2,15.075,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,15.075
1655,2,11.245,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,17.845
1658,1,5.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,5.040
1660,1,3.500,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,9.600,0,0.000,0,0.000,0,0.000,2,13.100
1670,1,4.440,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.440
1680,2,9.380,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,9.380
1710,1,4.800,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.800
1715,2,3.010,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,3.010
1730,3,8.000,0,0.000,0,0.000,0,0.000,1,5.490,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,4,13.490
1741,1,10.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,10.000
1755,2,5.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,5.100
1765,7,19.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,8,25.800
1790,4,115.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,4,115.900
1800,1,4.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.200
1805,2,14.720,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,14.720
1830,1,6.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.080
1835,1,1.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.140
1848,1,1.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.040
1860,3,25.420,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,25.420
1871,1,1.520,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.520
1875,1,1.610,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.610
1885,5,13.290,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,5,13.290
1890,4,11.380,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.660,0,0.000,5,18.040
2000,42,840.171,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,45.000,1,48.825,0,0.000,1,77.600,1,71.200,0,0.000,0,0.000,0,0.000,0,0.000,1,4.950,47,"1,087.746"
2007,18,135.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,9.350,0,0.000,1,46.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,55.500,1,7.700,3,84.700,0,0.000,1,3.150,0,0.000,26,341.740
2008,62,626.319,0,0.000,0,0.000,1,2.840,0,0.000,2,6.900,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,2.275,1,3.500,2,6.430,0,0.000,0,0.000,3,14.900,2,8.240,1,11.205,75,682.609
2009,13,186.670,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.440,1,30.800,1,95.760,1,30.810,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,17,348.480
2010,132,866.849,0,0.000,1,1.800,2,25.870,1,3.410,1,5.040,1,6.570,1,3.300,1,6.480,0,0.000,5,22.100,1,11.160,0,0.000,0,0.000,4,35.720,1,8.875,0,0.000,1,2.800,2,15.090,0,0.000,1,9.900,155,"1,024.964"
