postcode,installations,households,installRate,income,ownership,solar
800,101,47.885714285714286,2.1091885441527447,"$2,264",0.3448275862068966,20.2
810,3023,9252.022582796177,0.32673936676518345,"$2,107",0.6137877007442225,20.1
812,1637,6202.992462472053,0.2639048829905579,"$2,028",0.6553292465888867,20.1
820,980,4942.0163534998965,0.19829962709572416,"$2,341",0.5223841059602649,20.1
822,774,6523.18590591347,0.11865367799779322,"$1,294",0.30991108219475166,20.7
828,191,321.3888888888889,0.594295592048401,"$1,718",0.4618834080717489,20.1
829,30,42.93191489361702,0.6987808504311627,"$1,958",0.8666666666666667,20.1
830,1774,5963.9952,0.29745161431384115,"$2,035",0.5551156490935611,20.1
832,2083,4990.510571240971,0.4173921626383868,"$2,356",0.4882831181252989,20.1
834,208,638.0,0.32601880877742945,"$2,361",0.7984644913627639,20.1
835,445,1073.6995348837208,0.4144548689295953,"$2,253",0.8329646017699115,20.1
836,1082,2650.0930075821398,0.40828755704207614,"$2,422",0.8320148906468124,20.0
837,54,134.8206896551724,0.40053199652156124,"$1,524",0.6846846846846847,20.0
838,109,285.1785407725322,0.3822166973178462,"$2,169",0.8110599078341014,20.2
839,20,82.0,0.24390243902439024,"$1,611",0.1864406779661017,20.1
840,105,307.1409961685824,0.3418625364566051,$620,0.8914285714285715,20.2
841,62,286.0601503759398,0.2167376333911581,"$1,789",0.8458149779735683,20.2
845,67,209.036,0.32051895367305155,"$1,125",0.5033112582781457,20.0
846,43,126.544,0.3398027563535213,"$1,017",0.5578947368421052,20.5
847,18,130.31827956989247,0.1381233704082643,$945,0.4069767441860465,20.6
850,598,2501.0442194092825,0.2391001308010622,"$1,751",0.4887176664832141,20.6
852,133,1913.033551198257,0.06952308803820689,"$1,115",0.14491525423728813,21.1
853,1,191.0,0.005235602094240838,"$2,236",0.0,21.0
854,10,198.19,0.050456632524345325,"$1,289",0.15037593984962405,20.6
860,117,1024.0827586206897,0.11424857904802953,"$1,570",0.3671875,21.4
862,32,267.50243902439024,0.11962507750100296,"$1,333",0.06299212598425197,20.6
870,2424,7417.944592220828,0.3267751558217407,"$1,963",0.5559082892416226,20.3
872,157,4031.0195171537484,0.03894796324649296,"$1,138",0.0418342719227675,20.3
873,115,734.0,0.1566757493188011,"$1,462",0.543010752688172,20.3
874,17,145.0,0.11724137931034483,"$2,219",0.2689075630252101,20.3
875,110,899.0,0.12235817575083426,"$1,807",0.546242774566474,20.3
880,22,1531.0203616878769,0.014369501902473754,"$2,230",0.0430622009569378,19.4
885,12,329.9608069164265,0.03636795567371551,"$3,207",0.0,19.2
886,10,399.24313725490197,0.025047393597689746,"$2,127",0.0,20.7
2000,47,375.6820512820513,0.12510579049387097,"$1,943",0.3412698412698413,14.6
2007,26,292.6842975206612,0.08883291731140652,"$1,230",0.4339622641509434,14.6
2008,75,1188.0081632653062,0.06313087933155136,"$1,223",0.41157894736842104,14.6
2009,17,488.2814404432133,0.034815986420800867,"$2,280",0.4221105527638191,14.6
2010,155,4012.0219206145966,0.038633886620503745,"$2,150",0.48,14.6
2011,37,1103.2774114774115,0.033536442978971966,"$1,861",0.29279811097992914,14.6
2015,209,1847.995694294941,0.11309550159949859,"$2,375",0.6076107298814722,14.9
2016,120,2027.9504162812211,0.059173044388359096,"$1,821",0.5675675675675675,14.6
2017,66,1176.0333038086803,0.05612085966124734,"$1,623",0.40041710114702816,14.6
2018,327,2513.0283477544294,0.13012189070298308,"$1,500",0.7860401459854015,14.9
2019,319,2317.0133391838526,0.1376772393172173,"$2,028",0.7953890489913544,14.9
2020,298,2209.9781690140844,0.13484296097501441,"$1,955",0.7865979381443299,14.9
2021,195,4466.993251942286,0.0436535246421544,"$2,399",0.6704980842911877,14.6
2022,234,2308.946645109135,0.10134491435549813,"$2,157",0.7492339121552605,14.6
2023,213,1686.8960288808664,0.12626741444243608,"$2,892",0.898639455782313,14.6
2024,338,2144.9374301675975,0.15758035420808986,"$2,450",0.8496732026143791,14.6
2025,118,1698.9161222339305,0.0694560481566565,"$2,529",0.7741935483870968,14.6
2026,480,3785.934076587494,0.1267850919455668,"$2,325",0.7829457364341085,14.6
2027,74,823.9165217391304,0.08981492426417198,"$2,628",0.8185907046476761,14.6
2028,53,573.9335463258786,0.09234518584823526,"$2,478",0.8089430894308943,14.6
2029,144,1290.9356125356126,0.11154700405015554,"$2,270",0.8563829787234043,14.6
2030,376,3442.966388425153,0.10920815296485833,"$2,815",0.8735670937289278,14.6
2031,601,4892.972071005917,0.12282923165683306,"$2,226",0.8131511924056495,14.6
2032,324,3167.985130111524,0.10227320732045042,"$1,273",0.6609318996415771,14.9
2033,175,1314.9712609970675,0.13308275639979197,"$1,814",0.7710320901994796,14.9
2034,397,2590.946954954955,0.15322583090355166,"$2,277",0.8028293545534925,14.9
2035,965,7670.989197530864,0.125798638891398,"$1,736",0.792196142921214,14.9
2036,974,6701.029203402939,0.14535080663510316,"$1,639",0.7543621887176012,14.9
2037,242,4152.059627329192,0.05828432674885891,"$1,752",0.46949052132701424,14.6
2038,305,2870.9980542043086,0.10623483340692481,"$2,337",0.6918112141992739,14.6
2039,224,2489.0164001640014,0.08999538933742687,"$2,873",0.6960600375234521,14.6
2040,728,7062.001134429949,0.10308692764869752,"$2,273",0.7050951306030313,14.6
2041,413,4839.990042848398,0.08533075406017655,"$2,672",0.7474625422909618,14.6
