postcode,outright,mortgage,rent
4178,2431,3125,2683
4179,2099,2617,1719
4183,338,162,273
4184,1339,784,984
4205,747,570,570
4207,4451,6586,6520
4208,1216,2787,1868
4209,1406,5092,7760
4210,1179,3302,1534
4211,4539,8617,5705
4212,2901,3651,1996
4213,2567,4517,1680
4214,3488,4657,3606
4215,2768,3161,5402
4216,4273,3359,3469
4217,2315,2206,1665
4218,2744,2646,2222
4220,3200,3454,2173
4221,2808,3110,1863
4223,1644,1735,986
4224,553,753,504
4225,299,211,263
4226,3216,3569,3408
4227,1381,2800,2306
4228,562,769,159
4230,119,69,159
4270,286,740,151
4271,376,461,213
4272,743,613,258
4275,324,516,235
4280,1078,2882,828
4285,1822,2658,1821
4287,108,70,60
4300,2531,7151,7067
4301,1243,2780,4123
4303,245,297,611
4304,1610,1832,2478
4305,5491,6931,8544
4306,3582,5462,2019
4307,178,199,124
4309,474,371,175
4310,929,671,425
4311,1075,1313,955
4312,454,313,219
4313,392,261,222
4340,644,607,547
4341,1482,2073,1161
4342,297,306,208
4343,1145,985,1071
4344,270,348,181
4345,0,0,17
4346,99,131,70
4347,177,153,58
4350,11715,11535,12999
4352,3141,4340,1425
4353,52,40,11
4354,164,167,82
4355,482,268,243
4356,642,550,429
4357,367,238,222
4358,236,338,141
4359,145,182,80
4360,93,84,42
4361,423,283,232
4362,402,286,166
4363,73,80,41
4364,27,10,30
4365,89,57,28
4370,2466,1979,2113
4371,136,93,39
4372,34,18,7
4373,170,89,82
4374,71,51,17
4376,44,39,30
4378,81,57,39
4381,84,75,51
4382,74,38,49
4384,13,4,4
4387,192,112,142
4388,69,23,46
4390,667,683,687
4400,196,333,114
4401,635,574,567
4402,66,32,26
4403,106,73,78
4404,70,47,49
4405,1387,1578,1704
4406,199,102,152
4407,72,41,59
4408,101,75,48
4410,194,105,107
4411,34,20,33
4412,21,24,27
4413,769,659,967
4415,218,130,293
4416,50,32,60
4417,92,61,84
4418,16,5,21
4419,119,32,121
4420,184,86,122
4421,384,177,204
4422,74,31,57
4423,21,19,19
4424,41,15,21
4425,34,18,29
4426,39,9,3
4427,49,28,36
4428,112,67,49
4454,100,54,82
4455,786,864,1110
4461,10,9,8
4462,26,12,5
4465,204,115,105
4467,30,18,14
4468,47,24,30
4470,422,377,408
4472,246,122,171
4474,19,3,7
4475,0,0,0
4477,85,32,42
4478,76,37,56
4479,0,0,0
4480,88,69,89
4481,15,11,18
4482,7,4,29
4486,86,54,82
4487,305,294,378
4488,46,21,26
4489,15,6,11
4490,249,97,190
4491,20,12,8
4492,31,26,36
4493,4,0,0
4494,23,7,26
4496,33,15,43
4497,52,14,36
4498,9,18,36
4500,3378,6403,3716
4501,468,773,719
4502,731,1420,677
4503,2953,5675,5915
4504,1041,3074,1348
4505,2403,2896,1512
4506,1484,2447,2930
4507,3634,1492,1971
4508,1562,2181,2462
4509,1314,3726,4036
4510,3744,5030,6603
4511,1251,1042,803
4512,341,519,141
4514,723,932,396
4515,539,465,375
4516,343,645,121
4517,101,116,34
4518,625,750,292
4519,866,1109,805
4520,1527,2098,353
4521,495,792,180
4550,453,606,333
4551,6595,5952,5067
4552,1709,913,631
4553,565,962,303
4554,203,294,96
4555,777,999,435
4556,4757,5234,3819
4557,1370,1859,1520
4558,1650,1432,1992
4559,704,860,320
4560,3849,4187,2541
4561,774,1079,375
4562,1016,1197,395
4563,1290,1112,502
4564,1063,1197,1104
4565,2079,1703,1334
4566,1370,733,857
4567,1454,1161,1010
4568,498,543,199
4569,208,271,107
4570,5739,5130,3842
4571,135,105,46
4572,256,257,182
4573,2602,3071,2771
4574,211,161,105
4575,2888,2451,2339
4580,960,391,574
4581,228,74,200
4600,168,108,61
4601,186,108,113
4605,511,339,643
4606,385,254,238
4608,148,97,69
4610,1924,1558,1587
4611,15,21,4
4612,49,30,17
4613,180,70,67
4614,217,110,113
4615,1118,791,617
4620,98,40,13
4621,368,172,121
4625,370,258,288
4626,303,175,205
4627,113,60,71
4630,419,210,230
4650,5037,3616,3168
4655,8718,5656,6607
4659,921,450,390
4660,1321,716,580
4662,107,72,53
4670,10408,8503,8150
4671,951,719,412
4673,113,78,42
4674,292,165,82
4676,33,15,10
4677,464,468,275
4678,159,131,48
4680,3805,7058,5897
4694,17,16,33
4695,152,149,81
4697,20,22,14
4699,60,56,26
4700,1750,1912,1840
4701,4419,5379,4596
4702,2870,3202,2702
4703,2410,2692,1903
4704,21,25,5
4705,45,14,53
4706,18,9,3
4707,51,24,28
4709,0,0,280
4710,564,467,607
4711,194,314,28
4712,41,13,34
4713,0,0,238
4714,542,294,284
4715,681,791,740
4716,132,103,73
4717,153,288,946
4718,220,169,346
4719,149,67,133
4720,632,1644,1694
4721,348,289,401
4722,165,100,109
4723,112,144,148
4724,102,34,63
4725,243,131,158
4726,76,26,45
4727,29,34,20
4728,27,12,21
4730,337,297,456
4731,43,7,26
4732,17,15,10
4733,30,15,10
4735,150,75,109
4736,10,4,12
4737,882,1004,661
4738,158,148,67
4739,66,29,32
4740,7288,9825,9022
4741,935,884,384
4742,73,67,135
4743,8,7,148
4744,205,320,1920
4745,132,95,540
4746,22,9,482
4750,372,812,605
4751,470,666,310
4753,284,727,284
4754,201,276,194
4756,99,70,44
4757,59,36,21
4798,122,57,62
4799,145,122,55
4800,1056,1189,741
4802,479,974,1107
4803,8,0,16
4804,283,155,179
4805,1196,941,1340
4806,630,368,344
4807,1545,1120,892
4808,175,126,107
4809,142,127,86
4810,1572,1746,2436
4811,1035,1602,1273
4812,1742,2156,2827
4814,3677,5067,5677
4815,1395,2729,2544
4816,1079,883,849
4817,2258,4072,3487
4818,1444,4225,3213
4819,352,234,319
4820,1289,1095,1040
4821,193,100,164
4822,99,70,118
4823,115,42,111
4824,175,141,354
4828,10,3,29
4829,36,7,86
4830,8,0,254
4849,220,83,145
4850,2012,952,879
4852,469,386,376
4854,710,556,504
4855,135,73,53
4856,121,68,50
4858,222,167,107
4859,73,59,39
4860,1427,887,1111
4861,239,141,169
4865,771,1139,676
4868,1856,2647,2156
4869,1081,2429,1968
4870,4831,6653,6318
4871,1301,771,1024
4872,624,330,317
4873,773,708,610
4874,98,335,979
4875,103,28,1519
4876,6,3,591
4877,433,454,599
4878,1155,1780,1533
4879,1658,2453,1883
4880,1622,1112,1217
4881,582,605,331
4882,453,317,170
4883,1147,725,970
4884,334,192,148
4885,645,432,301
4886,168,84,73
4887,348,203,155
4888,452,283,258
4890,52,38,242
4891,70,31,55
4892,51,15,1150
4895,364,240,619
5000,518,474,1234
5006,675,373,814
5007,533,723,1265
5008,1470,1472,1888
5009,627,621,534
5010,365,649,787
5011,1125,1511,1206
5012,807,1154,1541
5013,1004,1315,1264
5014,1432,1758,1397
5015,555,801,743
5016,1064,1348,764
5017,495,630,705
5018,889,840,348
5019,1060,1132,1153
5020,571,387,204
5021,1190,563,440
5022,2165,1766,1034
5023,2076,1745,2071
5024,2300,1414,817
5025,1364,945,651
5031,1061,1051,1437
5032,1618,1384,1033
5033,803,894,1123
5034,1200,1034,539
5035,540,583,540
5037,1196,1222,1252
5038,1674,1815,1676
5039,858,1106,849
5040,382,271,282
5041,1665,1777,638
5042,1243,1161,1285
5043,1966,1970,2728
5044,1666,1356,971
5045,1754,1504,1381
5046,1166,1117,1262
5047,969,1040,1197
5048,2035,1817,1447
5049,1491,1470,598
5050,897,811,283
5051,1808,2485,437
5052,917,1043,278
5061,1389,1071,561
5062,2121,1852,612
5063,1408,1313,1168
5064,1539,1156,491
5065,1621,967,884
5066,1930,1605,533
5067,1193,943,1354
5068,1674,1227,1251
5069,1111,922,718
5070,1891,1379,1523
5072,1823,1509,1026
5073,2284,1708,1151
5074,1734,1316,1346
5075,1612,1315,789
5076,1464,1363,413
5081,1346,943,743
5082,1665,1835,1317
5083,821,947,848
5084,747,830,1497
5085,1426,2651,2560
5086,1516,2189,2033
5087,1205,1361,1360
5088,374,428,417
5089,978,1025,270
5090,1002,992,924
5091,1074,1298,314
5092,2240,2699,1339
5093,1198,1356,672
5094,134,93,98
5095,1493,2825,2220
5096,1589,2137,1023
5097,1761,2213,776
5098,1517,1812,991
5106,0,0,0
5107,1511,2452,1549
5108,3293,5627,4412
5109,2379,3264,1694
5110,699,1314,699
5111,0,0,0
5112,1605,2339,2993
5113,1298,2046,3258
5114,2046,5321,3733
5115,357,1439,1662
5116,954,1322,1225
5117,252,531,69
5118,2058,2865,1661
5120,229,250,69
5121,279,230,78
5125,1925,3274,1655
5126,867,1369,376
5127,991,1301,594
5131,159,153,10
5132,70,56,16
5133,55,57,7
5134,75,43,18
5136,71,63,32
5137,93,73,32
5138,52,38,10
5139,39,37,11
5140,48,96,4
5141,101,101,16
5142,87,75,27
5144,74,55,22
5150,9,5,3
5151,65,50,15
5152,926,1004,244
5153,855,1111,213
5154,515,542,69
5155,515,726,169
5156,110,203,18
5157,418,479,83
5158,2801,4613,1297
5159,4042,5771,1766
5160,0,0,0
5161,1233,1783,826
5162,3564,5822,3373
5163,1342,2300,1494
5164,442,587,963
5165,595,522,903
5166,262,275,240
5167,698,795,505
5168,428,885,656
5169,1388,2589,1805
5170,140,191,95
5171,903,866,347
5172,580,604,203
5173,1022,1971,1358
5174,276,554,228
5201,235,371,107
5202,96,162,46
5203,188,161,106
5204,588,349,233
5210,183,309,81
5211,3015,1570,1617
5212,395,202,213
5213,197,161,102
5214,1623,921,856
5220,15,19,15
5221,64,28,29
5222,123,72,59
5223,541,432,366
5231,152,222,35
5232,74,66,0
5233,208,221,51
5234,166,218,65
5235,374,405,129
5236,45,58,11
5237,58,56,12
5238,764,473,410
5240,81,70,22
5241,273,422,164
5242,205,252,81
5243,116,128,50
5244,515,663,249
5245,433,395,153
5250,385,627,172
5251,1371,2054,1818
5252,497,1280,497
5253,2064,2007,2655
5254,314,409,106
5255,1233,1394,693
5256,247,222,85
5259,165,114,99
5260,297,253,163
5261,62,37,27
5262,56,58,36
5263,16,8,21
5264,201,132,136
5265,69,41,39
5266,91,38,69
5267,276,227,185
5268,456,443,344
5269,48,27,15
5270,91,85,39
5271,993,930,745
5272,149,66,87
5273,26,6,13
5275,445,249,250
5276,215,115,134
5277,420,374,279
5278,86,71,34
5279,84,75,32
5280,1199,937,642
5290,2764,3262,2878
5291,1151,1326,402
5301,115,47,49
5302,137,86,84
5303,35,14,11
5304,138,80,61
5306,18,7,9
5307,103,65,45
5308,27,9,15
5309,24,13,10
5310,15,12,4
5311,71,35,38
5320,138,65,54
5321,67,56,24
5322,186,112,68
5330,514,347,392
5331,59,44,11
5332,74,47,31
5333,836,755,529
5340,192,157,99
5341,954,930,782
5342,154,202,61
5343,569,495,709
5344,122,150,66
5345,509,413,356
5346,59,47,29
5350,39,95,13
5351,640,1031,259
5352,801,667,469
5353,549,576,286
5354,89,23,24
5355,1064,1073,738
5356,108,127,45
5357,82,49,45
5360,134,201,41
5371,129,213,28
5372,154,457,112
5373,512,559,262
5374,282,179,109
5381,96,39,20
5400,69,167,23
5401,84,137,60
5410,44,47,5
5411,43,48,17
5412,232,138,99
5413,158,90,66
5414,21,16,16
5415,42,25,21
5416,30,38,23
5417,239,172,160
5418,25,6,12
5419,51,18,30
5420,12,7,10
5421,28,9,10
5422,363,194,159
5431,185,80,56
5432,28,5,13
5433,221,170,122
5434,57,27,53
5440,28,8,15
5451,125,101,42
5452,70,56,25
5453,684,650,478
5454,73,48,33
5455,9,0,5
5460,107,123,40
5461,413,319,223
5462,69,81,26
5464,110,70,43
5470,33,13,6
5471,21,7,0
5472,35,25,8
5473,129,85,67
5480,149,93,70
5481,139,68,27
5482,112,50,29
5483,75,31,18
5485,104,64,41
5490,37,15,19
5491,327,228,173
5493,19,11,0
5495,137,70,49
5501,708,1398,293
5502,190,255,84
5510,22,3,17
5520,118,56,59
5521,34,15,12
5522,330,97,151
5523,350,209,152
5540,1989,1953,1859
5550,114,101,134
5552,70,33,17
5554,780,635,515
5555,112,51,31
5556,703,408,569
5558,864,539,469
5560,98,45,20
5570,148,50,30
5571,415,152,186
5572,30,19,6
5573,380,198,193
5575,515,235,173
5576,226,118,111
5577,129,58,25
5580,93,38,17
5581,145,54,49
5582,154,67,38
5583,194,75,59
5600,826,894,581
5601,84,75,30
5602,225,133,121
5603,82,57,39
5604,50,29,23
5605,354,173,155
5606,1506,1710,1713
5607,704,655,278
5608,1182,1662,2254
5609,98,258,256
5630,19,21,3
5631,162,109,102
5632,44,16,21
5633,60,23,28
5640,179,129,85
5641,191,87,95
5642,52,17,16
5650,42,4,11
5651,18,4,3
5652,100,62,85
5653,11,3,6
5654,47,17,22
5655,22,7,12
5660,7,3,0
5661,25,7,14
5670,94,55,31
5671,39,10,17
5680,347,207,187
5690,368,292,508
5700,1265,1105,1452
5701,3,0,0
5710,261,337,136
5713,3,0,0
5717,0,0,0
5719,3,0,3
5720,10,0,69
5722,67,46,27
5723,270,118,255
5724,27,5,88
5725,63,260,790
5730,20,4,7
5731,3,5,80
5732,16,5,45
5733,20,0,28
5734,3,0,41
5950,0,0,0
6000,295,293,497
6003,126,138,264
6004,167,143,182
6005,118,135,240
6006,968,1106,821
6007,669,752,757
6008,1627,1304,1252
6009,2225,1396,1239
6010,2290,1621,1057
6011,1279,792,565
6012,1043,847,606
6014,2209,2317,1099
6015,1051,662,273
6016,873,1260,859
6017,295,435,686
6018,4300,5249,3640
6019,2345,2866,2517
6020,3206,2749,1127
6021,2786,2628,1932
6022,760,763,309
6023,2133,2338,645
6024,1842,2176,813
6025,3791,4742,1946
6026,3008,3545,950
6027,4328,6532,2853
6028,1685,4111,1098
6029,402,343,195
6030,2274,6611,3819
6031,559,3485,1021
6032,18,14,26
6033,45,58,17
6034,29,404,124
6035,505,1632,693
6036,485,2754,1563
6037,278,518,194
6038,116,1382,582
6041,234,243,62
6042,10,9,8
6043,44,19,18
6044,222,122,110
6050,1750,1520,1065
6051,793,1308,1518
6052,1152,1529,1028
6053,1474,2254,1550
6054,2198,3033,2059
6055,1267,4310,1105
6056,4082,5817,3800
6057,1820,2836,1100
6058,1292,2083,1129
6059,3438,2929,2053
6060,2535,2823,3197
6061,2688,4755,5880
6062,4454,3990,3018
6063,1157,2226,934
6064,2859,4471,2595
6065,4357,11574,3748
6066,1684,3112,1110
6067,0,0,0
6068,0,0,3
6069,1806,7881,2455
6070,496,643,126
6071,507,583,93
6072,132,128,13
6073,474,450,174
6074,137,160,40
6076,3449,3106,904
6077,274,169,41
6078,103,125,45
6079,8,0,4
6081,549,839,126
6082,349,601,122
6083,422,619,90
6084,641,1524,296
6090,0,0,0
6100,1124,1390,1757
6101,1247,1941,2299
6102,778,960,2288
6103,561,829,1323
6104,1247,1767,1879
6105,1523,1642,1906
6106,0,0,0
6107,3326,5699,4913
6108,2610,3538,1594
6109,994,1675,1030
6110,3165,6769,3215
6111,2580,3745,1594
6112,3443,10420,4510
6121,288,503,91
6122,823,3737,786
6123,147,272,75
6124,132,218,43
6125,382,475,127
6126,41,20,33
6147,1745,2033,1369
6148,2495,2125,1559
6149,2802,2297,995
6150,2016,1195,800
6151,1792,1604,1798
6152,2936,2665,3047
6153,2986,2094,1737
6154,1591,1298,724
6155,4946,7413,2713
6156,2153,2275,1500
6157,1853,1972,1426
6158,1004,903,399
6159,353,316,335
6160,841,793,992
6161,0,0,20
6162,1422,1347,1108
6163,6278,6527,4837
6164,3390,10244,4038
6165,10,7,9
6166,1275,1337,510
6167,1646,4228,2228
6168,2871,2862,2700
6169,3641,5144,3039
6170,421,2485,909
6171,1424,5875,2394
6172,770,2272,1093
6173,507,2171,792
6174,209,698,281
6175,242,679,239
6176,83,279,71
6180,332,986,396
6181,49,89,0
6207,99,170,51
6208,1381,1614,1070
6209,289,240,127
6210,8097,8682,7341
6211,841,1092,448
6213,100,79,49
6214,75,92,42
6215,540,517,264
6218,49,46,45
6220,642,490,418
6221,38,29,22
6223,25,23,17
6224,153,159,88
6225,1263,1237,734
6226,81,145,23
6227,74,127,43
6228,26,9,22
6229,14,9,16
6230,4117,5662,4807
6232,963,1749,924
6233,1742,2995,1361
6236,302,285,99
6237,354,354,107
6239,584,624,275
6240,27,19,7
6243,16,5,0
6244,267,151,131
6251,71,46,28
6252,25,19,15
6253,127,74,49
6254,82,69,55
6255,677,526,300
6256,64,43,32
6258,924,752,627
6260,226,139,149
6262,143,70,56
6271,367,520,252
6275,234,143,111
6280,3141,3372,2963
6281,764,970,617
6282,189,182,79
6284,203,319,177
6285,841,1286,980
6286,80,61,64
6288,80,45,58
6290,340,146,147
6302,615,425,279
6304,328,192,95
6306,184,70,102
6308,272,153,129
6309,62,22,12
6311,98,75,31
6312,568,513,515
6313,39,41,16
6315,331,219,186
6316,56,33,23
6317,441,419,467
6318,80,42,38
6320,82,37,56
6321,86,33,44
6322,53,10,17
6323,185,136,55
6324,487,371,349
6326,76,53,31
6327,42,25,15
6328,55,33,59
6330,4688,4108,3763
6333,970,596,598
6335,101,56,94
6336,60,21,36
6337,57,45,70
6338,107,61,75
6341,56,18,26
6343,37,10,24
6346,94,48,84
6348,120,49,152
6350,54,27,42
6351,17,3,4
6352,37,11,19
6353,126,58,92
6355,73,25,49
6356,22,4,21
6357,18,5,0
6358,19,13,12
6359,55,22,48
6361,18,5,10
6363,27,9,3
6365,97,41,57
6367,63,24,41
6368,13,4,8
6369,120,52,71
6370,84,42,41
6372,21,10,6
6373,24,0,9
6375,163,79,114
6383,195,68,91
6384,5,0,5
6385,4,0,0
6386,23,3,3
6390,182,227,177
6391,154,91,103
6392,92,35,75
6393,24,10,13
6394,98,29,39
6395,251,139,164
6396,41,24,40
6397,19,3,13
6398,121,27,48
6401,933,876,791
6403,21,28,10
6405,53,35,22
6407,126,82,101
6409,61,31,41
6410,165,97,94
6411,20,10,4
6412,12,3,6
6413,15,4,4
6414,10,6,0
6415,335,340,374
6418,130,50,85
6419,17,0,4
6420,25,5,3
6421,31,8,0
6422,10,0,8
6423,34,9,21
6424,15,0,13
6425,21,3,3
6426,123,78,119
6427,0,0,0
6428,8,5,0
6429,80,104,115
6430,1203,3125,2786
6431,6,0,166
6432,417,1000,810
6434,0,0,16
6436,10,0,21
6437,0,0,121
6438,31,21,109
6440,15,17,130
6442,150,346,344
6443,125,39,88
6445,32,8,10
6446,16,0,18
6447,28,8,24
6448,46,31,21
6450,1487,1395,1454
6460,121,65,77
6461,102,38,67
6462,26,7,7
6465,7,4,6
6466,16,0,3
6467,8,3,3
6468,49,11,24
6472,23,19,25
6473,10,0,4
6475,82,30,42
6476,13,0,10
6477,50,16,41
6479,96,39,58
6480,3,3,3
6484,17,0,3
6485,101,34,61
6487,10,0,8
6488,41,11,27
6489,20,5,7
6490,44,15,40
6501,95,172,29
6502,167,154,59
6503,278,255,162
6504,30,14,12
6505,19,11,15
6506,6,9,6
6507,81,48,45
6509,21,4,42
6510,246,205,226
6511,106,49,42
6512,22,10,10
6513,33,12,27
6514,131,36,73
6515,67,18,38
6516,268,200,197
6517,64,41,48
6518,42,18,30
6519,86,36,88
6521,65,32,28
6522,82,34,55
6525,559,395,341
6528,47,51,20
6530,3364,3928,3675
6532,689,879,448
6535,300,140,132
6536,205,137,171
6537,100,44,175
6556,235,374,70
6558,99,137,25
6560,144,225,97
6562,161,220,64
6564,54,61,17
6566,539,490,198
6567,80,70,14
6568,42,22,16
6569,39,34,29
6571,15,4,13
6572,11,3,0
6574,16,3,7
6575,25,5,7
6603,162,115,159
6605,5,0,6
6606,44,6,12
6608,27,7,8
6609,76,74,119
6612,38,9,12
6613,9,0,3
6614,4,0,0
6616,12,7,3
6620,46,24,43
6623,95,43,85
6625,10,0,12
6627,12,0,14
6628,3,0,0
6630,65,24,92
6631,10,3,0
6632,12,0,3
6635,10,8,44
6638,45,24,56
6639,26,4,15
6640,22,5,32
6642,39,15,119
6646,12,5,84
6701,444,385,771
6705,6,3,43
6707,186,276,415
6710,28,25,188
6713,58,111,142
6714,224,734,3664
6716,3,0,215
6718,18,16,146
6720,24,39,696
6721,92,99,820
6722,152,307,2078
6725,349,702,1729
6726,226,471,799
6728,136,150,1191
6740,42,30,242
6743,160,286,1060
6751,57,22,863
6753,62,35,1169
6754,13,4,392
6758,6,0,26
6760,20,3,82
6765,4,4,302
6770,32,6,515
7000,1485,1367,1225
7001,0,0,0
7004,855,737,621
7005,1800,1095,1076
7007,439,419,224
7008,1484,1545,973
7009,1417,1557,1551
7010,1865,1946,1756
7011,1593,1990,1353
7012,113,139,27
7015,1593,1420,865
7016,214,359,277
7017,630,1012,197
7018,3269,2833,2039
7019,453,822,932
7020,331,435,58
7021,338,407,137
7022,146,143,56
7023,62,53,23
7024,72,97,20
7025,278,249,89
7026,113,155,58
7027,55,49,11
7030,1543,2298,1730
7050,1601,1671,1326
7052,1011,968,517
7053,583,471,197
7054,1109,1378,447
7055,44,75,32
7109,1282,1334,551
7112,539,379,220
7113,154,157,51
7116,399,296,149
7117,174,106,65
7119,5,9,0
7120,349,191,158
7140,1513,1501,1003
7150,512,420,122
7155,142,113,51
7162,122,76,31
7163,72,57,9
7170,666,872,125
7171,382,563,308
7172,486,511,314
7173,825,1184,471
7174,29,28,4
7175,31,17,15
7176,26,29,0
7177,80,45,31
7178,59,35,13
7179,98,45,26
7180,31,14,5
7182,63,20,17
7183,8,8,0
7184,140,98,54
7185,27,7,14
7186,51,12,7
7187,32,9,6
7190,662,310,297
7209,92,36,38
7210,183,97,128
7211,40,25,25
7212,291,228,140
7213,55,21,30
7214,130,55,39
7215,704,359,266
7216,689,299,369
7248,1497,1547,2476
7249,1440,1659,1374
7250,6114,6063,4265
7252,495,393,111
7253,652,494,624
7254,89,69,18
7255,162,74,123
7256,264,144,199
7257,7,0,21
7258,154,109,25
7259,78,66,15
7260,541,352,305
7261,46,31,7
7262,291,193,159
7263,105,54,54
7264,144,61,55
7265,43,21,31
7267,106,145,20
7268,170,151,53
7270,771,514,305
7275,521,447,182
7276,82,94,26
7277,885,816,233
7290,250,392,144
7291,82,89,22
7292,81,81,43
7300,458,567,233
7301,652,496,387
7302,209,221,153
7303,459,347,242
7304,1044,622,534
7305,196,160,75
7306,668,502,248
7307,1559,1225,922
7310,3724,3243,3220
7315,2316,1820,1448
7316,885,833,423
7320,1990,2090,2162
7321,719,628,265
7322,584,475,415
7325,1346,1090,899
7330,788,824,683
7331,92,60,59
7466,4,3,0
7467,374,172,186
7468,100,75,94
7469,128,83,88
7470,114,54,132
0800,5,5,19
0810,1835,2866,2958
0812,1161,2153,1743
0820,848,1124,1803
0822,613,816,3182
0828,50,53,120
0829,19,7,4
0830,540,2124,2135
0832,246,1796,2140
0834,154,262,105
0835,292,461,151
0836,432,1356,361
0837,31,45,35
0838,56,120,41
0839,5,6,48
0840,108,48,19
0841,63,129,35
0845,37,39,75
0846,34,19,42
0847,24,11,51
0850,276,612,929
0852,96,75,1009
0853,0,0,175
0854,16,4,113
0860,107,128,405
0862,8,0,119
0870,944,2208,2518
0873,123,180,255
0874,12,20,87
0875,82,296,314
0880,32,13,1000
0885,0,0,231
0886,0,0,251
2600,997,562,450
2601,0,0,0
2602,3025,2990,3225
2603,953,712,542
2604,558,648,745
2605,1515,1190,771
2606,914,778,1039
2607,1929,1575,1154
2609,120,14,96
2612,916,603,911
2614,2636,2222,1722
2615,4362,7294,3588
2617,2996,3012,2614
2900,195,101,198
2902,1923,2154,1139
2903,1175,1341,734
2904,1720,1954,763
2905,2563,4797,2343
2906,1325,3193,1214
2911,123,798,415
2912,243,595,774
2913,2439,5717,3015
2914,894,4104,2066
2899,277,234,213
6798,87,53,160
6799,12,3,91
0872,91,13,2382
2406,83,54,129
2540,7301,4713,3661
2611,3291,4019,1958
2618,191,167,87
2620,3556,4958,3001
3644,1340,960,796
3691,1010,1358,569
3707,307,177,184
4375,39,29,20
4377,87,71,37
4380,1287,790,725
4383,111,68,61
4385,227,99,126
4825,953,1975,2656
