postcode,outright,mortgage,rent
2420,688,452,314
2421,248,291,64
2422,1058,462,453
2423,588,287,219
2424,80,41,33
2425,275,240,88
2426,121,89,52
2427,731,211,281
2428,4442,1999,1868
2429,1738,1073,696
2430,5277,3374,3143
2431,1072,416,473
2439,538,332,125
2440,3065,2206,1783
2441,639,531,308
2443,1820,675,700
2444,6397,4420,4162
2445,1113,760,377
2446,1880,1539,996
2447,1211,721,508
2448,1463,760,890
2449,391,210,203
2450,5187,4356,3633
2452,1835,1659,1602
2453,598,247,240
2454,1186,822,643
2455,549,267,307
2456,2055,1553,1238
2460,4200,3182,2432
2462,433,232,202
2463,1302,787,583
2464,1290,523,676
2465,50,42,31
2466,381,85,202
2469,800,378,309
2470,2017,1622,1278
2471,323,290,189
2472,238,219,150
2473,498,232,417
2474,1110,674,514
2475,72,28,36
2476,154,73,82
2477,1969,1348,957
2478,4070,2697,3027
2479,644,519,388
2480,5789,5113,4101
2481,1204,996,1123
2482,875,576,568
2483,1400,1204,963
2484,2560,2091,1491
2485,1684,1061,1192
2486,4975,3485,2462
2487,1475,1227,959
2488,325,412,318
2489,775,860,562
2490,75,100,57
2500,3007,2307,2370
2502,1666,916,1104
2505,726,431,374
2506,867,728,864
2508,859,1320,311
2515,1408,1400,582
2516,633,823,331
2517,1577,1622,802
2518,2319,1852,2259
2519,2387,1656,1405
2525,1573,1444,480
2526,1890,1924,1124
2527,2228,3130,1415
2528,3140,2113,2454
2529,3052,3341,1928
2530,3901,4560,2156
2533,2516,1741,859
2534,827,602,321
2535,1324,689,452
2536,2957,1624,1549
2537,2265,1187,985
2538,397,250,115
2539,3621,1746,1568
2541,3096,2641,3222
2545,225,113,49
2546,1942,785,742
2548,1367,756,676
2549,684,427,230
2550,2662,1873,1213
2551,547,293,362
2555,30,11,29
2556,310,220,135
2557,618,1253,548
2558,859,1794,724
2559,23,45,623
2560,6001,8947,7453
2563,31,21,36
2564,981,1507,1807
2565,1644,2508,1725
2566,1912,3677,2146
2567,2526,6533,2300
2568,154,121,56
2569,154,209,36
2570,3522,6224,2322
2571,1040,2042,479
2572,449,616,295
2573,513,637,502
2574,598,890,256
2575,1964,2134,1027
2576,2639,1336,927
2577,2259,1827,1209
2578,615,311,133
2579,670,554,241
2580,3808,3407,2793
2581,277,333,125
2582,1420,1942,802
2583,873,431,320
2584,87,73,55
2585,47,14,27
2586,483,281,209
2587,512,344,211
2588,60,19,12
2590,1247,755,664
2594,1570,1239,1138
2619,765,1568,639
2621,550,1045,302
2622,673,443,265
2623,72,111,38
2625,0,0,5
2626,56,76,14
2627,475,472,447
2628,303,234,162
2629,133,35,44
2630,1305,1022,772
2631,121,60,42
2632,338,179,147
2633,95,36,25
2640,4132,4579,4206
2641,1799,1745,2197
2642,644,669,245
2643,404,367,187
2644,394,281,173
2645,71,37,27
2646,1126,743,552
2647,360,226,158
2648,361,222,190
2649,5,8,0
2650,5882,6726,5496
2651,112,286,198
2652,656,532,295
2653,386,252,219
2655,196,180,76
2656,248,116,88
2658,272,117,110
2659,146,106,41
2660,235,199,118
2663,526,511,391
2665,446,151,151
2666,962,586,436
2668,88,37,27
2669,358,110,118
2671,617,421,327
2672,188,90,155
2675,204,96,178
2680,2588,2180,1976
2681,218,202,120
2700,711,520,442
2701,318,279,140
2702,132,93,40
2703,83,68,62
2705,1244,1095,887
2706,131,109,153
2707,176,112,132
2710,1510,1110,873
2711,506,238,348
2712,233,138,98
2713,418,273,281
2714,505,259,205
2715,233,112,156
2716,168,103,94
2717,168,105,152
2720,1166,891,727
2721,41,10,21
2722,501,321,276
2725,83,51,14
2726,38,23,19
2727,63,23,17
2729,293,189,104
2730,248,156,119
2731,924,729,472
2732,367,165,141
2733,101,40,46
2734,65,36,24
2735,60,56,28
2736,69,30,20
2737,103,71,59
2738,212,234,82
2739,125,190,95
2745,2111,4601,1778
2747,3097,5634,4015
2748,261,160,72
2749,1176,2588,1348
2750,4607,5137,4104
2752,447,849,161
2753,1791,2039,1330
2754,659,644,558
2756,2913,4866,2750
2757,105,120,37
